Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old,Vchanges,Cchanges
mese,*aća,FP,,,,mɛʃɛ,*at͡ʃʲa,mɛʃɛ,mɛʃɛ,*0at͡ʃʲa,*a>ɛ³ *a>ɛ²,*0>m¹ *t͡ʃʲ>ʃ³
ágy,*aδ'ɜ,FU,,*oδ'ɜ,,aɟ,*aðʲɜ,aɟ∅,0aɟ∅,*0aðʲɜ,*a>a¹ *ɜ>∅²,*0>0¹ *ðʲ>ɟ³
al,*ala,U,,,,ɒl,*ala,ɒl∅,0ɒl∅,*0ala,*a>ɒ¹ *a>∅²,*0>0¹ *l>l³
áld,*alɜ,FU,,,,ald,*alɜ,ald∅,0ald∅,*0alɜ,*a>a¹ *ɜ>∅²,*0>0¹ *l>ld³
ad,*amta,FU,,,,ɒd,*amta,ɒd∅,0ɒd∅,*0amta,*a>ɒ¹ *a>∅²,*0>0¹ *mt>d³
old,*aŋa,FU,,,,old,*aŋa,old∅,0old∅,*0aŋa,*a>o¹ *a>∅²,*0>0¹ *ŋ>ld³
aj,*aŋe,U,,,,ɒj,*aŋe,ɒj∅,0ɒj∅,*0aŋe,*a>ɒ¹ *e>∅²,*0>0¹ *ŋ>j³
apa,*appe,FU,,,,ɒpɒ,*appe,ɒpɒ,0ɒpɒ,*0appe,*a>ɒ¹ *e>ɒ²,*0>0¹ *pp>p³
ár,*arwa,FU,,*arγa,,ar,*arβa,ar∅,0ar∅,*0arβa,*a>a¹ *a>∅²,*0>0¹ *rβ>r³
árt,*arɜ,FU,,,,art,*arɜ,art∅,0art∅,*0arɜ,*a>a¹ *ɜ>∅²,*0>0¹ *r>rt³
ének,*äne,FU,,,,enɛk,*æne,enɛk∅,0enɛk∅,*0æne0∅,*æ>e¹ *e>ɛ³,*0>0¹ *n>n³ *0>k³
ég,*äŋɜ,FU,,,,eɡ,*æŋɜ,eɡ∅,0eɡ∅,*0æŋɜ,*æ>e¹ *ɜ>∅²,*0>0¹ *ŋ>ɡ³
szalad,*ćaδa,FU,,*śaδa,,sɒlɒd,*t͡ʃʲaða,sɒlɒd∅,sɒlɒd∅,*t͡ʃʲaða0∅,*a>ɒ³ *a>ɒ³,*t͡ʃʲ>s¹ *ð>l³ *0>d³
zaj,*ćaka,FU,,,,zɒj,*t͡ʃʲaka,zɒj∅,zɒj∅,*t͡ʃʲaka,*a>ɒ³ *a>∅²,*t͡ʃʲ>z¹ *k>j³
szeg,*ćäŋkɜ,FU,,*śäŋkɜ,,sɛɡ,*t͡ʃʲæŋkɜ,sɛɡ∅,sɛɡ∅,*t͡ʃʲæŋkɜ,*æ>ɛ³ *ɜ>∅²,*t͡ʃʲ>s¹ *ŋk>ɡ³
sért,*ćärke,FU,,,,ʃert,*t͡ʃʲærke,ʃert∅,ʃert∅,*t͡ʃʲærke,*æ>e³ *e>∅²,*t͡ʃʲ>ʃ¹ *rk>rt³
szűr,*ćerɜ,FU,,,,syr,*t͡ʃʲerɜ,syr∅,syr∅,*t͡ʃʲerɜ,*e>y³ *ɜ>∅²,*t͡ʃʲ>s¹ *r>r³
süh,*ćiklä,U,,"*ćüklä, ćikĺä ćükĺä",,ʃyh,*t͡ʃʲiklæ,ʃyh∅,ʃyh∅,*t͡ʃʲiklæ,*i>y³ *æ>∅²,*t͡ʃʲ>ʃ¹ *kl>h³
seg,*ćiŋkä,FU, Balagseg,*ćüŋkä,,ʃɛɡ,*t͡ʃʲiŋkæ,ʃɛɡ∅,ʃɛɡ∅,*t͡ʃʲiŋkæ,*i>ɛ³ *æ>∅²,*t͡ʃʲ>ʃ¹ *ŋk>ɡ³
csomó,*ćolme,FU,,,,t͡ʃomo,*t͡ʃʲolme,t͡ʃomo,t͡ʃomo,*t͡ʃʲolme,*o>o³ *e>o²,*t͡ʃʲ>t͡ʃ³ *lm>m³
csorog,*ćorɜ,U,,,,t͡ʃoroɡ,*t͡ʃʲorɜ,t͡ʃoroɡ∅,t͡ʃoroɡ∅,*t͡ʃʲorɜ0∅,*o>o³ *ɜ>o³,*t͡ʃʲ>t͡ʃ³ *r>r³ *0>ɡ³
szú,*ćuγɜ,FU,,"*ćukɜ, śuγɜ śukɜ",,su,*t͡ʃʲuɣɜ,su,su0∅,*t͡ʃʲuɣɜ,*u>u³ *ɜ>∅³,*t͡ʃʲ>s¹ *ɣ>0³
csupor,*ćuppɜ,FU,,,,t͡ʃupor,*t͡ʃʲuppɜ,t͡ʃupor∅,t͡ʃupor∅,*t͡ʃʲuppɜ0∅,*u>u³ *ɜ>o³,*t͡ʃʲ>t͡ʃ³ *pp>p³ *0>r³
csillog,*ćȣlkɜ,FU,,*ć¨lkɜ,,t͡ʃilloɡ,*t͡ʃʲȣlkɜ,t͡ʃilloɡ∅,t͡ʃilloɡ∅,*t͡ʃʲȣlkɜ0∅,*ȣ>i³ *ɜ>o³,*t͡ʃʲ>t͡ʃ³ *lk>ll³ *0>ɡ³
csün,*ć¨nɜ,U,,,,t͡ʃyn,*t͡ʃʲ¨nɜ,t͡ʃyn∅,t͡ʃyn∅,*t͡ʃʲ¨nɜ,*¨>y³ *ɜ>∅²,*t͡ʃʲ>t͡ʃ³ *n>n³
sápad,*čappɜ,FU,,,,ʃapɒd,*t͡ʃappɜ,ʃapɒd∅,ʃapɒd∅,*t͡ʃappɜ0∅,*a>a³ *ɜ>ɒ³,*t͡ʃ>ʃ¹ *pp>p³ *0>d³
savanyú,*čawɜ,Ug,,*čapa,,ʃɒvɒɲu,*t͡ʃaβɜ,ʃɒvɒɲu,ʃɒvɒɲu,*t͡ʃaβɜ0∅,*a>ɒ³ *ɜ>ɒ³ *∅>u²,*t͡ʃ>ʃ¹ *β>v³ *0>ɲ³
csegely,*čeŋkɜ,FU,,,,t͡ʃɛɡɛj,*t͡ʃeŋkɜ,t͡ʃɛɡɛj∅,t͡ʃɛɡɛj∅,*t͡ʃeŋkɜ0∅,*e>ɛ³ *ɜ>ɛ³,*t͡ʃ>t͡ʃ³ *ŋk>ɡ³ *0>j³
siet,*čijɜ,FU,,"*čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",,ʃiɛt,*t͡ʃijɜ,ʃiɛt∅,ʃiɛt∅,*t͡ʃijɜ0∅,*i>∅³ *ɜ>∅²,*t͡ʃ>ʃ¹ *j>0³ *0>t³
sok,*čukkɜ,FU,,*čokkɜ,,ʃok,*t͡ʃukkɜ,ʃok∅,ʃok∅,*t͡ʃukkɜ,*u>o³ *ɜ>∅²,*t͡ʃ>ʃ¹ *kk>k³
sovány,*čupa,FU,,,,ʃovaɲ,*t͡ʃupa,ʃovaɲ∅,ʃovaɲ∅,*t͡ʃupa0∅,*u>o³ *a>a³,*t͡ʃ>ʃ¹ *p>v³ *0>ɲ³
ez,*e,U,,,,ɛz,*e,ɛz∅,0ɛz∅,*0e0∅,*e>ɛ¹,*0>0¹ *0>z³
öcs,*ećɜ,FU,,,,øt͡ʃ,*et͡ʃʲɜ,øt͡ʃ∅,0øt͡ʃ∅,*0et͡ʃʲɜ,*e>ø¹ *ɜ>∅²,*0>0¹ *t͡ʃʲ>t͡ʃ³
es,*ećɜ,U,,,,ɛʃ,*et͡ʃʲɜ,ɛʃ∅,0ɛʃ∅,*0et͡ʃʲɜ,*e>ɛ¹ *ɜ>∅²,*0>0¹ *t͡ʃʲ>ʃ³
elő,*eδe,FU,eleje,,,ɛlø,*eðe,ɛlø,0ɛlø,*0eðe,*e>ɛ¹ *e>ø²,*0>0¹ *ð>l³
éj,*eje,FU,,*üje,,ej,*eje,ej∅,0ej∅,*0eje,*e>e¹ *e>∅²,*0>0¹ *j>j³
él,*elä,U,,,,el,*elæ,el∅,0el∅,*0elæ,*e>e¹ *æ>∅²,*0>0¹ *l>l³
em,*emä,U, embër,,,ɛm,*emæ,ɛm∅,0ɛm∅,*0emæ,*e>ɛ¹ *æ>∅²,*0>0¹ *m>m³
ük,*ewkkɜ,FU, ükanya,,,yk,*eβkkɜ,yk∅,0yk∅,*0eβkkɜ,*e>y¹ *ɜ>∅²,*0>0¹ *βkk>k³
