Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw,struc,Substitution
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pati
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,patɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨ti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨t¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pate
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,patɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨te
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨t¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨tɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜte
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜt¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜtɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pani
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pan¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,panɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨ni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜni
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜnɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pane
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pan¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,panɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨ne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨n¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,p¨nɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜne
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜn¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,pɜnɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wati
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,wat¨
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,watɜ
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨ti
badi,N.,Bett,"bed (N.), pallet",https://koeblergerhard.de/wikiling/?f=got&page=33,badɪ,badɪ,CVCV,w¨t¨
