Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
a,Buchstabe,"a, Abkürzung für 1","a, abbreviation for 1",https://koeblergerhard.de/wikiling/?f=got&page=1,a,a
aba,M.,"Ehemann, Gatte","husband, man (M.)",https://koeblergerhard.de/wikiling/?f=got&page=1,aba,aba
abba,M.,Vater,father,https://koeblergerhard.de/wikiling/?f=got&page=1,abba,abba
abraba,Adv.,sehr,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?f=got&page=1,abraba,abraba
abrjan,V.,stark werden,become strong,https://koeblergerhard.de/wikiling/?f=got&page=1,abrjan,abrjan
abrs,Adj.,"stark, heftig","great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?f=got&page=1,abrs,abrs
abu,Präp.,,,https://koeblergerhard.de/wikiling/?f=got&page=1,abu,abu
ada,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=1,ada,ada
ada,N.,Ei,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,ada,ada
addi,N.,Ei,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,addɪ,addɪ
adra,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=1,adra,adra
adrs,Adj.,"schnell, rasch","fast, quick",https://koeblergerhard.de/wikiling/?f=got&page=1,adrs,adrs
ael,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?f=got&page=1,ael,ael
af,"Präp., V.","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of",https://koeblergerhard.de/wikiling/?f=got&page=1,af,af
afagjan,V.,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt",https://koeblergerhard.de/wikiling/?f=got&page=1,afaɡjan,afaɡjan
afaikan,V.,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)",https://koeblergerhard.de/wikiling/?f=got&page=1,afɛkan,afɛkan
afairzjan,V.,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)",https://koeblergerhard.de/wikiling/?f=got&page=1,afɛrzjan,afɛrzjan
afar,"Präp., V., Sb.","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>",https://koeblergerhard.de/wikiling/?f=got&page=1,afar,afar
afara,M.,Nachkomme,descendant,https://koeblergerhard.de/wikiling/?f=got&page=1,afara,afara
afardags,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?f=got&page=1,afardaɡs,afardaɡs
afargaggan,V.,"nachgehen, folgen","go after, follow, accompany",https://koeblergerhard.de/wikiling/?f=got&page=2,afarɡaɡɡan,afarɡaɡɡan
afarlaistjan,V.,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)",https://koeblergerhard.de/wikiling/?f=got&page=2,afarlɛstjan,afarlɛstjan
afarsabbate,M.,Nachsabbat,post-Sabbath period,https://koeblergerhard.de/wikiling/?f=got&page=2,afarsabbate,afarsabbate
afaruh,Präp.,,,https://koeblergerhard.de/wikiling/?f=got&page=2,afaruh,afaruh
afaruþþan,Präp.,nach,after,https://koeblergerhard.de/wikiling/?f=got&page=2,afaruθθan,afaruθθan
afblindnan,V.,erblinden,"become blind, lose (V.) one’s sight",https://koeblergerhard.de/wikiling/?f=got&page=2,afblɪndnan,afblɪndnan
afdailjan,V.,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from",https://koeblergerhard.de/wikiling/?f=got&page=2,afdɛljan,afdɛljan
afdaubnan,V.,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened",https://koeblergerhard.de/wikiling/?f=got&page=2,afdɔbnan,afdɔbnan
afdauiþs,"V., Adj.","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out",https://koeblergerhard.de/wikiling/?f=got&page=2,afdɔɪθs,afdɔɪθs
afdaujan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=2,afdɔjan,afdɔjan
afdauþjan,V.,töten,"put to death, make die, kill (V.), eliminate with death",https://koeblergerhard.de/wikiling/?f=got&page=2,afdɔθjan,afdɔθjan
afdobnan,V.,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace",https://koeblergerhard.de/wikiling/?f=got&page=2,afdobnan,afdobnan
afdojan,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?f=got&page=2,afdojan,afdojan
afdomeins,F.,Verdammung,condemnation,https://koeblergerhard.de/wikiling/?f=got&page=2,afdomins,afdomins
afdomjan,V.,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure",https://koeblergerhard.de/wikiling/?f=got&page=2,afdomjan,afdomjan
afdrausjan,V.,hinabstürzen,"throw down off, throw down of",https://koeblergerhard.de/wikiling/?f=got&page=2,afdrɔsjan,afdrɔsjan
afdrugk,N.,Trinken,drinking up,https://koeblergerhard.de/wikiling/?f=got&page=2,afdruɡk,afdruɡk
afdrugkja,M.,Trunkenbold,drunkard,https://koeblergerhard.de/wikiling/?f=got&page=2,afdruɡkja,afdruɡkja
afdumbnan,V.,verstummen,"become still, subside into silence, fall off into dumbness",https://koeblergerhard.de/wikiling/?f=got&page=2,afdumbnan,afdumbnan
afet,N.,"Wegesserei, Fressen",gluttonous eating,https://koeblergerhard.de/wikiling/?f=got&page=2,afet,afet
afetja,M.,Fresser,"glutton, voracious eater",https://koeblergerhard.de/wikiling/?f=got&page=3,afetja,afetja
afets,Adj.,"essbar?, fresserisch","voracious in eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=3,afets,afets
affilhan,V.,verbergen,"hide from, conceal from",https://koeblergerhard.de/wikiling/?f=got&page=3,affɪlhan,affɪlhan
afgaggan,V.,"weggehen von, weggehen, weichen (V.) (2)","go away, leave (V.), depart (V.)",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡaɡɡan,afɡaɡɡan
afgiban,V.,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben","give o.s. away, separate (V.)",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡɪban,afɡɪban
afgrundiþa,F.,Abgrund,abyss,https://koeblergerhard.de/wikiling/?f=got&page=3,afɡrundɪθa,afɡrundɪθa
afgrundus,Adj.,abgründig,bottomless,https://koeblergerhard.de/wikiling/?f=got&page=3,afɡrundus,afɡrundus
afgudei,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡudi,afɡudi
afguþs,Adj.,"abgöttisch, gottlos","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡuθs,afɡuθs
afhaban,V.,sich enthalten,"abstain, withhold o.s.",https://koeblergerhard.de/wikiling/?f=got&page=3,afhaban,afhaban
