#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
1,a 5,got,Buchstabe,"a, Abkürzung für 1","a, abbreviation for 1",https://koeblergerhard.de/wikiling/?f=got&page=1
2,aba 27,got,M.,"Ehemann, Gatte","husband, man (M.)",https://koeblergerhard.de/wikiling/?f=got&page=1
3,abba 1,got,M.,Vater,father,https://koeblergerhard.de/wikiling/?f=got&page=1
4,abraba 3,got,Adv.,sehr,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?f=got&page=1
5,*abrjan?,got,V.,stark werden,become strong,https://koeblergerhard.de/wikiling/?f=got&page=1
6,abrs 1,got,Adj.,"stark, heftig","great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?f=got&page=1
7,abu,got,Präp.,,,https://koeblergerhard.de/wikiling/?f=got&page=1
8,*ada-,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=1
9,ada 1,got,N.,Ei,egg,https://koeblergerhard.de/wikiling/?f=got&page=1
10,*addi,got,N.,Ei,egg,https://koeblergerhard.de/wikiling/?f=got&page=1
11,*adra,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=1
12,*adrs,got,Adj.,"schnell, rasch","fast, quick",https://koeblergerhard.de/wikiling/?f=got&page=1
13,"ael 1, āl*",got,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?f=got&page=1
14,af 138,got,"Präp., V.","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of",https://koeblergerhard.de/wikiling/?f=got&page=1
15,afagjan* 2,got,V.,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt",https://koeblergerhard.de/wikiling/?f=got&page=1
16,afaikan 13,got,V.,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)",https://koeblergerhard.de/wikiling/?f=got&page=1
17,afaírzjan 6,got,V.,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)",https://koeblergerhard.de/wikiling/?f=got&page=1
18,afar 77,got,"Präp., V., Sb.","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>",https://koeblergerhard.de/wikiling/?f=got&page=1
19,afara* 1,got,M.,Nachkomme,descendant,https://koeblergerhard.de/wikiling/?f=got&page=1
20,"afardags* 1, afurdags*",got,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?f=got&page=1
21,afargaggan 7,got,V.,"nachgehen, folgen","go after, follow, accompany",https://koeblergerhard.de/wikiling/?f=got&page=2
22,afarlaistjan* 6,got,V.,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)",https://koeblergerhard.de/wikiling/?f=got&page=2
23,afarsabbate* 1,got,M.,Nachsabbat,post-Sabbath period,https://koeblergerhard.de/wikiling/?f=got&page=2
24,afaruh,got,Präp.,,,https://koeblergerhard.de/wikiling/?f=got&page=2
25,afaruþþan 2,got,Präp.,nach,after,https://koeblergerhard.de/wikiling/?f=got&page=2
26,afblindnan* 1,got,V.,erblinden,"become blind, lose (V.) one’s sight",https://koeblergerhard.de/wikiling/?f=got&page=2
27,afdailjan* 1,got,V.,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from",https://koeblergerhard.de/wikiling/?f=got&page=2
28,afdaubnan* 1,got,V.,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened",https://koeblergerhard.de/wikiling/?f=got&page=2
29,afdáuiþs* 1,got,"V., Adj.","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out",https://koeblergerhard.de/wikiling/?f=got&page=2
30,afdáujan*,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=2
31,afdauþjan 5,got,V.,töten,"put to death, make die, kill (V.), eliminate with death",https://koeblergerhard.de/wikiling/?f=got&page=2
32,afdōbnan* 1,got,V.,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace",https://koeblergerhard.de/wikiling/?f=got&page=2
33,"afdōjan* 1, afdaujan*",got,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?f=got&page=2
34,afdōmeins* 1,got,F.,Verdammung,condemnation,https://koeblergerhard.de/wikiling/?f=got&page=2
35,afdōmjan 6,got,V.,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure",https://koeblergerhard.de/wikiling/?f=got&page=2
36,afdrausjan 1,got,V.,hinabstürzen,"throw down off, throw down of",https://koeblergerhard.de/wikiling/?f=got&page=2
37,*afdrugk?,got,N.,Trinken,drinking up,https://koeblergerhard.de/wikiling/?f=got&page=2
38,afdrugkja 2,got,M.,Trunkenbold,drunkard,https://koeblergerhard.de/wikiling/?f=got&page=2
39,afdumbnan* 1,got,V.,verstummen,"become still, subside into silence, fall off into dumbness",https://koeblergerhard.de/wikiling/?f=got&page=2
40,*afēt?,got,N.,"Wegesserei, Fressen",gluttonous eating,https://koeblergerhard.de/wikiling/?f=got&page=2
41,afētja 2,got,M.,Fresser,"glutton, voracious eater",https://koeblergerhard.de/wikiling/?f=got&page=3
