H_phon,H_phon2,Count,V,C,o_phon,o_phon2,Count,V_o,C,,H_V:,ɒɛoeaøiøuyɜ¨ȣ∅
'ɒ',ɒ,62,ɒ,l,'k',k,104,ɜ,k,,H_C:,lhkmrɲjɡɟtnѕdvzpst͡ʃfʃb
'l',l,56,ɛ,h,'ɜ',ɜ,87,e,l,,,
'h',h,56,o,k,'e',e,82,a,t,,,
'k',k,40,e,m,'a',a,80,u,m,,,
'ɛ',ɛ,36,a,r,'l',l,47,o,ʃʲ,,,
'o',o,35,ø,ɲ,'t',t,45,æ,r,,,
'm',m,34,o,j,'m',m,41,i,j,,,
'r',r,31,e,ɡ,u',u,41,¨,n,,,
'eː',eː,30,u,ɟ,o',o,36,ȣ,nʲ,,,
'aː',aː,29,i,t,ɕ',ɕ,35,ɤ,ŋ,,,
'ɲ',ɲ,24,i,n,æ',æ,35,y,p,,,
'j',j,20,ø,ѕ,'r',r,26,",",β,,,
'ɡ',ɡ,20,u,d,'j',j,26,∅,t͡ʃ,,,
'ɟ',ɟ,19,y,v,'i',i,24,,ð,,,
't',t,18,y,z,'ɲ',ɲ,24,,ðʲ,,,
'n',n,18,ɜ,p,'n',n,19,,ɣ,,,
'ѕ',ѕ,16,¨,s,'ŋ',ŋ,16,,lʲ,,,
'd',d,15,ȣ,t͡ʃ,'p',p,14,,s,,,
'v',v,13,",",f,'β',β,9,,ʃ,,,
'ø',ø,13,∅,ʃ,'pp',pp,8,,t͡ʃʲ,,,
'oː',oː,11,,ll,'ȣ̈',ȣ̈,8,,θ,,,
'e',e,11,,tt,'t͡ʃ',t͡ʃ,8,,,,,
'z',z,10,,b,'ð',ð,7,,,,,
'uː',uː,10,,,'ȣ',ȣ,6,,,,,
'p',p,9,,,'kk',kk,6,,,,,
's',s,9,,,'ðʲ',ðʲ,5,,,,,
'i',i,9,,,'ɣ',ɣ,3,,,,,
't͡ʃ',t͡ʃ,8,,,'ʎ',ʎ,3,,,,,
'iː',iː,8,,,'tt',tt,3,,,,,
'øː',øː,7,,,'s',s,2,,,,,
'f',f,7,,,'ʃ',ʃ,1,,,,,
'ʃ',ʃ,6,,,'ɤ',ɤ,1,,,,,
'u',u,6,,,,,,,,,,
'll',ll,6,,,,,,,,,,
'y',y,4,,,,,,,,,,
'yː',yː,2,,,,,,,,,,
'iɛ',iɛ,1,,,,,,,,,,
'tt',tt,1,,,,,,,,,,
'b',b,1,,,,,,,,,,
