Hun,Old,Lan,H_xtra,o_extra,IPA
mese,aća,FP,,,mɛʃɛ
ágy,aδ̕ɜ,FU,,oδ̕ɜ,aːɟ
al,ala,U,,,ɒl
áld,alɜ,FU,,,aːld
ad,amta,FU,,,ɒd
old,aŋa,FU,,,old
aj,aŋe,U,,,ɒj
apa,appe,FU,,,ɒpɒ
ár,arwa,FU,,arγa,aːr
árt,arɜ,FU,,,aːrt
ének,äne,FU,,,eːnɛk
ég,äŋɜ,FU,,,eːɡ
szalad,ćaδa,FU,,śaδa,sɒlɒd
zaj,ćaka,FU,,,zɒj
szeg,ćäŋkɜ,FU,,śäŋkɜ,sɛɡ
ѕért,ćärke,FU,,,ѕeːrt
szűr,ćerɜ,FU,,,syːr
süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",ʃyh
seg,ćiŋkä,FU, Balagseg,ćüŋkä,ʃɛɡ
csomó,ćolme,FU,,,t͡ʃomoː
csorog,ćorɜ,U,,,t͡ʃoroɡ
szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",suː
csupor,ćuppɜ,FU,,,t͡ʃupor
csillog,ćȣlkɜ,FU,,ćȣ̈lkɜ,t͡ʃilloɡ
csün,ćȣ̈nɜ,U,,,t͡ʃyn
ѕápad,čappɜ,FU,,,ѕaːpɒd
ѕavanyú,čawɜ,Ug,,čapa,ѕɒvɒɲuː
csegely,čeŋkɜ,FU,,,t͡ʃɛɡɛj
ѕiet,čijɜ,FU,,"čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",ѕiɛt
ѕok,čukkɜ,FU,,čokkɜ,ѕok
ѕovány,čupa,FU,,,ѕovaːɲ
ez,e,U,,,ɛz
öcs,ećɜ,FU,,,øt͡ʃ
eѕ,ećɜ,U,,,ɛѕ
elő,eδe,FU,eleje,,ɛløː
éj,eje,FU,,üje,eːj
él,elä,U,,,eːl
em,emä,U, embër,,ɛm
ük,ewkkɜ,FU, ükanya,,yk
őѕ,ićä,U,,,øːѕ
íny,ike,FU,,"ikeńe, ikene",iːɲ
emlő,ime,U,,,ɛmløː
íz,ipɜ,U,,"ipɜsɜ, ipɜśɜ",iːz
ër,irkä,FU,,ürkä,er
iktat,jakka,FU,,,iktɒt
gyalog,jalka,FU,,,ɟɒloɡ
jel,jälke,FU,,,jɛl
ideg,jänte,U,,,idɛɡ
jég,jäŋe,FU,,,jeːɡ
év,jikä,FU,,ikä,eːv
jó,joke,U,,,joː
íj,joŋsɜ,U,,joŋksɜ,iːj
gyakori,jowkkɜ,FU,,,ɟɒkori
iv,juγe,FU,i,juke,iv
jöv,jȣ̈ŋɜ,Ug,,jȣ̈γɜ jȣ̈kɜ,jøv
hőѕ,kaća,U,,,høːѕ
hagy,kaδ̕a,U,,,hɒɟ
hölgy,kaδ̕wa,FU,,kaδ̕wɜ,hølɟ
hajít,kaja,FU,,,hɒjiːt
két,kakta,FU,,käktä,keːt
hal,kala,U,,,hɒl
háló,kalɜ,U,,,haːloː
hál,kalɜ,FU,,,haːl
hályog,kaĺwɜ,FU,,,haːjoɡ
háml,kama,U,,,haːml
hány,kanɜ,FU,,,haːɲ
hág,kaŋɜ,Ug,,kaŋkɜ,haːɡ
hat,kattɜ,U,,,hɒt
kel,kälä,FU,,,kɛl
kemény,kämä,FU,,,kɛmeːɲ
kéz,käte,FU,,,keːz
ki,ke,FU,,ki,ki
keszeg,kećä,FU,,,kɛsɛɡ
kengyel,kećɜ,FU,,,kɛnɟɛl
kécs,kečä,FU, isten kecskéje,,keːt͡ʃ
kéѕ,kečɜ,FU,,,keːѕ
kéj,keje,FU,,kȣ̈jγɜ,keːj
köved,keje,FU,,,køvɛd
këll,kelke,FU,,,kell
kevéѕ,kepä,FU,,,kɛveːѕ
kerek,kerä,FU,,,kɛrɛk
kér,kerä,FU,,,keːr
köré,kere,FU,,,køreː
kérëg,kere,FU,,,keːreɡ
kígyó,kije,U,,küje,kiːɟoː
követ,kijɜ,FU,,küjɜ,køvɛt
köd,kintɜ,U,,küntɜ,kød
könyök,kińä,FU,,"küńä, kinä, künä",køɲøk
könny,kińe,U,,"kińelɜ, küńe, küńelɜ",kønɲ
köt,kitke,FU,,kütke,køt
köz,kitɜ,FU,,kütɜ,køz
kő,kiwe,FU,,,køː
hagyma,koćmɜ,FU,,kaćmɜ,hɒɟmɒ
