Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old
mese,aća,FP,,,,mɛʃɛ,at͡ʃʲa,mɛʃɛ,mɛʃɛ,0at͡ʃʲa
ágy,aδ'ɜ,FU,,oδ'ɜ,,aɟ,aðʲɜ,aɟ∅,0aɟ∅,0aðʲɜ
al,ala,U,,,,ɒl,ala,ɒl∅,0ɒl∅,0ala
áld,alɜ,FU,,,,ald,alɜ,ald∅,0ald∅,0alɜ
ad,amta,FU,,,,ɒd,amta,ɒd∅,0ɒd∅,0amta
old,aŋa,FU,,,,old,aŋa,old∅,0old∅,0aŋa
aj,aŋe,U,,,,ɒj,aŋe,ɒj∅,0ɒj∅,0aŋe
apa,appe,FU,,,,ɒpɒ,appe,ɒpɒ,0ɒpɒ,0appe
ár,arwa,FU,,arγa,,ar,arβa,ar∅,0ar∅,0arβa
árt,arɜ,FU,,,,art,arɜ,art∅,0art∅,0arɜ
ének,äne,FU,,,,enɛk,æne,enɛk∅,0enɛk∅,0æne
ég,äŋɜ,FU,,,,eɡ,æŋɜ,eɡ∅,0eɡ∅,0æŋɜ
szalad,ćaδa,FU,,śaδa,,sɒlɒd,t͡ʃʲaða,sɒlɒd∅,sɒlɒd∅,t͡ʃʲaða
zaj,ćaka,FU,,,,zɒj,t͡ʃʲaka,zɒj∅,zɒj∅,t͡ʃʲaka
szeg,ćäŋkɜ,FU,,śäŋkɜ,,sɛɡ,t͡ʃʲæŋkɜ,sɛɡ∅,sɛɡ∅,t͡ʃʲæŋkɜ
sért,ćärke,FU,,,,ʃert,t͡ʃʲærke,ʃert∅,ʃert∅,t͡ʃʲærke
szűr,ćerɜ,FU,,,,syr,t͡ʃʲerɜ,syr∅,syr∅,t͡ʃʲerɜ
süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",,ʃyh,t͡ʃʲiklæ,ʃyh∅,ʃyh∅,t͡ʃʲiklæ
seg,ćiŋkä,FU, Balagseg,ćüŋkä,,ʃɛɡ,t͡ʃʲiŋkæ,ʃɛɡ∅,ʃɛɡ∅,t͡ʃʲiŋkæ
csomó,ćolme,FU,,,,t͡ʃomo,t͡ʃʲolme,t͡ʃomo,t͡ʃomo,t͡ʃʲolme
csorog,ćorɜ,U,,,,t͡ʃoroɡ,t͡ʃʲorɜ,t͡ʃoroɡ∅,t͡ʃoroɡ∅,t͡ʃʲorɜ
szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",,su,t͡ʃʲuɣɜ,su,su,t͡ʃʲuɣɜ
csupor,ćuppɜ,FU,,,,t͡ʃupor,t͡ʃʲuppɜ,t͡ʃupor∅,t͡ʃupor∅,t͡ʃʲuppɜ
csillog,ćȣlkɜ,FU,,ć¨lkɜ,,t͡ʃilloɡ,t͡ʃʲȣlkɜ,t͡ʃilloɡ∅,t͡ʃilloɡ∅,t͡ʃʲȣlkɜ
csün,ć¨nɜ,U,,,,t͡ʃyn,t͡ʃʲ¨nɜ,t͡ʃyn∅,t͡ʃyn∅,t͡ʃʲ¨nɜ
sápad,čappɜ,FU,,,,ʃapɒd,t͡ʃappɜ,ʃapɒd∅,ʃapɒd∅,t͡ʃappɜ
savanyú,čawɜ,Ug,,čapa,,ʃɒvɒɲu,t͡ʃaβɜ,ʃɒvɒɲu,ʃɒvɒɲu,t͡ʃaβɜ
csegely,čeŋkɜ,FU,,,,t͡ʃɛɡɛj,t͡ʃeŋkɜ,t͡ʃɛɡɛj∅,t͡ʃɛɡɛj∅,t͡ʃeŋkɜ
siet,čijɜ,FU,,"čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",,ʃiɛt,t͡ʃijɜ,ʃiɛt∅,ʃiɛt∅,t͡ʃijɜ
sok,čukkɜ,FU,,čokkɜ,,ʃok,t͡ʃukkɜ,ʃok∅,ʃok∅,t͡ʃukkɜ
sovány,čupa,FU,,,,ʃovaɲ,t͡ʃupa,ʃovaɲ∅,ʃovaɲ∅,t͡ʃupa
ez,e,U,,,,ɛz,e,ɛz∅,0ɛz∅,0e
öcs,ećɜ,FU,,,,øt͡ʃ,et͡ʃʲɜ,øt͡ʃ∅,0øt͡ʃ∅,0et͡ʃʲɜ
es,ećɜ,U,,,,ɛʃ,et͡ʃʲɜ,ɛʃ∅,0ɛʃ∅,0et͡ʃʲɜ
elő,eδe,FU,eleje,,,ɛlø,eðe,ɛlø,0ɛlø,0eðe
éj,eje,FU,,üje,,ej,eje,ej∅,0ej∅,0eje
él,elä,U,,,,el,elæ,el∅,0el∅,0elæ
em,emä,U, embër,,,ɛm,emæ,ɛm∅,0ɛm∅,0emæ
ük,ewkkɜ,FU, ükanya,,,yk,eβkkɜ,yk∅,0yk∅,0eβkkɜ
ős,ićä,U,,,,øʃ,it͡ʃʲæ,øʃ∅,0øʃ∅,0it͡ʃʲæ
íny,ike,FU,,"ikeńe, ikene",,iɲ,ike,iɲ∅,0iɲ∅,0ike
emlő,ime,U,,,,ɛmlø,ime,ɛmlø,0ɛmlø,0ime
íz,ipɜ,U,,"ipɜsɜ, ipɜśɜ",,iz,ipɜ,iz∅,0iz∅,0ipɜ
ër,irkä,FU,,ürkä,,er,irkæ,er∅,0er∅,0irkæ
iktat,jakka,FU,,,,iktɒt,jakka,iktɒt∅,0iktɒt∅,jakka
gyalog,jalka,FU,,,,ɟɒloɡ,jalka,ɟɒloɡ∅,ɟɒloɡ∅,jalka
jel,jälke,FU,,,,jɛl,jælke,jɛl∅,jɛl∅,jælke
ideg,jänte,U,,,,idɛɡ,jænte,idɛɡ∅,0idɛɡ∅,jænte
jég,jäŋe,FU,,,,jeɡ,jæŋe,jeɡ∅,jeɡ∅,jæŋe
év,jikä,FU,,ikä,,ev,jikæ,ev∅,0ev∅,jikæ
jó,joke,U,,,,jo,joke,jo,jo,joke
íj,joŋsɜ,U,,joŋksɜ,,ij,joŋsɜ,ij∅,0ij∅,joŋsɜ
gyakori,jowkkɜ,FU,,,,ɟɒkori,joβkkɜ,ɟɒkori,ɟɒkori,joβkkɜ
iv,juγe,FU,i,juke,,iv,juɣe,iv∅,0iv∅,juɣe
jöv,j¨ŋɜ,Ug,,j¨γɜ j¨kɜ,,jøv,j¨ŋɜ,jøv∅,jøv∅,j¨ŋɜ
hős,kaća,U,,,,høʃ,kat͡ʃʲa,høʃ∅,høʃ∅,kat͡ʃʲa
hagy,kaδ'a,U,,,,hɒɟ,kaðʲa,hɒɟ∅,hɒɟ∅,kaðʲa
hölgy,kaδ'wa,FU,,kaδ'wɜ,,hølɟ,kaðʲβa,hølɟ∅,hølɟ∅,kaðʲβa
hajít,kaja,FU,,,,hɒjit,kaja,hɒjit∅,hɒjit∅,kaja
két,kakta,FU,,käktä,,ket,kakta,ket∅,ket∅,kakta
hal,kala,U,,,,hɒl,kala,hɒl∅,hɒl∅,kala
háló,kalɜ,U,,,,halo,kalɜ,halo,halo,kalɜ
hál,kalɜ,FU,,,,hal,kalɜ,hal∅,hal∅,kalɜ
hályog,kaĺwɜ,FU,,,,hajoɡ,kaʎβɜ,hajoɡ∅,hajoɡ∅,kalʲβɜ
háml,kama,U,,,,haml,kama,haml∅,haml∅,kama
hány,kanɜ,FU,,,,haɲ,kanɜ,haɲ∅,haɲ∅,kanɜ
hág,kaŋɜ,Ug,,kaŋkɜ,,haɡ,kaŋɜ,haɡ∅,haɡ∅,kaŋɜ
hat,kattɜ,U,,,,hɒt,kattɜ,hɒt∅,hɒt∅,kattɜ
kel,kälä,FU,,,,kɛl,kælæ,kɛl∅,kɛl∅,kælæ
kemény,kämä,FU,,,,kɛmeɲ,kæmæ,kɛmeɲ∅,kɛmeɲ∅,kæmæ
kéz,käte,FU,,,,kez,kæte,kez∅,kez∅,kæte
ki,ke,FU,,ki,,ki,ke,ki,ki,ke
keszeg,kećä,FU,,,,kɛsɛɡ,ket͡ʃʲæ,kɛsɛɡ∅,kɛsɛɡ∅,ket͡ʃʲæ
kengyel,kećɜ,FU,,,,kɛnɟɛl,ket͡ʃʲɜ,kɛnɟɛl∅,kɛnɟɛl∅,ket͡ʃʲɜ
kécs,kečä,FU, isten kecskéje,,,ket͡ʃ,ket͡ʃæ,ket͡ʃ∅,ket͡ʃ∅,ket͡ʃæ
kés,kečɜ,FU,,,,keʃ,ket͡ʃɜ,keʃ∅,keʃ∅,ket͡ʃɜ
kéj,keje,FU,,k¨jγɜ,,kej,keje,kej∅,kej∅,keje
köved,keje,FU,,,,køvɛd,keje,køvɛd∅,køvɛd∅,keje
këll,kelke,FU,,,,kell,kelke,kell∅,kell∅,kelke
kevés,kepä,FU,,,,kɛveʃ,kepæ,kɛveʃ∅,kɛveʃ∅,kepæ
kerek,kerä,FU,,,,kɛrɛk,keræ,kɛrɛk∅,kɛrɛk∅,keræ
kér,kerä,FU,,,,ker,keræ,ker∅,ker∅,keræ
köré,kere,FU,,,,køre,kere,køre,køre,kere
kérëg,kere,FU,,,,kereɡ,kere,kereɡ∅,kereɡ∅,kere
kígyó,kije,U,,küje,,kiɟo,kije,kiɟo,kiɟo,kije
követ,kijɜ,FU,,küjɜ,,køvɛt,kijɜ,køvɛt∅,køvɛt∅,kijɜ
köd,kintɜ,U,,küntɜ,,kød,kintɜ,kød∅,kød∅,kintɜ
könyök,kińä,FU,,"küńä, kinä, künä",,køɲøk,kiɲæ,køɲøk∅,køɲøk∅,kinʲæ
