Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old,Vchanges
mese,aća,FP,,,,mɛʃɛ,at͡ʃʲa,mɛʃɛ,mɛʃɛ,0at͡ʃʲa,*a>ɛ³ *a>ɛ²
ágy,aδ'ɜ,FU,,oδ'ɜ,,aɟ,aðʲɜ,aɟ∅,0aɟ∅,0aðʲɜ,*a>a¹ *ɜ>∅²
al,ala,U,,,,ɒl,ala,ɒl∅,0ɒl∅,0ala,*a>ɒ¹ *a>∅²
áld,alɜ,FU,,,,ald,alɜ,ald∅,0ald∅,0alɜ,*a>a¹ *ɜ>∅²
ad,amta,FU,,,,ɒd,amta,ɒd∅,0ɒd∅,0amta,*a>ɒ¹ *a>∅²
old,aŋa,FU,,,,old,aŋa,old∅,0old∅,0aŋa,*a>o¹ *a>∅²
aj,aŋe,U,,,,ɒj,aŋe,ɒj∅,0ɒj∅,0aŋe,*a>ɒ¹ *e>∅²
apa,appe,FU,,,,ɒpɒ,appe,ɒpɒ,0ɒpɒ,0appe,*a>ɒ¹ *e>ɒ²
ár,arwa,FU,,arγa,,ar,arβa,ar∅,0ar∅,0arβa,*a>a¹ *a>∅²
árt,arɜ,FU,,,,art,arɜ,art∅,0art∅,0arɜ,*a>a¹ *ɜ>∅²
ének,äne,FU,,,,enɛk,æne,enɛk∅,0enɛk∅,0æne,*æ>e¹ *e>ɛ³
ég,äŋɜ,FU,,,,eɡ,æŋɜ,eɡ∅,0eɡ∅,0æŋɜ,*æ>e¹ *ɜ>∅²
szalad,ćaδa,FU,,śaδa,,sɒlɒd,t͡ʃʲaða,sɒlɒd∅,sɒlɒd∅,t͡ʃʲaða,*a>ɒ³ *a>ɒ³
zaj,ćaka,FU,,,,zɒj,t͡ʃʲaka,zɒj∅,zɒj∅,t͡ʃʲaka,*a>ɒ³ *a>∅²
szeg,ćäŋkɜ,FU,,śäŋkɜ,,sɛɡ,t͡ʃʲæŋkɜ,sɛɡ∅,sɛɡ∅,t͡ʃʲæŋkɜ,*æ>ɛ³ *ɜ>∅²
sért,ćärke,FU,,,,ʃert,t͡ʃʲærke,ʃert∅,ʃert∅,t͡ʃʲærke,*æ>e³ *e>∅²
szűr,ćerɜ,FU,,,,syr,t͡ʃʲerɜ,syr∅,syr∅,t͡ʃʲerɜ,*e>y³ *ɜ>∅²
süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",,ʃyh,t͡ʃʲiklæ,ʃyh∅,ʃyh∅,t͡ʃʲiklæ,*i>y³ *æ>∅²
seg,ćiŋkä,FU, Balagseg,ćüŋkä,,ʃɛɡ,t͡ʃʲiŋkæ,ʃɛɡ∅,ʃɛɡ∅,t͡ʃʲiŋkæ,*i>ɛ³ *æ>∅²
csomó,ćolme,FU,,,,t͡ʃomo,t͡ʃʲolme,t͡ʃomo,t͡ʃomo,t͡ʃʲolme,*o>o³ *e>o²
csorog,ćorɜ,U,,,,t͡ʃoroɡ,t͡ʃʲorɜ,t͡ʃoroɡ∅,t͡ʃoroɡ∅,t͡ʃʲorɜ,*o>o³ *ɜ>o³
szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",,su,t͡ʃʲuɣɜ,su,su,t͡ʃʲuɣɜ,*u>u³ *ɜ>∅³
csupor,ćuppɜ,FU,,,,t͡ʃupor,t͡ʃʲuppɜ,t͡ʃupor∅,t͡ʃupor∅,t͡ʃʲuppɜ,*u>u³ *ɜ>o³
csillog,ćȣlkɜ,FU,,ć¨lkɜ,,t͡ʃilloɡ,t͡ʃʲȣlkɜ,t͡ʃilloɡ∅,t͡ʃilloɡ∅,t͡ʃʲȣlkɜ,*ȣ>i³ *ɜ>o³
csün,ć¨nɜ,U,,,,t͡ʃyn,t͡ʃʲ¨nɜ,t͡ʃyn∅,t͡ʃyn∅,t͡ʃʲ¨nɜ,*¨>y³ *ɜ>∅²
