Old,New,C_cng,Count,all_examples
*r,r³,*r>r³, 19,"*ń¨rɜ>nyír, *oćtɜrɜ>ostor, *purɜ>far, *arɜ >ara, *arɜ >iránt, *äppɜrɜkɜ>epër, *ϑarańa>arany, *ϑarɜ>ár, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *märɜ>mer, *märɜ>mer, *merɜ  >mered, *mȣrɜ>marok, *ńärɜ>nyer, *sȣrɜ>szár, *tärɜ>tér, *turɜ>torok, *warɜ>vár, "
*p,f¹,*p>f¹, 19,"*palγɜ>falu, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *päkkɜ>fék, *pejɜ>fejt, *pekkɜ>fekély, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pimɜ>fű, *pukkɜ>fok, *pulɜ>fulánk, *puŋɜ>fog, *pȣγrɜ>fárad, *pȣlɜ>foly, *pȣĺćɜ>faggyú, *p¨kkɜttɜ>fekete, "
*0,0¹,*0>0¹, 17,"*oćtɜrɜ>ostor, *aktɜ>utál, *alama  >alom, *alɜ >olt, *ańćɜ>ágyék, *arɜ >ara, *arɜ >iránt, *äjɜ>i, *älɜ >Erdély, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *eŋkɜrɜ>ígér, *iśɜ  >üsző, *itɜ>űz, *oŋtɜ >oldal, *ȣjɜ>ajtó, "
*k,h¹,*k>h¹, 14,"*kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, "
*m,m¹,*m>m¹, 13,"*malkɜ>malát, *mańćɜ>magyar, *mańćɜ>mese, *marɜ>márt, *mälɜ>meleg, *märɜ>mer, *märɜ>mer, *mećɜ>meztelen, *melɜ>mély, *menɜ>mënyül, *merɜ  >mered, *mȣrɜ>marok, *m¨lɜ>méltó, "
*k,k¹,*k>k¹, 9,"*k¨śɜ>küzd, *käńćɜ>keshed, *kećɜ>kísér, *ki >ki, *k¨ćɜ >kesered, *k¨lɜ >köles, *k¨ntɜ>kedv, *k¨nɜ>könnyű, *k¨sɜ>köszörül, "
*0,l³,*0>l³, 9,"*l¨pɜ>levél, *aktɜ>utál, *ćukkɜ >csókol, *kajɜ>hajol, *k¨sɜ>köszörül, *mećɜ>meztelen, *menɜ>mënyül, *oŋtɜ >oldal, *sȣjɜ >szédül, "
*l,l³,*l>l³, 9,"*alama  >alom, *k¨lɜ >köles, *mälɜ>meleg, *pentɜlɜ>födél, *pilɜ>fűl, *pulɜ>fulánk, *selɜ>szél, *silɜ>szül, *talɜ>tál, "
*kk,k³,*kk>k³, 9,"*ćukkɜ >csókol, *ϑȣkkɜ>akad, *jȣkkɜ>gyak, *j¨kkɜrɜ>gyökér, *päkkɜ>fék, *pekkɜ>fekély, *pukkɜ>fok, *p¨kkɜttɜ>fekete, *täkkɜ>tekint, "
*s,s¹,*s>s¹, 9,"*sawɜ>szó, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *sȣjɜ >szédül, *sȣlkɜ  >szalu, *sȣŋɜ>száguld, *sȣrɜ>szár, "
*t,t¹,*t>t¹, 9,"*tajɜttɜ>titok, *talɜ>tál, *täkkɜ>tekint, *täŋɜtɜ>tegëz, *tärɜ>tér, *tepɜ>téved, *tultɜ>táltos, *turɜ>torok, *tüγɜtɜ>tűz, "
*0,d³,*0>d³, 8,"*čeppɜ>süpped, *ϑȣkkɜ>akad, *kaćɜ>hasad, *käńćɜ>keshed, *k¨ćɜ >kesered, *merɜ  >mered, *pȣγrɜ>fárad, *tepɜ>téved, "
*ŋ,ɡ³,*ŋ>ɡ³, 6,"*kaŋɜ>hág, *waŋɜ>vág, *puŋɜ>fog, *suŋɜ>zug, *sȣŋɜ>száguld, *täŋɜtɜ>tegëz, "
*j,j¹,*j>j¹, 5,"*j¨ŋɜ>jöv, *jomɜ  >jó, *ju>joh, *juktɜ>jut, *jȣttɜ>ját, "
*t,z³,*t>z³, 5,"*pȣtɜ>fáz, *itɜ>űz, *j¨tɜ>íz, *katɜ>híz, *täŋɜtɜ>tegëz, "
*0,k³,*0>k³, 5,"*śakkɜ >szaka, *śaĺɜ>száldok, *ańćɜ>ágyék, *mȣrɜ>marok, *turɜ>torok, "
