Old,New,V_cng,Count,all_examples
*ɜ,∅²,*ɜ>∅², 65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, "
*ɜ,e³,*ɜ>e³, 12,"*l¨pɜ>levél, *ańćɜ>ágyék, *älɜ >Erdély, *äppɜrɜkɜ>epër, *čettɜ>sötét, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *kećɜ>kísér, *närkɜ>nyerëg, *pekkɜ>fekély, *pentɜlɜ>födél, *täŋɜtɜ>tegëz, "
*ɜ,∅³,*ɜ>∅³, 11,"*äjɜ>i, *äppɜrɜkɜ>epër, *jomɜ  >jó, *kottɜŋɜ>hattyú, *kupɜtɜ>húz, *luwɜ >ló, *pimɜ>fű, *raŋɜ>rá, *sawɜ>szó, *säγɜrɜ>szőr, *tüγɜtɜ>tűz, "
*æ,ɛ³,*æ>ɛ³, 10,"*päčɜ>fesl, *käńćɜ>keshed, *läćɜ>les, *mälɜ>meleg, *märɜ>mer, *märɜ>mer, *närkɜ>nyerëg, *ńärɜ>nyer, *täkkɜ>tekint, *täŋɜtɜ>tegëz, "
*ɜ,ɛ³,*ɜ>ɛ³, 10,"*čeppɜ>süpped, *käńćɜ>keshed, *k¨ćɜ >kesered, *k¨lɜ >köles, *mälɜ>meleg, *mećɜ>meztelen, *merɜ  >mered, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *tepɜ>téved, "
*a,ɒ³,*a>ɒ³, 9,"*čawɜ>savanyú, *palγɜ>falu, *ϑarańa>arany, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *malkɜ>malát, *mańćɜ>magyar, "
*ɜ,ɒ³,*ɜ>ɒ³, 9,"*čawɜ>savanyú, *śakkɜ >szaka, *ϑȣkkɜ>akad, *kaćɜ>hasad, *kuδ'ɜ >hagyap, *mańćɜ>magyar, *oŋtɜ >oldal, *pȣγrɜ>fárad, *rȣkkɜ>rokkan, "
*u,o³,*u>o³, 9,"*puśɜ>foszl, *ćukkɜ >csókol, *ju>joh, *kućɜ>hoz, *kumtɜ  >hód, *luwɜ >ló, *pukkɜ>fok, *puŋɜ>fog, *turɜ>torok, "
*ɜ,o³,*ɜ>o³, 8,"*oćtɜrɜ>ostor, *śaĺɜ>száldok, *ćukkɜ >csókol, *kajɜ>hajol, *mȣrɜ>marok, *tajɜttɜ>titok, *tultɜ>táltos, *turɜ>torok, "
*a,a³,*a>a³, 7,"*kaŋɜ>hág, *śaĺɜ>száldok, *waŋɜ>vág, *marɜ>márt, *raŋɜ>rá, *talɜ>tál, *warɜ>vár, "
*¨,ɛ³,*¨>ɛ³, 6,"*l¨pɜ>levél, *k¨ćɜ >kesered, *k¨ntɜ>kedv, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese, "
*ȣ,ɒ³,*ȣ>ɒ³, 6,"*jȣkkɜ>gyak, *jȣrɜ>gyalu, *kȣńćɜ>hagy, *mȣrɜ>marok, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu, "
*¨,ø³,*¨>ø³, 5,"*j¨ŋɜ>jöv, *j¨kkɜrɜ>gyökér, *k¨lɜ >köles, *k¨nɜ>könnyű, *k¨sɜ>köszörül, "
*ɜ,u²,*ɜ>u², 5,"*kuδ'mɜ>hamu, *palγɜ>falu, *jȣrɜ>gyalu, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu, "
*ȣ,a³,*ȣ>a³, 5,"*pȣtɜ>fáz, *jȣttɜ>ját, *pȣγrɜ>fárad, *sȣŋɜ>száguld, *sȣrɜ>szár, "
*e,ɛ³,*e>ɛ³, 5,"*reŋɜ >rejt, *mećɜ>meztelen, *merɜ  >mered, *pejɜ>fejt, *pekkɜ>fekély, "
*ɜ,a³,*ɜ>a³, 5,"*aktɜ>utál, *arɜ >iránt, *karɜ>harkály, *malkɜ>malát, *pulɜ>fulánk, "
*i,y³,*i>y³, 5,"*čittɜ>süt, *pičɜ  >füst, *pilɜ>fűl, *pimɜ>fű, *silɜ>szül, "
*e,e³,*e>e³, 5,"*melɜ>mély, *menɜ>mënyül, *selɜ>szél, *seŋkɜ>szëg, *tepɜ>téved, "
*u,ɒ³,*u>ɒ³, 4,"*kuδ'mɜ>hamu, *kuntalɜ>hall, *purɜ>far, *kuδ'ɜ >hagyap, "
*a,ɒ¹,*a>ɒ¹, 4,"*alama  >alom, *arɜ >ara, *ϑarańa>arany, *ϑasɜ>asz, "
*æ,e³,*æ>e³, 4,"*ϑäptɜ>hét, *näkɜ  >nyék, *päkkɜ>fék, *tärɜ>tér, "
*u,u³,*u>u³, 4,"*juktɜ>jut, *kupɜtɜ>húz, *pulɜ>fulánk, *suŋɜ>zug, "
