Old,New,C_cng,Count,all_examples
*k,h¹,*k>h¹, 64,"*kaća>hős, *kaδ'a>hagy, *kaδ'wa>hölgy, *kaja>hajít, *kala>hal, *kalɜ>háló, *kalɜ>hál, *kaĺwɜ>hályog, *kama>háml, *kanɜ>hány, *kaŋɜ>hág, *kattɜ>hat, *koćmɜ>hagyma, *koja>héj, *koje>hajnal, *kojmɜ>hím, *kojra>here, *kola>hal, *kolme>három, *kolɜ>halok, *konɜ>hón, *konɜCx>hanyatt, *końćkɜ>hárs, *końćɜ>hosszú, *korpe>hërvad, *korɜ>horol, *kota>ház, *ku>ho, *kuδɜ>holnap, *kuδ'mɜ>hamu, *kuje>háj, *kule>hall, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kumɜ>homály, *kunta>had, *kuntalɜ>hall, *kuńa>huny, *kuńće>hangya, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurńa>hornyol, *kurɜ>horó, *kurɜ>harántos, *kurɜ>harag, *kuśɜ>húsz, *kutte>hat, *kuttɜ>hát, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, "
*p,f¹,*p>f¹, 60,"*paδɜ>fal, *paδ'tɜ>fajd, *pajɜ>fagyal, *pakka>fakad, *pala>fal, *palγɜ>falu, *paĺa>fagy, *parɜ>farag, *pata>fazék, *päćkɜ>fëcske, *päčɜ>fesl, *pälä>fél, *pänɜ>fen, *päŋe>fej, *pećɜ>fűz, *peje>fő, *pele >fél, *pele>fél, *peljä>figyel, *pentɜ>fëd, *perkɜ >férëg, *pesä>fészëk, *piδe >fëlëtt, *pilwe >fëlhő, *piŋe>fog, *piŋe >fogoly, *pojka>fiú, *pućka >fos, *pućɜrɜ>facsar, *pučɜ>fogy, *pukta>fut, *puna>fan, *puna>fon, *pura>fúr, *purɜ>far, *puśɜ>foszl, *puwɜ>fa, *puwɜ >fúj, *puwɜ >fúl, *pȣčɜ>fágy, *pȣjɜ>fú, *pȣnɜ>fing, *pȣrkɜ >forog, *pȣtɜ>fáz, *p¨jćɜ>fejsze, *p¨nɜ>fenyő, *päkkɜ>fék, *pejɜ>fejt, *pekkɜ>fekély, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pimɜ>fű, *pukkɜ>fok, *pulɜ>fulánk, *puŋɜ>fog, *pȣγrɜ>fárad, *pȣlɜ>foly, *pȣĺćɜ>faggyú, *p¨kkɜttɜ>fekete, "
*r,r³,*r>r³, 53,"*ćerɜ>szűr, *ćorɜ>csorog, *kerä>kerek, *kerä>kér, *kere>köré, *kere>kérëg, *korɜ>horol, *kurɜ>horó, *kurɜ>harántos, *kurɜ>harag, *mura>mar, *mȣrɜ>mar, *ńorɜ>nyirok, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *ońćarɜ>agyar, *ora>ár, *parɜ>farag, *perɜ>bőr, *pućɜrɜ>facsar, *pura>fúr, *purɜ>far, *särɜ>ér, *sorɜ>arasz, *śarɜ>szürügy, *śarɜ >szar, *śarɜ>szárad, *śerɜ>szër, *śorɜ>szorul, *śurɜ>szurok, *šärɜ>ér, *šerɜ >ér, *šiŋere>egér, *tarɜkɜ >daru, *terä>tőr, *terɜ>tér, *wire>vér, *arɜ >ara, *arɜ >iránt, *äppɜrɜkɜ>epër, *ϑarańa>arany, *ϑarɜ>ár, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *märɜ>mer, *märɜ>mer, *merɜ  >mered, *mȣrɜ>marok, *ńärɜ>nyer, *sȣrɜ>szár, *tärɜ>tér, *turɜ>torok, *warɜ>vár, "
*0,0¹,*0>0¹, 52,"*aδ'ɜ>ágy, *ala>al, *alɜ>áld, *amta>ad, *aŋa>old, *aŋe>aj, *appe>apa, *arwa>ár, *arɜ>árt, *äne>ének, *äŋɜ>ég, *e>ez, *ećɜ>öcs, *ećɜ>es, *eδe>elő, *eje>éj, *elä>él, *emä>em, *ewkkɜ>ük, *ićä>ős, *ike>íny, *ime>emlő, *ipɜ>íz, *irkä>ër, *o>az, *oćtɜrɜ>ostor, *oδa>al, *oδamɜ>álom, *olɜ>áll, *ońćarɜ>agyar, *ora>ár, *orpa>árva, *uje>úsz, *utka>út, *ȣćɜ>ásít, *¨>ë, *aktɜ>utál, *alama  >alom, *alɜ >olt, *ańćɜ>ágyék, *arɜ >ara, *arɜ >iránt, *äjɜ>i, *älɜ >Erdély, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *eŋkɜrɜ>ígér, *iśɜ  >üsző, *itɜ>űz, *oŋtɜ >oldal, *ȣjɜ>ajtó, "
*k,k¹,*k>k¹, 34,"*kakta>két, *kälä>kel, *kämä>kemény, *käte>kéz, *ke>ki, *kećä>keszeg, *kećɜ>kengyel, *kečä>kécs, *kečɜ>kés, *keje>kéj, *keje>köved, *kelke>këll, *kepä>kevés, *kerä>kerek, *kerä>kér, *kere>köré, *kere>kérëg, *kije>kígyó, *kijɜ>követ, *kintɜ>köd, *kińä>könyök, *kińe>könny, *kitke>köt, *kitɜ>köz, *kiwe>kő, *k¨śɜ>küzd, *käńćɜ>keshed, *kećɜ>kísér, *ki >ki, *k¨ćɜ >kesered, *k¨lɜ >köles, *k¨ntɜ>kedv, *k¨nɜ>könnyű, *k¨sɜ>köszörül, "
*m,m¹,*m>m¹, 33,"*maksa>máj, *mänɜ>ment, *mećä>messze, *mekše>méh, *mene>mën, *mete>méz, *mińä>mëny, *mińɜ>mënny, *miŋä>mëg, *moĺɜ>mëggy, *mu>más, *mulɜ>múl, *muna>mogyoró, *muŋkɜ>mag, *mura>mar, *muśke>mos, *mȣlɜ>mál, *mȣrɜ>mar, *m¨>mi, *mɜ>mi, *malkɜ>malát, *mańćɜ>magyar, *mańćɜ>mese, *marɜ>márt, *mälɜ>meleg, *märɜ>mer, *märɜ>mer, *mećɜ>meztelen, *melɜ>mély, *menɜ>mënyül, *merɜ  >mered, *mȣrɜ>marok, *m¨lɜ>méltó, "
*t,t¹,*t>t¹, 33,"*tappa>tapod, *tä>té, *täje>tetű, *tälwä>tél, *täwδe >tele, *täwe>tüdő, *teke>tëv, *tekɜ>tűz, *temɜ>töm, *teppɜ>több, *terä>tőr, *terɜ>tér, *tiŋe >tő, *to>tova, *totke>tat, *towkɜ>tavasz, *towɜ>tó, *tuδ'ka>tőgy, *tuktɜ>tat, *tulka>toll, *tumte>tud, *turja>tarja, *t¨>të, *t¨>ti, *tajɜttɜ>titok, *talɜ>tál, *täkkɜ>tekint, *täŋɜtɜ>tegëz, *tärɜ>tér, *tepɜ>téved, *tultɜ>táltos, *turɜ>torok, *tüγɜtɜ>tűz, "
*l,l³,*l>l³, 32,"*ala>al, *elä>él, *kala>hal, *kalɜ>háló, *kalɜ>hál, *kälä>kel, *kola>hal, *kolɜ>halok, *mulɜ>múl, *mȣlɜ>mál, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *pala>fal, *pälä>fél, *pele >fél, *pele>fél, *sile >öl, *śala>szil, *śale>szilánk, *śalɜ >szalag, *śälä >szel, *wole>vol, *alama  >alom, *k¨lɜ >köles, *mälɜ>meleg, *pentɜlɜ>födél, *pilɜ>fűl, *pulɜ>fulánk, *selɜ>szél, *silɜ>szül, *talɜ>tál, "
*β,v¹,*β>v¹, 30,"*waćɜ>vessző, *wačɜ>vás, *waδ'kɜ>völgy, *waja>vejsze, *wajće>vöcsök, *walka>vál, *walkɜ>villám, *waĺɜ>villám, *wamta>vad, *waŋɜ>vág, *warɜ>varjú, *warɜ>virrad, *waśke>vas, *wäntɜ>véd, *wäŋćɜ>vés, *wäŋe>vő, *wekkɜ>vékony, *wetä>vezet, *wete>víz, *wića>vigyáz, *wiδɜ >velő, *wiγe>viv, *wire>vér, *woje>vaj, *woje>vív, *wole>vol, *wolka>váll, *workɜ>varr, *warɜ>vár, *w¨ćɜ>vese, "
*0,d³,*0>d³, 20,"*ćaδa>szalad, *čappɜ>sápad, *keje>köved, *korpe>hërvad, *kulke>halad, *pakka>fakad, *puńa>bonyolód, *sula>olvad, *śarɜ>szárad, *šoppɜ >apad, *tappa>tapod, *warɜ>virrad, *čeppɜ>süpped, *ϑȣkkɜ>akad, *kaćɜ>hasad, *käńćɜ>keshed, *k¨ćɜ >kesered, *merɜ  >mered, *pȣγrɜ>fárad, *tepɜ>téved, "
*ʃʲ,s¹,*ʃʲ>s¹, 20,"*śala>szil, *śale>szilánk, *śalkɜ>szál, *śalɜ >szalag, *śaĺɜ>száldok, *śarɜ>szürügy, *śarɜ >szar, *śarɜ>szárad, *śata>száz, *śälä >szel, *śäŋe>sző, *śerɜ>szër, *śiδä >szív, *śilmä>szëm, *śomɜ>szomjú, *śorwa>szarv, *śorɜ>szorul, *śurwa>szúr, *śurɜ>szurok, *śuwe>száj, "
*l,l¹,*l>l¹, 18,"*lappɜ>lapos, *läppɜ>lép, *le>lë, *leme>lé, *leppɜ>lep, *lewe>lő, *lewlɜ>lélëk, *likkä>lök, *lomɜ>láng, *lońća>lágy, *loŋe>lóg, *lunta>lúd, *lȣńćɜ>légy, *lȣppɜ>láp, *l¨ppɜ>lepke, *l¨pɜ>levél, *läćɜ>les, *luwɜ >ló, "
*s,0¹,*s>0¹, 18,"*salkɜ>áll, *säje>év, *säle >ell, *säŋe>ég, *säppä>epe, *särɜ>ér, *säwnä>őn, *sewe >ëv, *sɤne >ín, *sikśe >ősz, *sile >öl, *soja>ujj, *soŋe>avat, *soŋkɜ >agg, *sorɜ>arasz, *suδ'ɜ>ujj, *sula>olvad, *s¨>ő, "
*0,l³,*0>l³, 17,"*kećɜ>kengyel, *koje>hajnal, *korɜ>horol, *kurńa>hornyol, *l¨pɜ>levél, *pajɜ>fagyal, *peljä>figyel, *puńa>bonyolód, *śorɜ>szorul, *aktɜ>utál, *ćukkɜ >csókol, *kajɜ>hajol, *k¨sɜ>köszörül, *mećɜ>meztelen, *menɜ>mënyül, *oŋtɜ >oldal, *sȣjɜ >szédül, "
*0,k³,*0>k³, 16,"*äne>ének, *kerä>kerek, *kińä>könyök, *kolɜ>halok, *kuma>homlok, *lewlɜ>lélëk, *ńorɜ>nyirok, *pata>fazék, *pesä>fészëk, *śakkɜ >szaka, *śaĺɜ>száldok, *śurɜ>szurok, *wajće>vöcsök, *ańćɜ>ágyék, *mȣrɜ>marok, *turɜ>torok, "
*ŋ,ɡ³,*ŋ>ɡ³, 15,"*äŋɜ>ég, *jäŋe>jég, *kaŋɜ>hág, *loŋe>lóg, *miŋä>mëg, *ńuŋɜ>nyug, *piŋe>fog, *piŋe >fogoly, *säŋe>ég, *šiŋere>egér, *waŋɜ>vág, *puŋɜ>fog, *suŋɜ>zug, *sȣŋɜ>száguld, *täŋɜtɜ>tegëz, "
*0,ɡ³,*0>ɡ³, 14,"*ćorɜ>csorog, *ćȣlkɜ>csillog, *jalka>gyalog, *jänte>ideg, *kaĺwɜ>hályog, *kećä>keszeg, *kere>kérëg, *kurɜ>harag, *parɜ>farag, *perkɜ >férëg, *pȣrkɜ >forog, *śalɜ >szalag, *mälɜ>meleg, *närkɜ>nyerëg, "
*kk,k³,*kk>k³, 14,"*čukkɜ>sok, *likkä>lök, *pakka>fakad, *rakka>rokon, *wekkɜ>vékony, *ćukkɜ >csókol, *ϑȣkkɜ>akad, *jȣkkɜ>gyak, *j¨kkɜrɜ>gyökér, *päkkɜ>fék, *pekkɜ>fekély, *pukkɜ>fok, *p¨kkɜttɜ>fekete, *täkkɜ>tekint, "
*t,z³,*t>z³, 13,"*käte>kéz, *kitɜ>köz, *kota>ház, *mete>méz, *pata>fazék, *pȣtɜ>fáz, *śata>száz, *wetä>vezet, *wete>víz, *itɜ>űz, *j¨tɜ>íz, *katɜ>híz, *täŋɜtɜ>tegëz, "
*nʲ,ɲ¹,*nʲ>ɲ¹, 12,"*ńälmä>nyelv, *ńele>nyel, *ńɤle>nyíl, *ńikɜ>nyű, *ńole>nyal, *ńoma>nyúl, *ńorɜ>nyirok, *ńukśe>nyuszt, *ńuŋɜ>nyug, *ń¨rɜ>nyír, *ńalɜ>nyolc, *ńärɜ>nyer, "
*t͡ʃʲ,ʃ³,*t͡ʃʲ>ʃ³, 11,"*aća>mese, *ećɜ>es, *ićä>ős, *kaća>hős, *raćɜ>rés, *ȣćɜ>ásít, *kaćɜ>hasad, *kećɜ>kísér, *k¨ćɜ >kesered, *läćɜ>les, *w¨ćɜ>vese, "
*pp,p³,*pp>p³, 11,"*appe>apa, *ćuppɜ>csupor, *čappɜ>sápad, *lappɜ>lapos, *läppɜ>lép, *leppɜ>lep, *lȣppɜ>láp, *säppä>epe, *šoppɜ >apad, *tappa>tapod, *äppɜrɜkɜ>epër, "
*0,t³,*0>t³, 11,"*čijɜ>siet, *jakka>iktat, *kaja>hajít, *kijɜ>követ, *kura>harmat, *soŋe>avat, *wetä>vezet, *ȣćɜ>ásít, *čettɜ>sötét, *malkɜ>malát, *m¨kɜ  >nevet, "
*ð,l³,*ð>l³, 9,"*ćaδa>szalad, *eδe>elő, *niδe>nyél, *oδa>al, *oδamɜ>álom, *paδɜ>fal, *piδe >fëlëtt, *weδɜ>öl, *wiδɜ >velő, "
*j,j³,*j>j³, 9,"*eje>éj, *kaja>hajít, *keje>kéj, *koja>héj, *kuje>háj, *śoje>zaj, *woje>vaj, *kajɜ>haj, *kajɜ>hajol, "
*s,s¹,*s>s¹, 9,"*sawɜ>szó, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *sȣjɜ >szédül, *sȣlkɜ  >szalu, *sȣŋɜ>száguld, *sȣrɜ>szár, "
*n,n³,*n>n³, 8,"*äne>ének, *ć¨nɜ>csün, *konɜ>hón, *mene>mën, *pänɜ>fen, *puna>fan, *puna>fon, *sɤne >ín, "
*t͡ʃʲ,t͡ʃ³,*t͡ʃʲ>t͡ʃ³, 8,"*ćolme>csomó, *ćorɜ>csorog, *ćuppɜ>csupor, *ćȣlkɜ>csillog, *ć¨nɜ>csün, *ećɜ>öcs, *pućɜrɜ>facsar, *ćukkɜ >csókol, "
*t͡ʃ,ʃ¹,*t͡ʃ>ʃ¹, 8,"*čappɜ>sápad, *čawɜ>savanyú, *čijɜ>siet, *čukkɜ>sok, *čupa>sovány, *čeppɜ>süpped, *čettɜ>sötét, *čittɜ>süt, "
*j,j¹,*j>j¹, 8,"*jälke>jel, *jäŋe>jég, *joke>jó, *j¨ŋɜ>jöv, *jomɜ  >jó, *ju>joh, *juktɜ>jut, *jȣttɜ>ját, "
*tt,t³,*tt>t³, 8,"*kattɜ>hat, *kutte>hat, *kuttɜ>hát, *witte>öt, *čettɜ>sötét, *čittɜ>süt, *jȣttɜ>ját, *p¨kkɜttɜ>fekete, "
*nʲt͡ʃʲ,ɟ³,*nʲt͡ʃʲ>ɟ³, 8,"*kuńće>húgy, *kuńćɜ>húgy, *lońća>lágy, *lȣńćɜ>légy, *ońćarɜ>agyar, *ańćɜ>ágyék, *kȣńćɜ>hagy, *mańćɜ>magyar, "
*r,r¹,*r>r¹, 8,"*raćɜ>rés, *rakka>rokon, *räćɜ>rész, *reŋɜ >rejt, *repä >ravasz, *rokɜ >ró, *raŋɜ>rá, *rȣkkɜ>rokkan, "
*ŋk,ɡ³,*ŋk>ɡ³, 7,"*ćäŋkɜ>szeg, *ćiŋkä>seg, *čeŋkɜ>csegely, *muŋkɜ>mag, *tuŋke>dug, *eŋkɜrɜ>ígér, *seŋkɜ>szëg, "
*0,r³,*0>r³, 7,"*ćuppɜ>csupor, *jowkkɜ>gyakori, *muna>mogyoró, *kećɜ>kísér, *k¨ćɜ >kesered, *k¨sɜ>köszörül, *mańćɜ>magyar, "
*lk,l³,*lk>l³, 7,"*jalka>gyalog, *jälke>jel, *kulke>halad, *śalkɜ>szál, *walka>vál, *malkɜ>malát, *sȣlkɜ  >szalu, "
*nt,d³,*nt>d³, 7,"*jänte>ideg, *kintɜ>köd, *kunta>had, *lunta>lúd, *pentɜ>fëd, *wäntɜ>véd, *pentɜlɜ>födél, "
*ŋ,0³,*ŋ>0³, 7,"*kuŋe>hó, *niŋä>nő, *śäŋe>sző, *tiŋe >tő, *wäŋe>vő, *kottɜŋɜ>hattyú, *raŋɜ>rá, "
*lk,ll³,*lk>ll³, 6,"*ćȣlkɜ>csillog, *kelke>këll, *salkɜ>áll, *tulka>toll, *walkɜ>villám, *wolka>váll, "
*0,j³,*0>j³, 6,"*čeŋkɜ>csegely, *kumɜ>homály, *piŋe >fogoly, *älɜ >Erdély, *karɜ>harkály, *pekkɜ>fekély, "
*m,m³,*m>m³, 6,"*emä>em, *kämä>kemény, *kumɜ>homály, *oδamɜ>álom, *temɜ>töm, *alama  >alom, "
*j,0¹,*j>0¹, 6,"*jakka>iktat, *jänte>ideg, *jikä>év, *joŋsɜ>íj, *juγe>iv, *j¨tɜ>íz, "
*0,ʃ³,*0>ʃ³, 6,"*kepä>kevés, *kurɜ>harántos, *lappɜ>lapos, *mu>más, *k¨lɜ >köles, *tultɜ>táltos, "
*β,0³,*β>0³, 6,"*kiwe>kő, *lewe>lő, *puwɜ>fa, *towɜ>tó, *luwɜ >ló, *sawɜ>szó, "
*p,v³,*p>v³, 5,"*čupa>sovány, *kepä>kevés, *l¨pɜ>levél, *repä >ravasz, *tepɜ>téved, "
*j,ɟ¹,*j>ɟ¹, 5,"*jalka>gyalog, *jowkkɜ>gyakori, *jȣkkɜ>gyak, *jȣrɜ>gyalu, *j¨kkɜrɜ>gyökér, "
*k,0³,*k>0³, 5,"*joke>jó, *ńikɜ>nyű, *rokɜ >ró, *tarɜkɜ >daru, *äppɜrɜkɜ>epër, "
*kt,t³,*kt>t³, 5,"*kakta>két, *pukta>fut, *tuktɜ>tat, *aktɜ>utál, *juktɜ>jut, "
*nʲ,ɲ³,*nʲ>ɲ³, 5,"*kińä>könyök, *kuńa>huny, *mińä>mëny, *puńa>bonyolód, *ϑarańa>arany, "
*ʃ,0¹,*ʃ>0¹, 5,"*šärɜ>ér, *šerɜ >ér, *šiŋere>egér, *šoppɜ >apad, *šurɜ>irt, "
*β,0¹,*β>0¹, 5,"*weδɜ>öl, *wiŋä >öv, *witte>öt, *wolnɜ>ón, *wuδ'e>új, "
*θ,0¹,*θ>0¹, 5,"*ϑarańa>arany, *ϑarɜ>ár, *ϑasɜ>asz, *ϑȣćɜ>áz, *ϑȣkkɜ>akad, "
*mt,d³,*mt>d³, 4,"*amta>ad, *tumte>tud, *wamta>vad, *kumtɜ  >hód, "
*t͡ʃʲ,s¹,*t͡ʃʲ>s¹, 4,"*ćaδa>szalad, *ćäŋkɜ>szeg, *ćerɜ>szűr, *ćuγɜ>szú, "
*0,ɲ³,*0>ɲ³, 4,"*čawɜ>savanyú, *čupa>sovány, *kämä>kemény, *wekkɜ>vékony, "
*j,0³,*j>0³, 4,"*čijɜ>siet, *peje>fő, *pȣjɜ>fú, *äjɜ>i, "
