Old,New,V_cng,Count,all_examples
*ɜ,∅²,*ɜ>∅², 146,"*aδ'ɜ>ágy, *alɜ>áld, *arɜ>árt, *äŋɜ>ég, *ćäŋkɜ>szeg, *ćerɜ>szűr, *ć¨nɜ>csün, *čijɜ>siet, *čukkɜ>sok, *ećɜ>öcs, *ećɜ>es, *ewkkɜ>ük, *ipɜ>íz, *joŋsɜ>íj, *j¨ŋɜ>jöv, *kalɜ>hál, *kanɜ>hány, *kaŋɜ>hág, *kattɜ>hat, *kečɜ>kés, *kintɜ>köd, *kitɜ>köz, *kojmɜ>hím, *konɜ>hón, *końćkɜ>hárs, *kuntalɜ>hall, *kunɜ>joh, *kuńćɜ>húgy, *kuśɜ>húsz, *kuttɜ>hát, *k¨śɜ>küzd, *läppɜ>lép, *leppɜ>lep, *lomɜ>láng, *lȣńćɜ>légy, *lȣppɜ>láp, *mänɜ>ment, *mińɜ>mënny, *moĺɜ>mëggy, *mulɜ>múl, *muŋkɜ>mag, *mȣlɜ>mál, *mȣrɜ>mar, *nȣjɜ>nyújt, *ńuŋɜ>nyug, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *oδamɜ>álom, *olɜ>áll, *ońćarɜ>agyar, *paδɜ>fal, *paδ'tɜ>fajd, *päčɜ>fesl, *pänɜ>fen, *pećɜ>fűz, *pentɜ>fëd, *perɜ>bőr, *pućɜrɜ>facsar, *pučɜ>fogy, *purɜ>far, *puśɜ>foszl, *puwɜ >fúj, *puwɜ >fúl, *pȣčɜ>fágy, *pȣnɜ>fing, *pȣtɜ>fáz, *raćɜ>rés, *räćɜ>rész, *reŋɜ >rejt, *salkɜ>áll, *särɜ>ér, *soŋkɜ >agg, *suδ'ɜ>ujj, *śalkɜ>szál, *śarɜ >szar, *śäŋkɜ>segg, *śerɜ>szër, *šärɜ>ér, *šerɜ >ér, *šurɜ>irt, *tekɜ>tűz, *temɜ>töm, *teppɜ>több, *terɜ>tér, *tuktɜ>tat, *wačɜ>vás, *waδ'kɜ>völgy, *waŋɜ>vág, *wäntɜ>véd, *wäŋćɜ>vés, *weδɜ>öl, *wolnɜ>ón, *workɜ>varr, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, "
*e,∅²,*e>∅², 57,"*aŋe>aj, *ćärke>sért, *eje>éj, *ike>íny, *jälke>jel, *jäŋe>jég, *juγe>iv, *käte>kéz, *keje>kéj, *kelke>këll, *kińe>könny, *kitke>köt, *kuje>háj, *kule>hall, *kuńće>húgy, *kutte>hat, *loŋe>lóg, *mekše>méh, *mene>mën, *mete>méz, *muśke>mos, *näke>néz, *niδe>nyél, *nime>név, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *ńukśe>nyuszt, *päŋe>fej, *pele >fél, *pele>fél, *piŋe>fog, *säje>év, *säle >ell, *säŋe>ég, *sewe >ëv, *sɤne >ín, *sikśe >ősz, *sile >öl, *śijele>sün, *śoje>zaj, *śuwe>száj, *šiŋere>egér, *teke>tëv, *totke>tat, *tumte>tud, *tuŋke>dug, *uje>úsz, *waśke>vas, *wete>víz, *wiγe>viv, *wire>vér, *witte>öt, *woje>vaj, *woje>vív, *wole>vol, *wuδ'e>új, "
*a,∅²,*a>∅², 44,"*ala>al, *amta>ad, *aŋa>old, *arwa>ár, *ćaka>zaj, *kaća>hős, *kaδ'a>hagy, *kaδ'wa>hölgy, *kakta>két, *kala>hal, *kama>háml, *koja>héj, *kola>hal, *kota>ház, *kumpa>hab, *kunta>had, *kuńa>huny, *lońća>lágy, *lunta>lúd, *maksa>máj, *mura>mar, *ńoma>nyúl, *oδa>al, *ora>ár, *pala>fal, *paĺa>fagy, *pućka >fos, *pukta>fut, *puna>fan, *puna>fon, *pura>fúr, *soja>ujj, *śala>szil, *śata>száz, *śorwa>szarv, *śurwa>szúr, *tuδ'ka>tőgy, *tulka>toll, *utka>út, *walka>vál, *wamta>vad, *wolka>váll, *alama  >alom, *ϑarańa>arany, "
*a,ɒ³,*a>ɒ³, 38,"*ćaδa>szalad, *ćaka>zaj, *čawɜ>savanyú, *jakka>iktat, *jalka>gyalog, *kaδ'a>hagy, *kaja>hajít, *kala>hal, *kattɜ>hat, *kura>harmat, *lappɜ>lapos, *ońćarɜ>agyar, *paδɜ>fal, *paδ'tɜ>fajd, *pajɜ>fagyal, *pakka>fakad, *pala>fal, *palγɜ>falu, *paĺa>fagy, *parɜ>farag, *pata>fazék, *sula>olvad, *śalɜ >szalag, *śarɜ >szar, *tappa>tapod, *tarɜkɜ >daru, *wamta>vad, *warɜ>varjú, *waśke>vas, *ϑarańa>arany, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *malkɜ>malát, *mańćɜ>magyar, "
*e,e³,*e>e³, 29,"*kečä>kécs, *kečɜ>kés, *keje>kéj, *kelke>këll, *kerä>kér, *kere>kérëg, *leme>lé, *lewlɜ>lélëk, *mekše>méh, *mene>mën, *mete>méz, *ńeljä>négy, *pele >fél, *pele>fél, *pentɜ>fëd, *perkɜ >férëg, *pesä>fészëk, *piδe >fëlëtt, *śerɜ>szër, *šiŋere>egér, *teke>tëv, *terɜ>tér, *wekkɜ>vékony, *melɜ>mély, *menɜ>mënyül, *selɜ>szél, *seŋkɜ>szëg, *tepɜ>téved, "
*u,o³,*u>o³, 27,"*čukkɜ>sok, *čupa>sovány, *kuδɜ>holnap, *kulɜ>holló, *kuma>homlok, *kumɜ>hó, *kumɜ>homály, *kunɜ>joh, *kuŋe>hó, *kurńa>hornyol, *kurɜ>horó, *muna>mogyoró, *muśke>mos, *pućka >fos, *pučɜ>fogy, *puna>fon, *puńa>bonyolód, *puśɜ>foszl, *tulka>toll, *ćukkɜ >csókol, *ju>joh, *kućɜ>hoz, *kumtɜ  >hód, *luwɜ >ló, *pukkɜ>fok, *puŋɜ>fog, *turɜ>torok, "
*æ,ɛ³,*æ>ɛ³, 26,"*ćäŋkɜ>szeg, *jälke>jel, *kälä>kel, *kämä>kemény, *kećä>keszeg, *kerä>kerek, *mänɜ>ment, *ńälmä>nyelv, *päčɜ>fesl, *pänɜ>fen, *päŋe>fej, *peljä>figyel, *śälä >szel, *śäŋkɜ>segg, *täje>tetű, *täwδe >tele, *wetä>vezet, *käńćɜ>keshed, *läćɜ>les, *mälɜ>meleg, *märɜ>mer, *märɜ>mer, *närkɜ>nyerëg, *ńärɜ>nyer, *täkkɜ>tekint, *täŋɜtɜ>tegëz, "
*æ,∅²,*æ>∅², 23,"*ćiklä>süh, *ćiŋkä>seg, *elä>él, *emä>em, *ićä>ős, *irkä>ër, *jikä>év, *kälä>kel, *kečä>kécs, *kerä>kér, *likkä>lök, *mińä>mëny, *miŋä>mëg, *ńälmä>nyelv, *ńeljä>négy, *pälä>fél, *säwnä>őn, *śälä >szel, *śiδä >szív, *śilmä>szëm, *tälwä>tél, *terä>tőr, *wiŋä >öv, "
*u,u³,*u>u³, 22,"*ćuγɜ>szú, *ćuppɜ>csupor, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuśɜ>húsz, *lunta>lúd, *mulɜ>múl, *ńukśe>nyuszt, *ńuŋɜ>nyug, *pukta>fut, *pura>fúr, *puwɜ >fúj, *puwɜ >fúl, *śurwa>szúr, *śurɜ>szurok, *tumte>tud, *tuŋke>dug, *juktɜ>jut, *kupɜtɜ>húz, *pulɜ>fulánk, *suŋɜ>zug, "
*ɜ,ɒ³,*ɜ>ɒ³, 22,"*čappɜ>sápad, *čawɜ>savanyú, *konɜCx>hanyatt, *kuδɜ>holnap, *kurɜ>harag, *pajɜ>fagyal, *parɜ>farag, *pućɜrɜ>facsar, *sorɜ>arasz, *śakkɜ >szaka, *śalɜ >szalag, *śarɜ>szárad, *šoppɜ >apad, *towkɜ>tavasz, *warɜ>virrad, *ϑȣkkɜ>akad, *kaćɜ>hasad, *kuδ'ɜ >hagyap, *mańćɜ>magyar, *oŋtɜ >oldal, *pȣγrɜ>fárad, *rȣkkɜ>rokkan, "
