"word","time"
"magyar","before_1000"
"kende","before_1000"
"horka","before_1000"
"vajda","before_1000"
"csorog","before_1000"
"tesz","before_1000"
"búcsú","before_1000"
"íz1","before_1000"
"fal1","before_1000"
"keszeg","before_1000"
"tarka","before_1000"
"köz","before_1000"
"lesz","before_1000"
"árpa","before_1000"
"kürt","before_1000"
"gyula","before_1000"
"-ó/-o1","before_1000"
"-d1","before_1000"
"huj","before_1000"
"bálvány","from_1001_1050"
"fuz2","from_1001_1050"
"szánt","from_1001_1050"
"fül","from_1001_1050"
"fej2","from_1001_1050"
"híd","from_1001_1050"
"úr","from_1001_1050"
"alma","from_1001_1050"
"kapu","from_1001_1050"
"ügy1","from_1001_1050"
"széru","from_1001_1050"
"nedv","from_1001_1050"
"meleg","from_1001_1050"
"sarló","from_1001_1050"
"szombat","from_1001_1050"
"király","from_1001_1050"
"-g2","from_1001_1050"
"vaj","from_1001_1050"
"-nok/-nök","from_1001_1050"
"eleve","from_1051_1100"
"aj1","from_1051_1100"
"ásvány","from_1051_1100"
"elo","from_1051_1100"
"torok","from_1051_1100"
"nyír2","from_1051_1100"
"bél","from_1051_1100"
"hull","from_1051_1100"
"sár2","from_1051_1100"
"sár1","from_1051_1100"
"kert","from_1051_1100"
"török","from_1051_1100"
"báb","from_1051_1100"
"apa","from_1051_1100"
"vár2","from_1051_1100"
"vejsze","from_1051_1100"
"lyuk","from_1051_1100"
"som","from_1051_1100"
"fehér","from_1051_1100"
"to","from_1051_1100"
"disznó","from_1051_1100"
"orr","from_1051_1100"
"kenéz","from_1051_1100"
"vég","from_1051_1100"
"szád","from_1051_1100"
"-a/-e1","from_1051_1100"
"-a/-e ~ -ja/-je","from_1051_1100"
"-ár/-ér","from_1051_1100"
"árok","from_1051_1100"
"-ász/-ész","from_1051_1100"
"aszó","from_1051_1100"
"-at/-et1","from_1051_1100"
"berkenye","from_1051_1100"
"bokor","from_1051_1100"
"-csa/-cse","from_1051_1100"
"ér3","from_1051_1100"
"fa","from_1051_1100"
"fekete","from_1051_1100"
"ferto","from_1051_1100"
"fok1","from_1051_1100"
"föveny","from_1051_1100"
"had","from_1051_1100"
"halom","from_1051_1100"
"három","from_1051_1100"
"hegy","from_1051_1100"
"hely","from_1051_1100"
"homok","from_1051_1100"
"iszik","from_1051_1100"
"kerek","from_1051_1100"
"koris","from_1051_1100"
"kút","from_1051_1100"
"-l ~ -ly","from_1051_1100"
"ló","from_1051_1100"
"-m1","from_1051_1100"
"megy","from_1051_1100"
"megye","from_1051_1100"
"mezo","from_1051_1100"
"mogyoró","from_1051_1100"
"nagy","from_1051_1100"
"ó1","from_1051_1100"
"ölyv","from_1051_1100"
"rá","from_1051_1100"
"ravasz","from_1051_1100"
"-s1","from_1051_1100"
"sír2","from_1051_1100"
"-sz1","from_1051_1100"
"-szág/-szég","from_1051_1100"
"szakad","from_1051_1100"
"széna","from_1051_1100"
"sziget","from_1051_1100"
"szik","from_1051_1100"
"szil","from_1051_1100"
"- t1","from_1051_1100"
"-t ~ -tt1","from_1051_1100"
"út","from_1051_1100"
"-vány/-vény","from_1051_1100"
"vásár","from_1051_1100"
"leány","from_1051_1100"
"két","from_1051_1100"
"kor","from_1051_1100"
"sereg","from_1051_1100"
"kedd","from_1051_1100"
"káva","from_1051_1100"
"sürög","from_1051_1100"
"bizony","from_1051_1100"
"hit","from_1051_1100"
"hazug","from_1051_1100"
"kos","from_1051_1100"
"pest","from_1051_1100"
"patak","from_1051_1100"
"süvölt","from_1051_1100"
"öcs","from_1051_1100"
"száz","from_1051_1100"
"öt","from_1051_1100"
"hét2","from_1051_1100"
"gubacs","from_1051_1100"
"szem","from_1051_1100"
"éger","from_1051_1100"
"levél","from_1051_1100"
"szekér","from_1051_1100"
"nyu2","from_1051_1100"
"sarok","from_1051_1100"
"szín1","from_1051_1100"
"hét1","from_1051_1100"
"szeg2","from_1051_1100"
"fény","from_1051_1100"
"cseh","from_1051_1100"
"szurok","from_1051_1100"
"tolmács","from_1051_1100"
"doboz","from_1051_1100"
"hany","from_1051_1100"
"malom","from_1051_1100"
"udvarnok","from_1051_1100"
"mély","from_1051_1100"
"szolo","from_1051_1100"
"udvar","from_1051_1100"
"kengyel","from_1051_1100"
"bors","from_1051_1100"
"hatvan","from_1051_1100"
"keskeny","from_1051_1100"
"kereszt","from_1051_1100"
"kis","from_1051_1100"
"horog","from_1051_1100"
"arany","from_1051_1100"
"jó1","from_1051_1100"
"sün","from_1051_1100"
"szed","from_1051_1100"
"köt","from_1051_1100"
"les","from_1051_1100"
"bátor","from_1051_1100"
"vesz","from_1051_1100"
"örök","from_1051_1100"
"béke","from_1051_1100"
"dög","from_1051_1100"
"ero","from_1051_1100"
"kígyó","from_1051_1100"
"szám","from_1051_1100"
"szar","from_1051_1100"
"szemét","from_1051_1100"
"vért","from_1051_1100"
"részeg","from_1051_1100"
"szoros","from_1051_1100"
"acél","from_1051_1100"
"bor","from_1051_1100"
"köröm","from_1051_1100"
"tapló","from_1051_1100"
"hang","from_1051_1100"
"lop","from_1051_1100"
"vemhes","from_1051_1100"
"duda","from_1051_1100"
"kese","from_1051_1100"
"akol","from_1051_1100"
"bükk","from_1051_1100"
"hárs","from_1051_1100"
"föld","from_1051_1100"
"mag","from_1051_1100"
"bal","from_1051_1100"
"farkas","from_1051_1100"
"magas","from_1051_1100"
"német","from_1051_1100"
"vo","from_1051_1100"
"dinnye","from_1051_1100"
"nyúl1","from_1051_1100"
"pásztor","from_1051_1100"
"szalma","from_1051_1100"
"zászló","from_1051_1100"
"orosz","from_1051_1100"
"szakáll","from_1051_1100"
"komló","from_1051_1100"
"pogány","from_1051_1100"
"pányva","from_1051_1100"
"barázda","from_1051_1100"
"határ","from_1051_1100"
"hosszú","from_1051_1100"
"lak","from_1051_1100"
"telek","from_1051_1100"
"láda","from_1051_1100"
"lengyel","from_1051_1100"
"bodor","from_1051_1100"
"álom","from_1051_1100"
"-a/-e5","from_1051_1100"
"hím2","from_1051_1100"
"vén","from_1051_1100"
"hím1","from_1051_1100"
