"word","time","question","origin"
"","after_1951",NA,NA
"","from_1651_1700",NA,NA
"","after_1951",NA,NA
"- dék ~ -adék/-edék","from_1401_1500",NA,NA
"- dos/-des/-dös","from_1401_1500",NA,NA
"- dul/-dül","from_1351_1400",NA,NA
"- i1","from_1151_1200",NA,NA
"- k5","from_1351_1400",NA,NA
"- t1","from_1051_1100",NA,NA
"- z(ik)","from_1151_1200",NA,NA
"-a/-e ~ -ja/-je","from_1051_1100",NA,NA
"-a/-e1","from_1051_1100",NA,NA
"-á/-é1","from_1151_1200",NA,NA
"-a/-e2","from_1151_1200",NA,NA
"-á/-é2","from_1151_1200",NA,NA
"-a/-e3","from_1151_1200",NA,NA
"-a/-e4","from_1151_1200",NA,NA
"-a/-e5","from_1051_1100",NA,NA
"-ad/-ed","from_1101_1150",NA,NA
"-adal/-edel","from_1351_1400",NA,NA
"-aj/-ej","from_1551_1600",NA,NA
"-al/-el ~ -ál/-él1","from_1151_1200",NA,NA
"-ál/-él2","from_1351_1400",NA,NA
"-alom/-elem","from_1151_1200",NA,NA
"-ály/-ély","from_1251_1300",NA,NA
"-am/-em","from_1801_1850",NA,NA
"-amlik/-emlik","from_1351_1400",NA,NA
"-amodik/-emedik","from_1401_1500",NA,NA
"-an/-en1","from_1251_1300",NA,NA
"-an/-en2","from_1401_1500",NA,NA
"-and/-end","from_1151_1200",NA,NA
"-andó/-endo","from_1351_1400",NA,NA
"-ánk/-énk","from_1501_1550",NA,NA
"-ant/-ent","from_1351_1400",NA,NA
"-ány/-ény2","from_1351_1400",NA,NA
"-ár/-ér","from_1051_1100",NA,NA
"-ás/-és","from_1101_1150",NA,NA
"-ász(ik)/-ész(ik)","from_1251_1300",NA,NA
"-asz/-esz","from_1301_1350",NA,NA
"-ász/-ész","from_1051_1100",NA,NA
"-aszt/-eszt","from_1151_1200",NA,NA
"-at/-et1","from_1051_1100",NA,NA
"-at/-et2","from_1151_1200",NA,NA
"-atag/-eteg","from_1151_1200",NA,NA
"-atik/-etik ~ - tatik/-tetik","from_1251_1300",NA,NA
"-ba/-be","from_1151_1200",NA,NA
"-ban/-ben","from_1151_1200",NA,NA
"-bb","from_1201_1250",NA,NA
"-beli","from_1351_1400",NA,NA
"-ból/-bol","from_1151_1200",NA,NA
"-c","from_1351_1400",NA,NA
"-cs","from_1201_1250",NA,NA
"-csa/-cse","from_1051_1100",NA,NA
"-csál/-csél","from_1551_1600",NA,NA
"-cska/-cske","from_1351_1400",NA,NA
"-csol/-csöl ~ - zsol/-zsöl","from_1551_1600",NA,NA
"-d1","before_1000",NA,NA
"-d2","from_1151_1200",NA,NA
"-d3","from_1251_1300",NA,NA
"-d4","from_1251_1300",NA,NA
"-d5","from_1251_1300",NA,NA
"-da/-de","from_1751_1800",NA,NA
"-dácsol/-décsel","from_1501_1550",NA,NA
"-dad/-ded","from_1251_1300",NA,NA
"-dal/-del","from_1401_1500",NA,NA
"-dalom/-delem","from_1201_1250",NA,NA
