level_0,index,rootuew,type,type.1,struc,NSE,en,de,reflex,rootipa,dropit
0,2114,pawe,N,,CVCV,6.5,charm,Charme,báj,pawe,
2,2117,puwe,N,,CVCV,6.25,charm,Charme,báj,puwe,
4,2120,pɜwe,N,,CVCV,6.25,charm,Charme,báj,pɜwe,
6,2128,pawɜ,N,,CVCV,5.75,charm,Charme,báj,pawɜ,
7,2129,pawa,N,,CVCV,5.75,charm,Charme,báj,pawa,
10,2134,puwɜ,N,,CVCV,5.5,charm,Charme,báj,puwɜ,
11,2135,puwa,N,,CVCV,5.5,charm,Charme,báj,puwa,
14,2140,pɜwɜ,N,,CVCV,5.5,charm,Charme,báj,pɜwɜ,
15,2141,pɜwa,N,,CVCV,5.5,charm,Charme,báj,pɜwa,
18,2150,pawä,N,,CVCV,3.25,charm,Charme,báj,pawæ,
20,2153,puwä,N,,CVCV,3.0,charm,Charme,báj,puwæ,
22,2156,pɜwä,N,,CVCV,3.0,charm,Charme,báj,pɜwæ,
24,2928,pire,N,,CVCV,7.0,wage,Lohn,bér,pire,
25,2930,pere,N,,CVCV,7.0,wage,Lohn,bér,pere,
26,2932,pirɜ,N,,CVCV,6.25,wage,Lohn,bér,pirɜ,
27,2933,pira,N,,CVCV,6.25,wage,Lohn,bér,pira,
28,2936,perɜ,N,,CVCV,6.25,wage,Lohn,bér,perɜ,
29,2937,pera,N,,CVCV,6.25,wage,Lohn,bér,pera,
30,2940,päre,N,,CVCV,6.25,wage,Lohn,bér,pære,
31,2942,pärɜ,N,,CVCV,5.5,wage,Lohn,bér,pærɜ,
32,2943,pära,N,,CVCV,5.5,wage,Lohn,bér,pæra,
33,2946,pirä,N,,CVCV,3.75,wage,Lohn,bér,piræ,
34,2948,perä,N,,CVCV,3.75,wage,Lohn,bér,peræ,
35,2950,pärä,N,,CVCV,3.0,wage,Lohn,bér,pæræ,
36,2952,powe,N,,CVCV,6.75,anthill,Ameisenhaufen,boly,powe,
39,2955,pewe,N,,CVCV,6.75,anthill,Ameisenhaufen,boly,pewe,
40,2958,piwe,N,,CVCV,6.5,anthill,Ameisenhaufen,boly,piwe,
42,2967,puwe,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,puwe,
44,2970,powɜ,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,powɜ,
45,2971,powa,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,powa,
49,2975,pɜwe,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,pɜwe,
52,2979,pewɜ,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,pewɜ,
53,2980,pewa,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,pewa,
54,2981,pawe,N,,CVCV,6.0,anthill,Ameisenhaufen,boly,pawe,
56,2988,piwɜ,N,,CVCV,5.75,anthill,Ameisenhaufen,boly,piwɜ,
57,2989,piwa,N,,CVCV,5.75,anthill,Ameisenhaufen,boly,piwa,
60,3006,puwɜ,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,puwɜ,
61,3007,puwa,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,puwa,
66,3014,pɜwɜ,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,pɜwɜ,
67,3015,pɜwa,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,pɜwa,
68,3018,pawɜ,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,pawɜ,
69,3019,pawa,N,,CVCV,5.25,anthill,Ameisenhaufen,boly,pawa,
72,3024,powä,N,,CVCV,3.5,anthill,Ameisenhaufen,boly,powæ,
75,3027,pewä,N,,CVCV,3.5,anthill,Ameisenhaufen,boly,pewæ,
76,3030,piwä,N,,CVCV,3.25,anthill,Ameisenhaufen,boly,piwæ,
78,3039,puwä,N,,CVCV,2.75,anthill,Ameisenhaufen,boly,puwæ,
81,3043,pɜwä,N,,CVCV,2.75,anthill,Ameisenhaufen,boly,pɜwæ,
82,3045,pawä,N,,CVCV,2.75,anthill,Ameisenhaufen,boly,pawæ,
84,3112,pɜne,N,,CVCV,6.75,sin,Sünde,bűn,pɜne,
85,3113,pane,N,,CVCV,6.75,sin,Sünde,bűn,pane,
86,3114,pine,N,,CVCV,6.0,sin,Sünde,bűn,pine,
87,3115,pɜnɜ,N,,CVCV,6.0,sin,Sünde,bűn,pɜnɜ,
88,3116,pɜna,N,,CVCV,6.0,sin,Sünde,bűn,pɜna,
89,3117,päne,N,,CVCV,6.0,sin,Sünde,bűn,pæne,
90,3118,panɜ,N,,CVCV,6.0,sin,Sünde,bűn,panɜ,
91,3119,pana,N,,CVCV,6.0,sin,Sünde,bűn,pana,
92,3120,p¨ne,N,,CVCV,6.0,sin,Sünde,bűn,p¨ne,
93,3121,pinɜ,N,,CVCV,5.25,sin,Sünde,bűn,pinɜ,
94,3122,pina,N,,CVCV,5.25,sin,Sünde,bűn,pina,
95,3123,pänɜ,N,,CVCV,5.25,sin,Sünde,bűn,pænɜ,
96,3124,päna,N,,CVCV,5.25,sin,Sünde,bűn,pæna,
97,3125,p¨nɜ,N,,CVCV,5.25,sin,Sünde,bűn,p¨nɜ,
98,3126,p¨na,N,,CVCV,5.25,sin,Sünde,bűn,p¨na,
99,3127,pɜnä,N,,CVCV,3.5,sin,Sünde,bűn,pɜnæ,
100,3128,panä,N,,CVCV,3.5,sin,Sünde,bűn,panæ,
101,3129,pinä,N,,CVCV,2.75,sin,Sünde,bűn,pinæ,
102,3130,pänä,N,,CVCV,2.75,sin,Sünde,bűn,pænæ,
103,3131,p¨nä,N,,CVCV,2.75,sin,Sünde,bűn,p¨næ,
129,6701,kewe,N,,CVCV,12.0,place,Platz,hely,kewe,
131,6704,käwe,N,,CVCV,12.0,place,Platz,hely,kæwe,
132,6705,k¨we,N,,CVCV,12.0,place,Platz,hely,k¨we,
134,6708,kowe,N,,CVCV,11.75,place,Platz,hely,kowe,
138,6722,kewɜ,N,,CVCV,11.25,place,Platz,hely,kewɜ,
139,6723,kewa,N,,CVCV,11.25,place,Platz,hely,kewa,
142,6728,käwɜ,N,,CVCV,11.25,place,Platz,hely,kæwɜ,
143,6729,käwa,N,,CVCV,11.25,place,Platz,hely,kæwa,
144,6730,k¨wɜ,N,,CVCV,11.25,place,Platz,hely,k¨wɜ,
145,6731,k¨wa,N,,CVCV,11.25,place,Platz,hely,k¨wa,
148,6736,kowɜ,N,,CVCV,11.0,place,Platz,hely,kowɜ,
149,6737,kowa,N,,CVCV,11.0,place,Platz,hely,kowa,
153,6749,kewä,N,,CVCV,8.75,place,Platz,hely,kewæ,
155,6752,käwä,N,,CVCV,8.75,place,Platz,hely,kæwæ,
156,6753,k¨wä,N,,CVCV,8.75,place,Platz,hely,k¨wæ,
158,6756,kowä,N,,CVCV,8.5,place,Platz,hely,kowæ,
