info_hun,Protohungarian,Gothic,info_got
"pere, CVCV, 25, 2930, N, , 7.0, wage, Lohn, bér",pere,pere,"bere, M., , , https://koeblergerhard.de/wikiling/?f=got&page=40 , bere, bere, CVCV"
"perɜ, CVCV, 28, 2936, N, , 6.25, wage, Lohn, bér",perɜ,perɜ,"fera, F., Seite, Gegend, Glied, Körperteil, side (N.), collateral part, adjacent section, district bordering a sea, maritime>>>, https://koeblergerhard.de/wikiling/?f=got&page=69 , fera, fera, CVCV"
"pera, CVCV, 29, 2937, N, , 6.25, wage, Lohn, bér",pera,pera,"fera, F., Seite, Gegend, Glied, Körperteil, side (N.), collateral part, adjacent section, district bordering a sea, maritime>>>, https://koeblergerhard.de/wikiling/?f=got&page=69 , fera, fera, CVCV"
"pärɜ, CVCV, 31, 2942, N, , 5.5, wage, Lohn, bér",pærɜ,pærɜ,"baira, M., Bär (M.) (1), bear (N.), https://koeblergerhard.de/wikiling/?f=got&page=34 , bɛra, bɛra, CVCV"
"pära, CVCV, 32, 2943, N, , 5.5, wage, Lohn, bér",pæra,pæra,"baira, M., Bär (M.) (1), bear (N.), https://koeblergerhard.de/wikiling/?f=got&page=34 , bɛra, bɛra, CVCV"
"pɜne, CVCV, 84, 3112, N, , 6.75, sin, Sünde, bűn",pɜne,pɜne,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"pane, CVCV, 85, 3113, N, , 6.75, sin, Sünde, bűn",pane,pane,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"pɜnɜ, CVCV, 87, 3115, N, , 6.0, sin, Sünde, bűn",pɜnɜ,pɜnɜ,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"pɜna, CVCV, 88, 3116, N, , 6.0, sin, Sünde, bűn",pɜna,pɜna,"fana, M., Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch, piece of cloth, napkin, rag (N.) (1), handkerchief, https://koeblergerhard.de/wikiling/?f=got&page=64 , fana, fana, CVCV"
"panɜ, CVCV, 90, 3118, N, , 6.0, sin, Sünde, bűn",panɜ,panɜ,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"pana, CVCV, 91, 3119, N, , 6.0, sin, Sünde, bűn",pana,pana,"fana, M., Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch, piece of cloth, napkin, rag (N.) (1), handkerchief, https://koeblergerhard.de/wikiling/?f=got&page=64 , fana, fana, CVCV"
"p¨ne, CVCV, 92, 3120, N, , 6.0, sin, Sünde, bűn",p¨ne,p¨ne,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"pinɜ, CVCV, 93, 3121, N, , 5.25, sin, Sünde, bűn",pinɜ,pinɜ,"bida, F., Bitte, Gebet, Aufforderung, request (N.), supplication, prayer, demand (N.), entreaty, exhortation, https://koeblergerhard.de/wikiling/?f=got&page=41 , bɪda, bɪda, CVCV"
"pina, CVCV, 94, 3122, N, , 5.25, sin, Sünde, bűn",pina,pina,"bida, F., Bitte, Gebet, Aufforderung, request (N.), supplication, prayer, demand (N.), entreaty, exhortation, https://koeblergerhard.de/wikiling/?f=got&page=41 , bɪda, bɪda, CVCV"
"pänɜ, CVCV, 95, 3123, N, , 5.25, sin, Sünde, bűn",pænɜ,pænɜ,"paida, F., Leibrock, Unterkleid, Rock, tunic, vest (N.), shirt, https://koeblergerhard.de/wikiling/?f=got&page=178 , pɛda, pɛda, CVCV"
"päna, CVCV, 96, 3124, N, , 5.25, sin, Sünde, bűn",pæna,pæna,"paida, F., Leibrock, Unterkleid, Rock, tunic, vest (N.), shirt, https://koeblergerhard.de/wikiling/?f=got&page=178 , pɛda, pɛda, CVCV"
"p¨nɜ, CVCV, 97, 3125, N, , 5.25, sin, Sünde, bűn",p¨nɜ,p¨nɜ,"fani, N., Schlamm, Kot, mud, clay, mire (N.), https://koeblergerhard.de/wikiling/?f=got&page=65 , fanɪ, fanɪ, CVCV"
"p¨na, CVCV, 98, 3126, N, , 5.25, sin, Sünde, bűn",p¨na,p¨na,"fana, M., Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch, piece of cloth, napkin, rag (N.) (1), handkerchief, https://koeblergerhard.de/wikiling/?f=got&page=64 , fana, fana, CVCV"
"k¨we, CVCV, 132, 6705, N, , 12.0, place, Platz, hely",k¨we,k¨we,"gawi, N., Gau, Land, Bezirk, Umgegend, Gegend, region, district (N.), country, land (N.), province, environment, https://koeblergerhard.de/wikiling/?f=got&page=107 , ɡawɪ, ɡawɪ, CVCV"
"kewɜ, CVCV, 138, 6722, N, , 11.25, place, Platz, hely",kewɜ,kewɜ,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"kewa, CVCV, 139, 6723, N, , 11.25, place, Platz, hely",kewa,kewa,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"k¨wɜ, CVCV, 144, 6730, N, , 11.25, place, Platz, hely",k¨wɜ,k¨wɜ,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"k¨wa, CVCV, 145, 6731, N, , 11.25, place, Platz, hely",k¨wa,k¨wa,"giba, F., Gabe, Geschenk, g-Rune, that which is given, gift (N.), present (N.), name of g-rune, https://koeblergerhard.de/wikiling/?f=got&page=108 , ɡɪba, ɡɪba, CVCV"
"komɜ, CVCV, 185, 12939, N, , 11.25, decoration, Verzierung, hím",komɜ,komɜ,"goma, M., Gaumen, palate, https://koeblergerhard.de/wikiling/?f=got&page=110 , ɡoma, ɡoma, CVCV"
"koma, CVCV, 186, 12940, N, , 11.25, decoration, Verzierung, hím",koma,koma,"goma, M., Gaumen, palate, https://koeblergerhard.de/wikiling/?f=got&page=110 , ɡoma, ɡoma, CVCV"
