rootuew,type,type.1,struc,NSE,en,de,reflex,rootipa
manaŋe,N,,,8.83,clay,Ton,agyag,manaŋe
jonaŋe,N,,,8.83,clay,Ton,agyag,jonaŋe
jaδʲaŋe,N,,,8.83,clay,Ton,agyag,jaðʲaŋe
0oδʲaŋe,N,,,8.83,clay,Ton,agyag,0oðʲaŋe
maδʲaŋe,N,,,8.67,clay,Ton,agyag,maðʲaŋe
joδʲaŋe,N,,,8.67,clay,Ton,agyag,joðʲaŋe
janaŋe,N,,,8.67,clay,Ton,agyag,janaŋe
0onaŋe,N,,,8.67,clay,Ton,agyag,0onaŋe
0anaŋe,N,,,8.67,clay,Ton,agyag,0anaŋe
0aδʲaŋe,N,,,8.67,clay,Ton,agyag,0aðʲaŋe
maneŋe,N,,,8.33,clay,Ton,agyag,maneŋe
manaŋɜ,N,,,8.33,clay,Ton,agyag,manaŋɜ
manaŋa,N,,,8.33,clay,Ton,agyag,manaŋa
joneŋe,N,,,8.33,clay,Ton,agyag,joneŋe
jonaŋɜ,N,,,8.33,clay,Ton,agyag,jonaŋɜ
jonaŋa,N,,,8.33,clay,Ton,agyag,jonaŋa
jaδʲeŋe,N,,,8.33,clay,Ton,agyag,jaðʲeŋe
jaδʲaŋɜ,N,,,8.33,clay,Ton,agyag,jaðʲaŋɜ
jaδʲaŋa,N,,,8.33,clay,Ton,agyag,jaðʲaŋa
0oδʲeŋe,N,,,8.33,clay,Ton,agyag,0oðʲeŋe
0oδʲaŋɜ,N,,,8.33,clay,Ton,agyag,0oðʲaŋɜ
0oδʲaŋa,N,,,8.33,clay,Ton,agyag,0oðʲaŋa
maδʲeŋe,N,,,8.17,clay,Ton,agyag,maðʲeŋe
maδʲaŋɜ,N,,,8.17,clay,Ton,agyag,maðʲaŋɜ
maδʲaŋa,N,,,8.17,clay,Ton,agyag,maðʲaŋa
joδʲeŋe,N,,,8.17,clay,Ton,agyag,joðʲeŋe
joδʲaŋɜ,N,,,8.17,clay,Ton,agyag,joðʲaŋɜ
joδʲaŋa,N,,,8.17,clay,Ton,agyag,joðʲaŋa
janeŋe,N,,,8.17,clay,Ton,agyag,janeŋe
