New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2
mese,aća,FP,,,
ágy,aδ̕ɜ,FU,,oδ̕ɜ,
al,ala,U,,,
áld,alɜ,FU,,,
ad,amta,FU,,,
old,aŋa,FU,,,
aj,aŋe,U,,,
apa,appe,FU,,,
ár,arwa,FU,,arγa,
árt,arɜ,FU,,,
ének,äne,FU,,,
ég,äŋɜ,FU,,,
szalad,ćaδa,FU,,śaδa,
zaj,ćaka,FU,,,
szeg,ćäŋkɜ,FU,,śäŋkɜ,
sért,ćärke,FU,,,
szűr,ćerɜ,FU,,,
süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",
seg,ćiŋkä,FU, Balagseg,ćüŋkä,
csomó,ćolme,FU,,,
csorog,ćorɜ,U,,,
szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",
csupor,ćuppɜ,FU,,,
csillog,ćȣlkɜ,FU,,ćȣ̈lkɜ,
csün,ćȣ̈nɜ,U,,,
sápad,čappɜ,FU,,,
savanyú,čawɜ,Ug,,čapa,
csegely,čeŋkɜ,FU,,,
siet,čijɜ,FU,,"čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",
sok,čukkɜ,FU,,čokkɜ,
sovány,čupa,FU,,,
ez,e,U,,,
öcs,ećɜ,FU,,,
es,ećɜ,U,,,
elő,eδe,FU,eleje,,
éj,eje,FU,,üje,
él,elä,U,,,
em,emä,U, embër,,
ük,ewkkɜ,FU, ükanya,,
ős,ićä,U,,,
íny,ike,FU,,"ikeńe, ikene",
emlő,ime,U,,,
íz,ipɜ,U,,"ipɜsɜ, ipɜśɜ",
ër,irkä,FU,,ürkä,
iktat,jakka,FU,,,
gyalog,jalka,FU,,,
jel,jälke,FU,,,
ideg,jänte,U,,,
jég,jäŋe,FU,,,
év,jikä,FU,,ikä,
jó,joke,U,,,
íj,joŋsɜ,U,,joŋksɜ,
gyakori,jowkkɜ,FU,,,
iv,juγe,FU,i,juke,
jöv,jȣ̈ŋɜ,Ug,,jȣ̈γɜ jȣ̈kɜ,
hős,kaća,U,,,
hagy,kaδ̕a,U,,,
hölgy,kaδ̕wa,FU,,kaδ̕wɜ,
hajít,kaja,FU,,,
két,kakta,FU,,käktä,
hal,kala,U,,,
háló,kalɜ,U,,,
hál,kalɜ,FU,,,
hályog,kaĺwɜ,FU,,,
háml,kama,U,,,
hány,kanɜ,FU,,,
hág,kaŋɜ,Ug,,kaŋkɜ,
hat,kattɜ,U,,,
kel,kälä,FU,,,
kemény,kämä,FU,,,
kéz,käte,FU,,,
ki,ke,FU,,ki,
keszeg,kećä,FU,,,
kengyel,kećɜ,FU,,,
kécs,kečä,FU, isten kecskéje,,
kés,kečɜ,FU,,,
kéj,keje,FU,,kȣ̈jγɜ,
köved,keje,FU,,,
këll,kelke,FU,,,
kevés,kepä,FU,,,
kerek,kerä,FU,,,
kér,kerä,FU,,,
köré,kere,FU,,,
kérëg,kere,FU,,,
kígyó,kije,U,,küje,
követ,kijɜ,FU,,küjɜ,
köd,kintɜ,U,,küntɜ,
könyök,kińä,FU,,"küńä, kinä, künä",
könny,kińe,U,,"kińelɜ, küńe, küńelɜ",
köt,kitke,FU,,kütke,
köz,kitɜ,FU,,kütɜ,
kő,kiwe,FU,,,
hagyma,koćmɜ,FU,,kaćmɜ,
héj,koja,FU,,,
hajnal,koje,FU,,,
hím,kojmɜ,U,,kojemɜ,
here,kojra,U,,kojera,
hal,kola,U,,,
három,kolme,FU,,kulme,
halok,kolɜ,FU,,,
hón,konɜ,FU,,"kana, konɜ + ala, kana + ala",
hanyatt,konɜCx,FU,,,
hárs,końćkɜ,FU,,koćkɜ,
hosszú,końćɜ,U,,koćɜ,
hërvad,korpe,FW,,,
horol,korɜ,FU,,korwɜ,
ház,kota,FU,,,
ho,ku,U,,ko,
holnap,kuδɜ,U,,,
hamu,kuδ̕mɜ,Ug,,,
háj,kuje,FU,,,
hall,kule,FU,,,
halad,kulke,U,,,
holló,kulɜ,U,,kulɜkɜ,
homlok,kuma,U,,,
hab,kumpa,U,,,
hó,kumɜ,U,,,
homály,kumɜ,FU,,,
had,kunta,FU,,,
hall,kuntalɜ,Ug,,,
joh,kunɜ,FU,,,
huny,kuńa,U,,,
hangya,kuńće,FU,,kuće,
húgy,kuńće,U,,kuće,
húgy,kuńćɜ,U,,kućɜ,
hó,kuŋe,U,,,
harmat,kura,U,,,
hornyol,kurńa,FU,,,
horó,kurɜ,FU,,,
harántos,kurɜ,U,,,
harag,kurɜ,FU,,,
húsz,kuśɜ,FU,,kojećɜ,
hat,kutte,FU,,,
hát,kuttɜ,U,,,
küzd,kȣ̈śɜ,Ug,,,
lapos,lappɜ,U,,,
lép,läppɜ,FU,,"δäppɜ, leppɜ δeppɜ",
lë,le,FU,,,
lé,leme,FU,,lēme,
lep,leppɜ,FU,,,
lő,lewe,FU,,,
