word,year,info,disambiguated,suffix,en,orig,pos_hun,wordipa
magyar,870,870 k.,magyar,,,,a,mɒɟɒr
kende,930,930 k.,kende,,,a) Török jövevényszavak általában ,n,kɛndɛ
horka,950,"942  tn.  (?),  950 k.",horka,,,G) ISMERETLEN EREDETŰ SZAVAK ,n,horkɒ
vajda,1199,"950 k.  (?),  1199",vajda,,,a) Orosz jövevényszavak ?,n,vɒjdɒ
csorog,1416,"950 k.  (?),  1416 u.",csorog,,,"1. Ősi, uráli kori szavak ?",v,t͡ʃoroɡ
tesz,1300,"950 k.  tn.  (?),  13. sz.  eleje",tesz,,"['to do, did, done', 'to lay, laid', 'to place', 'to put in', 'to put, put', 'to refer', 'to set, set', 'to shove', 'to shuffle', 'to stand, stood', 'to work']",,v,tɛs
búcsú,1372,"950 k.  tn.  (?),  1372 u.",búcsú,,"['farewell', 'leave', 'pardon', 'parting', ""saint's-day"", 'send-off']",b) Csuvasos típusú jövevényszavak ,n,buːt͡ʃuː
íz,1372,"950 k.  tn.  (?),  1372 u.",íz1,,"['flavor', 'flavour', 'gust', 'relish', 'salt', 'savor', 'savour', 'smack', 'taste']","1. Ősi, uráli kori szavak ",n,iːz
fal,1395,"950 k.  tn.  (?),  1395 k.",fal1,,"['cushion', 'to engorge', 'to glut', 'to gobble', 'to gobble up', 'to guzzle', 'to scarf out', 'to stuff oneself', 'wall']","1. Ősi, uráli kori szavak ",n,fɒl
keszeg,1405,"950 k.  tn.  (?), 1405 k.",keszeg,,['bream'],,n,kɛsɛɡ
tarka,1526,"950 k. tn. (?), 1526",tarka,,"['brindle', 'brindled', 'checkered', 'dappled', 'fancy', 'gaudy', 'gay', 'laced', 'medley', 'mottled', 'parti-coloured', 'pied', 'variegated']",1. Származékszavak ,a,tɒrkɒ
köz,1200,"950 k. tn., 12. sz. vége",köz,,"['alley', 'alleyway', 'close', 'interstice', 'land', 'lane', 'mews', 'space', 'space between']",,n,køz
lesz,1200,"950 k. tn., 12. sz. vége",lesz,,"['to come, came, come', 'to make, made']",,v,lɛs
árpa,1329,"950 k. tn., 1329",árpa,,['barley'],a) Török jövevényszavak általában ,n,aːrpɒ
kürt,1405,"950 k., tn. (?), 1405 k.",kürt,,"['bugle', 'French horn', 'hooter', 'horn', 'tooter']",,n,kyrt
gyula,950,950 k.,gyula,,,b) Csuvasos típusú jövevényszavak ?,n,ɟulɒ
ó,950,950 k.,-ó/-ő1,+,['old'],,r,oː
ő,950,950 k.,-ó/-ő1,+,,,r,øː
d,950,950,-d1,+,,,r,d
huj,960,960 k.,huj,,,"1. Hangutánzó, hangfestő szavak ",v,huj
bálvány,1109,"1001 tn.,  1109",bálvány,,"['fetish', 'idol', 'mumbo jumbo', 'mumbo-jumbo']",,n,baːlvaːɲ
fűz,1251,"1001 tn.,  1251",fűz2,,"['sallow', 'to stitch']","2. Ősi, finnugor kori szavak ?",v,fyːz
szánt,1372,"1002 e. tn.,  1372 u.",szánt,,"['to ear', 'to follow the plough', 'to furrow', 'to plough', 'to plow']",,a,saːnt
fül,1372,"1009  tn.  (?),  1372 u.",fül,,"['bail', 'bow', 'ear', 'flap', 'flappers', 'handle', 'lug', 'tab']","2. Ősi, finnugor kori szavak ",n,fyl
