got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos,substi
a,Buchstabe,"a, Abkürzung für 1","a, abbreviation for 1",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['5'],certain,,a,"a, abbreviation_for_1",r,"a, æ"
aba,M.,"Ehemann, Gatte","husband, man (M.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['27'],certain,,aβa,"husband, man",n,"awa, apa, æwæ, æpæ"
abba,M.,Vater,father,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,abba,father,n,"apa, ama, awa, appa, ampa, æpæ, æmæ, æwæ, æppæ, æmpæ"
abraba,Adv.,sehr,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['3'],certain,,aβraβa,"very, severely, extremely, excessively",r,too long
abrjan,V.,stark werden,become strong,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],uncertain,word,aβrjan,become_strong,v,
abrs,Adj.,"stark, heftig","great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,aβrs,"great, severe, extreme, excessive",a,
abu,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,,aβu,,r,"awu, awo, apu, apo, æwu, æwo, æpu, æpo"
ada,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aða,,a,"aða, æðæ"
ada,N.,Ei,egg,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,aða,egg,n,"aða, æðæ"
addi,N.,Ei,egg,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,addɪ,egg,n,"ati, ate, ani, ane, atti, atte, anti, ante, æti, æte, æni, æne, ætti, ætte, ænti, ænte"
adra,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aðra,,a,"aða, ara, æðæ, æræ"
adrs,Adj.,"schnell, rasch","fast, quick",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aðrs,"fast, quick",a,
ael,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,ael,stone,n,
āl,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,form,al,stone,n,
af,"Präp., V.","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['138'],certain,,aɸ,"from, away_from, by, by_means_of, since, of",rv,
afagjan,V.,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['2'],certain,form,aɸaɣjan,"worry, scare, scare_away, frighten, frighten_off, daunt",v,too long
afaikan,V.,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['13'],certain,,aɸaɪkan,"deny, abjure, disavow, forswear, renounce",v,too long
afaírzjan,V.,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['6'],certain,,aɸɛrzjan,"deceive, lead_astray, misguide",v,too long
afar,"Präp., V., Sb.","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['77'],certain,,aɸar,"after, subsequent_to, in_pursuit_of, following, in_pursuance_of, in_accordance_w",rvn,
afara,M.,Nachkomme,descendant,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,form,aɸara,descendant,n,too long
afardags,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,form,aɸardaɣs,"morrow, next_day, day_after",n,too long
afurdags,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,form,aɸurdaɣs,"morrow, next_day, day_after",n,too long
afargaggan,V.,"nachgehen, folgen","go after, follow, accompany",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['7'],certain,,aɸarɡaŋɡan,"go_after, follow, accompany",v,too long
afarlaistjan,V.,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['6'],certain,form,aɸarlaɪstjan,"follow_after, follow, pursue, trail",v,too long
afarsabbate,M.,Nachsabbat,post-Sabbath period,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸarsabbate,postSabbath_period,n,too long
afaruh,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,,aɸaruh,,r,too long
afaruþþan,Präp.,nach,after,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['2'],certain,,aɸaruθθan,after,r,too long
afblindnan,V.,erblinden,"become blind, lose (V.) one’s sight",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸblɪndnan,"become_blind, lose_ones_sight",v,too long
afdailjan,V.,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdaɪljan,"portion_out, give_tithes, apportion_from, parcel_out_from",v,too long
afdaubnan,V.,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdauβnan,"grow_insensitive, become_numb, become_hardened",v,too long
afdáuiþs,"V., Adj.","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdauɪθs,"troubled, annoyed, harried, harrassed, worn_out",va,
afdáujan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,form,aɸdaujan,,v,too long
afdauþjan,V.,töten,"put to death, make die, kill (V.), eliminate with death",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['5'],certain,,aɸdauθjan,"put_to_death, make_die, kill, eliminate_with_death",v,too long
afdōbnan,V.,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdoβnan,"be_mute, become_mute, be_silent, become_silent, hold_ones_peace",v,too long
afdōjan,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdojan,"harry, harass, wear_out",v,too long
afdaujan,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,form,aɸdaujan,"harry, harass, wear_out",v,too long
afdōmeins,F.,Verdammung,condemnation,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdomins,condemnation,n,too long
afdōmjan,V.,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['6'],certain,,aɸdomjan,"comdemn, pass_judgement_against, curse, abjure",v,too long
afdrausjan,V.,hinabstürzen,"throw down off, throw down of",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,,aɸdrausjan,"throw_down_off, throw_down_of",v,too long
afdrugk,N.,Trinken,drinking up,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],uncertain,word,aɸdruŋk,drinking_up,n,
afdrugkja,M.,Trunkenbold,drunkard,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['2'],certain,,aɸdruŋkja,drunkard,n,too long
