L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
𐌰,a,"a, abbreviation_for_",https://koeblergerhard.de/wikiling/?f=got&page=1,a,5,certain,not_reconstructed,"Buchstabe, r",ͽ,"ͽ, ȣ̈, ɑ, æ"
𐌰𐌱𐌰,aba,"husband, man",https://koeblergerhard.de/wikiling/?f=got&page=1,aβa,27,certain,not_reconstructed,"M., n",ͽwͽ,"ͽwͽ, ȣ̈wȣ̈, ɑwɑ, æwæ"
𐌰𐌱𐌱𐌰,abba,father,https://koeblergerhard.de/wikiling/?f=got&page=1,abba,1,certain,not_reconstructed,"M., n",ͽppͽ,"ͽppͽ, ͽwwͽ, ȣ̈ppȣ̈, ȣ̈wwȣ̈, ɑppɑ, ɑwwɑ, æppæ, æwwæ"
𐌰𐌱𐍂𐌰𐌱𐌰,abraba,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?f=got&page=1,aβraβa,3,certain,not_reconstructed,"Adv., r",ͽwrͽwͽ,"ͽwrͽwͽ, ȣ̈wrȣ̈wȣ̈, ɑwrɑwɑ, æwræwæ"
𐌰𐌱𐍂𐌾𐌰𐌽,abrjan,become_strong,https://koeblergerhard.de/wikiling/?f=got&page=1,aβr̥j,0,uncertain,word,"V., v",ͽwrjͽ,"ͽwrjͽ, ͽwrje, ͽwrjɑ, ͽwrjæ, ͽwrju, ȣ̈wrjͽ, ȣ̈wrje, ȣ̈wrjɑ, ȣ̈wrjæ, ȣ̈wrju, ɑwrjͽ, ɑwrje, ɑwrjɑ, ɑwrjæ, ɑwrju, æwrjͽ, æwrje, æwrjɑ, æwrjæ, æwrju"
𐌰𐌱𐍂𐍃,abrs,"great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?f=got&page=1,aβr̥s,1,certain,not_reconstructed,"Adj., a",ͽwrsͽ,"ͽwrsͽ, ͽwrse, ͽwrsɑ, ͽwrsæ, ͽwrsu, ȣ̈wrsͽ, ȣ̈wrse, ȣ̈wrsɑ, ȣ̈wrsæ, ȣ̈wrsu, ɑwrsͽ, ɑwrse, ɑwrsɑ, ɑwrsæ, ɑwrsu, æwrsͽ, æwrse, æwrsɑ, æwrsæ, æwrsu"
𐌰𐌳𐌰,ada,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,aða,1,certain,not_reconstructed,"N., n",ͽðͽ,"ͽðͽ, ȣ̈ðȣ̈, ɑðɑ, æðæ"
𐌰𐌳𐌳𐌹,addi,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,addɪ,0,certain,word,"N., n",ͽððͽ,"ͽððͽ, ͽððȣ̈, ͽðði, ͽttͽ, ͽttȣ̈, ͽtti, ȣ̈ððͽ, ȣ̈ððȣ̈, ȣ̈ðði, ȣ̈ttͽ, ȣ̈ttȣ̈, ȣ̈tti, ɑððͽ, ɑððȣ̈, ɑðði, ɑttͽ, ɑttȣ̈, ɑtti, æððͽ, æððȣ̈, æðði, ættͽ, ættȣ̈, ætti"
𐌰𐌳𐍂𐍃,adrs,"fast, quick",https://koeblergerhard.de/wikiling/?f=got&page=1,aðr̥s,0,certain,word,"Adj., a",ͽðrsͽ,"ͽðrsͽ, ͽðrse, ͽðrsɑ, ͽðrsæ, ͽðrsu, ȣ̈ðrsͽ, ȣ̈ðrse, ȣ̈ðrsɑ, ȣ̈ðrsæ, ȣ̈ðrsu, ɑðrsͽ, ɑðrse, ɑðrsɑ, ɑðrsæ, ɑðrsu, æðrsͽ, æðrse, æðrsɑ, æðrsæ, æðrsu"
𐌰e𐌻,ael,stone,https://koeblergerhard.de/wikiling/?f=got&page=1,ael,1,certain,not_reconstructed,"M., n",ͽwͽlͽ,"ͽwͽlͽ, ͽwͽle, ͽwȣ̈lͽ, ͽwȣ̈le, ͽjͽlͽ, ͽjͽle, ͽjȣ̈lͽ, ͽjȣ̈le, ȣ̈wͽlͽ, ȣ̈wͽle, ȣ̈wȣ̈lͽ, ȣ̈wȣ̈le, ȣ̈jͽlͽ, ȣ̈jͽle, ȣ̈jȣ̈lͽ, ȣ̈jȣ̈le, ɑwͽlͽ, ɑwͽle, ɑwȣ̈lͽ, ɑwȣ̈le, ɑjͽlͽ, ɑjͽle, ɑjȣ̈lͽ, ɑjȣ̈le"
𐌰𐌻,āl,stone,https://koeblergerhard.de/wikiling/?f=got&page=1,al,0,certain,form,"M., n",ͽlͽ,"ͽlͽ, ͽle, ͽlɑ, ͽlæ, ͽlu, ȣ̈lͽ, ȣ̈le, ȣ̈lɑ, ȣ̈læ, ȣ̈lu, ɑlͽ, ɑle, ɑlɑ, ɑlæ, ɑlu, ælͽ, æle, ælɑ, ælæ, ælu"
𐌰𐍆,af,"from, away_from, by, by_means_of, since, of",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸ,138,certain,not_reconstructed,"Präp., V., rv",ͽwͽ,"ͽwͽ, ͽwe, ͽwɑ, ͽwæ, ͽwu, ȣ̈wͽ, ȣ̈we, ȣ̈wɑ, ȣ̈wæ, ȣ̈wu, ɑwͽ, ɑwe, ɑwɑ, ɑwæ, ɑwu, æwͽ, æwe, æwɑ, æwæ, æwu"
