L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos
𐌰,a,"a, abbreviation_for_",https://koeblergerhard.de/wikiling/?f=got&page=1,a,5,certain,not_reconstructed,"Buchstabe, r"
𐌰𐌱𐌰,aba,"husband, man",https://koeblergerhard.de/wikiling/?f=got&page=1,aβa,27,certain,not_reconstructed,"M., n"
𐌰𐌱𐌱𐌰,abba,father,https://koeblergerhard.de/wikiling/?f=got&page=1,abba,1,certain,not_reconstructed,"M., n"
𐌰𐌱𐍂𐌰𐌱𐌰,abraba,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?f=got&page=1,aβraβa,3,certain,not_reconstructed,"Adv., r"
𐌰𐌱𐍂𐌾𐌰𐌽,abrjan,become_strong,https://koeblergerhard.de/wikiling/?f=got&page=1,aβr̥j,0,uncertain,word,"V., v"
𐌰𐌱𐍂𐍃,abrs,"great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?f=got&page=1,aβr̥s,1,certain,not_reconstructed,"Adj., a"
𐌰𐌳𐌰,ada,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,aða,1,certain,not_reconstructed,"N., n"
𐌰𐌳𐌳𐌹,addi,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,addɪ,0,certain,word,"N., n"
𐌰𐌳𐍂𐍃,adrs,"fast, quick",https://koeblergerhard.de/wikiling/?f=got&page=1,aðr̥s,0,certain,word,"Adj., a"
𐌰e𐌻,ael,stone,https://koeblergerhard.de/wikiling/?f=got&page=1,ael,1,certain,not_reconstructed,"M., n"
𐌰𐌻,āl,stone,https://koeblergerhard.de/wikiling/?f=got&page=1,al,0,certain,form,"M., n"
𐌰𐍆,af,"from, away_from, by, by_means_of, since, of",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸ,138,certain,not_reconstructed,"Präp., V., rv"
