L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in,hm1_strT_vhT_onlyF,hm20_strT_vhT_onlyF
-𐌰,https://en.wiktionary.org/wiki/-𐌰#Gothic,-a,a,,r,a,ͽ,"ͽ, ȣ̈, ɑ, æ"
𐌰,https://en.wiktionary.org/wiki/𐌰#Gothic,a,a,"The_first_letter_of_, Gothic_alphabet, representing_/a/, with_, numerical_value_of_1.",r,a,ͽ,"ͽ, ȣ̈, ɑ, æ"
𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐌰#Gothic,aba,aβa,"man, husband",n,aβa,ͽwͽ,"ͽwͽ, ȣ̈wȣ̈, ɑwɑ, æwæ"
𐌰𐌱𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐌱𐌰#Gothic,abba,abba,father,n,abba,ͽppͽ,"ͽppͽ, ͽwwͽ, ȣ̈ppȣ̈, ȣ̈wwȣ̈, ɑppɑ, ɑwwɑ, æppæ, æwwæ"
𐌰𐌱𐌿,https://en.wiktionary.org/wiki/𐌰𐌱𐌿#Gothic,abu,aβu,"Compound_of_𐌰𐍆+_, clitic__𐌿.",r,aβu,ͽwͽ,"ͽwͽ, ͽwȣ, ͽwu, ɑwͽ, ɑwȣ, ɑwu, uwͽ, uwȣ, uwu, owͽ, owȣ, owu, ȣwͽ, ȣwȣ, ȣwu, ɤ,wͽ, ɤ,wȣ, ɤ,wu"
𐌰𐌱𐍂𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐌰𐌱𐌰#Gothic,abraba,aβraβa,"very, severely, extremely",r,aβraβa,ͽwrͽwͽ,"ͽwrͽwͽ, ȣ̈wrȣ̈wȣ̈, ɑwrɑwɑ, æwræwæ"
𐌰𐌱𐍂𐌰𐌷𐌰𐌼,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐌰𐌷𐌰𐌼#Gothic,abraham,aβraham,"Abraham, , Biblical_character",n,aβraham,ͽwrͽɣͽmͽ,"ͽwrͽɣͽmͽ, ͽwrͽɣͽme, ͽwrͽɣͽmɑ, ͽwrͽkͽmͽ, ͽwrͽkͽme, ͽwrͽkͽmɑ, ͽwrͽjͽmͽ, ͽwrͽjͽme, ͽwrͽjͽmɑ, ȣ̈wrȣ̈ɣȣ̈mͽ, ȣ̈wrȣ̈ɣȣ̈me, ȣ̈wrȣ̈ɣȣ̈mɑ, ȣ̈wrȣ̈kȣ̈mͽ, ȣ̈wrȣ̈kȣ̈me, ȣ̈wrȣ̈kȣ̈mɑ, ȣ̈wrȣ̈jȣ̈mͽ, ȣ̈wrȣ̈jȣ̈me, ȣ̈wrȣ̈jȣ̈mɑ, ɑwrɑɣɑmͽ, ɑwrɑɣɑme, ɑwrɑɣɑmɑ, ɑwrɑkɑmͽ, ɑwrɑkɑme, ɑwrɑkɑmɑ, ɑwrɑjɑmͽ, ɑwrɑjɑme, ɑwrɑjɑmɑ"
𐌰𐌱𐍂𐍃,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐍃#Gothic,abrs,aβr̥s,"severe, extreme",a,aβr̥s,ͽwrsͽ,"ͽwrsͽ, ͽwrse, ͽwrsɑ, ͽwrsæ, ͽwrsu, ȣ̈wrsͽ, ȣ̈wrse, ȣ̈wrsɑ, ȣ̈wrsæ, ȣ̈wrsu, ɑwrsͽ, ɑwrse, ɑwrsɑ, ɑwrsæ, ɑwrsu, æwrsͽ, æwrse, æwrsɑ, æwrsæ, æwrsu"
𐌰𐌲𐌲𐌴𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐌴𐌻𐌿𐍃#Gothic,aggēlus,aŋɡelus,Alternative_form_of_𐌰𐌲𐌲𐌹𐌻𐌿𐍃,n,aŋɡelus,ͽŋɣͽlͽsͽ,"ͽŋɣͽlͽsͽ, ͽŋɣͽlese, ͽŋɣȣ̈lͽsͽ, ͽŋɣȣ̈lese, ͽŋkͽlͽsͽ, ͽŋkͽlese, ͽŋkȣ̈lͽsͽ, ͽŋkȣ̈lese, ȣ̈ŋɣͽlͽsͽ, ȣ̈ŋɣͽlese, ȣ̈ŋɣȣ̈lͽsͽ, ȣ̈ŋɣȣ̈lese, ȣ̈ŋkͽlͽsͽ, ȣ̈ŋkͽlese, ȣ̈ŋkȣ̈lͽsͽ, ȣ̈ŋkȣ̈lese, ɑŋɣͽlͽsͽ, ɑŋɣͽlese, ɑŋɣȣ̈lͽsͽ, ɑŋɣȣ̈lese, ɑŋkͽlͽsͽ, ɑŋkͽlese, ɑŋkȣ̈lͽsͽ, ɑŋkȣ̈lese"
𐌰𐌲𐌲𐌹𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐌹𐌻𐌿𐍃#Gothic,aggilus,aŋɡɪlus,angel,n,aŋɡɪlus,ͽŋɣͽlͽsͽ,"ͽŋɣͽlͽsͽ, ͽŋɣͽlese, ͽŋɣȣ̈lͽsͽ, ͽŋɣȣ̈lese, ͽŋkͽlͽsͽ, ͽŋkͽlese, ͽŋkȣ̈lͽsͽ, ͽŋkȣ̈lese, ȣ̈ŋɣͽlͽsͽ, ȣ̈ŋɣͽlese, ȣ̈ŋɣȣ̈lͽsͽ, ȣ̈ŋɣȣ̈lese, ȣ̈ŋkͽlͽsͽ, ȣ̈ŋkͽlese, ȣ̈ŋkȣ̈lͽsͽ, ȣ̈ŋkȣ̈lese, ɑŋɣͽlͽsͽ, ɑŋɣͽlese, ɑŋɣȣ̈lͽsͽ, ɑŋɣȣ̈lese, ɑŋkͽlͽsͽ, ɑŋkͽlese, ɑŋkȣ̈lͽsͽ, ɑŋkȣ̈lese"
𐌰𐌲𐌲𐍅𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐍅𐌹𐌸𐌰#Gothic,aggwiþa,aɡɡwɪθa,"distress, anguish, affliction, tribulation",n,aɡɡwɪθa,ͽɣɣͽwͽt͡ʃͽ,"ͽɣɣͽwͽt͡ʃͽ, ͽɣɣͽwͽsͽ, ͽɣɣͽwȣ̈t͡ʃͽ, ͽɣɣͽwȣ̈sͽ, ͽɣɣewͽt͡ʃͽ, ͽɣɣewͽsͽ, ͽɣɣewȣ̈t͡ʃͽ, ͽɣɣewȣ̈sͽ, ͽkkͽwͽt͡ʃͽ, ͽkkͽwͽsͽ, ͽkkͽwȣ̈t͡ʃͽ, ͽkkͽwȣ̈sͽ, ͽkkewͽt͡ʃͽ, ͽkkewͽsͽ, ͽkkewȣ̈t͡ʃͽ, ͽkkewȣ̈sͽ, ȣ̈ɣɣͽwͽt͡ʃȣ̈, ȣ̈ɣɣͽwͽsȣ̈, ȣ̈ɣɣͽwȣ̈t͡ʃȣ̈, ȣ̈ɣɣͽwȣ̈sȣ̈, ȣ̈ɣɣewͽt͡ʃȣ̈, ȣ̈ɣɣewͽsȣ̈, ȣ̈ɣɣewȣ̈t͡ʃȣ̈, ȣ̈ɣɣewȣ̈sȣ̈, ȣ̈kkͽwͽt͡ʃȣ̈, ȣ̈kkͽwͽsȣ̈, ȣ̈kkͽwȣ̈t͡ʃȣ̈, ȣ̈kkͽwȣ̈sȣ̈, ȣ̈kkewͽt͡ʃȣ̈, ȣ̈kkewͽsȣ̈, ȣ̈kkewȣ̈t͡ʃȣ̈, ȣ̈kkewȣ̈sȣ̈"
𐌰𐌲𐌲𐍅𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐍅𐌿𐍃#Gothic,aggwus,aɡɡwus,"narrow, strait",a,aɡɡwus,ͽɣɣͽwͽsͽ,"ͽɣɣͽwͽsͽ, ͽɣɣͽwȣsͽ, ͽɣɣewͽse, ͽɣɣewȣse, ͽkkͽwͽsͽ, ͽkkͽwȣsͽ, ͽkkewͽse, ͽkkewȣse, ɑɣɣͽwͽsͽ, ɑɣɣͽwȣsͽ, ɑɣɣewͽse, ɑɣɣewȣse, ɑkkͽwͽsͽ, ɑkkͽwȣsͽ, ɑkkewͽse, ɑkkewȣse, uɣɣͽwͽsͽ, uɣɣͽwȣsͽ, uɣɣewͽse, uɣɣewȣse, ukkͽwͽsͽ, ukkͽwȣsͽ, ukkewͽse, ukkewȣse"
𐌰𐌲𐌹𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌹𐍃#Gothic,agis,aɣɪs,fear,n,aɣɪs,ͽɣͽsͽ,"ͽɣͽsͽ, ͽɣͽse, ͽɣͽsɑ, ͽɣȣ̈sͽ, ͽɣȣ̈se, ͽɣȣ̈sɑ, ͽɣisͽ, ͽɣise, ͽɣisɑ, ȣ̈ɣͽsͽ, ȣ̈ɣͽse, ȣ̈ɣͽsɑ, ȣ̈ɣȣ̈sͽ, ȣ̈ɣȣ̈se, ȣ̈ɣȣ̈sɑ, ȣ̈ɣisͽ, ȣ̈ɣise, ȣ̈ɣisɑ, ɑɣͽsͽ, ɑɣͽse, ɑɣͽsɑ, ɑɣȣ̈sͽ, ɑɣȣ̈se, ɑɣȣ̈sɑ, ɑɣisͽ, ɑɣise, ɑɣisɑ"
𐌰𐌲𐌹𐍃𐌻𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌹𐍃𐌻𐌴𐌹𐌺𐍃#Gothic,agislēiks,aɣɪsleɪks,"terrible, fearful",a,aɣɪsleɪks,ɣͽslͽwkͽ,"ɣͽslͽwkͽ, ɣͽslͽwke, ɣͽslͽjkͽ, ɣͽslͽjke, ɣͽslȣ̈wkͽ, ɣͽslȣ̈wke, ɣͽslȣ̈jkͽ, ɣͽslȣ̈jke, ɣȣ̈slͽwkͽ, ɣȣ̈slͽwke, ɣȣ̈slͽjkͽ, ɣȣ̈slͽjke, ɣȣ̈slȣ̈wkͽ, ɣȣ̈slȣ̈wke, ɣȣ̈slȣ̈jkͽ, ɣȣ̈slȣ̈jke, ɣislͽwkͽ, ɣislͽwke, ɣislͽjkͽ, ɣislͽjke, ɣislȣ̈wkͽ, ɣislȣ̈wke, ɣislȣ̈jkͽ, ɣislȣ̈jke"
𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃#Gothic,aglaitgastalds,aɣlɛtɡastalds,shamelessly_greedy,a,aɣlɛtɡastalds,lͽtɣͽstͽ,"lͽtɣͽstͽ, lͽtɣȣ̈stȣ̈, lͽtɣɑstɑ, lͽtkͽstͽ, lͽtkȣ̈stȣ̈, lͽtkɑstɑ, lͽtŋͽstͽ, lͽtŋȣ̈stȣ̈, lͽtŋɑstɑ, lȣ̈tɣͽstͽ, lȣ̈tɣȣ̈stȣ̈, lȣ̈tɣɑstɑ, lȣ̈tkͽstͽ, lȣ̈tkȣ̈stȣ̈, lȣ̈tkɑstɑ, lȣ̈tŋͽstͽ, lȣ̈tŋȣ̈stȣ̈, lȣ̈tŋɑstɑ, letɣͽstͽ, letɣȣ̈stȣ̈, letɣɑstɑ, letkͽstͽ, letkȣ̈stȣ̈, letkɑstɑ, letŋͽstͽ, letŋȣ̈stȣ̈, letŋɑstɑ"
𐌰𐌲𐌻𐌰𐌹𐍄𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌴𐌹#Gothic,aglaitēi,aɣlɛteɪ,"fornication, lustfulness, lewdness, lasciviousness",n,aɣlɛteɪ,ͽɣlͽtͽwͽ,"ͽɣlͽtͽwͽ, ͽɣlͽtͽwȣ̈, ͽɣlͽtͽjͽ, ͽɣlͽtͽjȣ̈, ͽɣlͽtȣ̈wͽ, ͽɣlͽtȣ̈wȣ̈, ͽɣlͽtȣ̈jͽ, ͽɣlͽtȣ̈jȣ̈, ͽɣlȣ̈tͽwͽ, ͽɣlȣ̈tͽwȣ̈, ͽɣlȣ̈tͽjͽ, ͽɣlȣ̈tͽjȣ̈, ͽɣlȣ̈tȣ̈wͽ, ͽɣlȣ̈tȣ̈wȣ̈, ͽɣlȣ̈tȣ̈jͽ, ͽɣlȣ̈tȣ̈jȣ̈, ȣ̈ɣlͽtͽwͽ, ȣ̈ɣlͽtͽwȣ̈, ȣ̈ɣlͽtͽjͽ, ȣ̈ɣlͽtͽjȣ̈, ȣ̈ɣlͽtȣ̈wͽ, ȣ̈ɣlͽtȣ̈wȣ̈, ȣ̈ɣlͽtȣ̈jͽ, ȣ̈ɣlͽtȣ̈jȣ̈, ȣ̈ɣlȣ̈tͽwͽ, ȣ̈ɣlȣ̈tͽwȣ̈, ȣ̈ɣlȣ̈tͽjͽ, ȣ̈ɣlȣ̈tͽjȣ̈, ȣ̈ɣlȣ̈tȣ̈wͽ, ȣ̈ɣlȣ̈tȣ̈wȣ̈, ȣ̈ɣlȣ̈tȣ̈jͽ, ȣ̈ɣlȣ̈tȣ̈jȣ̈"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌹#Gothic,aglaiti,aɣlɛtɪ,"lewdness, lasciviousness",n,aɣlɛtɪ,ͽɣlͽtͽ,"ͽɣlͽtͽ, ͽɣlͽtȣ̈, ͽɣlͽti, ͽɣlȣ̈tͽ, ͽɣlȣ̈tȣ̈, ͽɣlȣ̈ti, ͽɣletͽ, ͽɣletȣ̈, ͽɣleti, ȣ̈ɣlͽtͽ, ȣ̈ɣlͽtȣ̈, ȣ̈ɣlͽti, ȣ̈ɣlȣ̈tͽ, ȣ̈ɣlȣ̈tȣ̈, ȣ̈ɣlȣ̈ti, ȣ̈ɣletͽ, ȣ̈ɣletȣ̈, ȣ̈ɣleti, ɑɣlͽtͽ, ɑɣlͽtȣ̈, ɑɣlͽti, ɑɣlȣ̈tͽ, ɑɣlȣ̈tȣ̈, ɑɣlȣ̈ti, ɑɣletͽ, ɑɣletȣ̈, ɑɣleti"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳𐌴𐌹#Gothic,aglaitiwaurdēi,aɣlɛtɪwɔrdeɪ,shameful_or_obscene_speech,n,aɣlɛtɪwɔrdeɪ,lͽtwͽrðͽ,"lͽtwͽrðͽ, lͽtwͽrðȣ̈, lͽtwͽrtͽ, lͽtwͽrtȣ̈, lͽtwerðͽ, lͽtwerðȣ̈, lͽtwertͽ, lͽtwertȣ̈, lȣ̈twͽrðͽ, lȣ̈twͽrðȣ̈, lȣ̈twͽrtͽ, lȣ̈twͽrtȣ̈, lȣ̈twerðͽ, lȣ̈twerðȣ̈, lȣ̈twertͽ, lȣ̈twertȣ̈, letwͽrðͽ, letwͽrðȣ̈, letwͽrtͽ, letwͽrtȣ̈, letwerðͽ, letwerðȣ̈, letwertͽ, letwertȣ̈"
