L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity,hmInf_strF_vhF_onlyF
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,the,0,-,r,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('the', 'part')",0.243639922,0.917895019,^(s|j|θ|ʃ|w|m)?(ͽ|e|ɑ|u)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
á,https://hu.wiktionary.org/wiki/á#Magyar,https://en.wiktionary.org/wiki/á#Hungarian,aː,wow,0,-,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('the', 'part')",0.243639922,0.917895019,^(s|j|θ|ʃ|w|m)?(ɑ)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
abál,https://hu.wiktionary.org/wiki/abál#Magyar,https://en.wiktionary.org/wiki/abál#Hungarian,ɒbaːl,the_left,0,-,n,1561,no_info,no_info,no_info,no_info,no_info,-,certain,(),0.0,-1.0,b not old
ábécé,https://hu.wiktionary.org/wiki/ábécé#Magyar,https://en.wiktionary.org/wiki/ábécé#Hungarian,aːbeːt͡seː,"ABC, criss-cross-row",0,-,n,1510,no_info,no_info,no_info,no_info,acronym,-,certain,(),0.0,-1.0,"b, t͡s not old"
abesszin,https://hu.wiktionary.org/wiki/abesszin#Magyar,https://en.wiktionary.org/wiki/abesszin#Hungarian,ɒbɛsːin,Abyssinian,0,-,n,1573,IE,Romance,Latin,no_info,general,+,uncertain,(),0.0,-1.0,b not old
ablak,https://hu.wiktionary.org/wiki/ablak#Magyar,https://en.wiktionary.org/wiki/ablak#Hungarian,ɒblɒk,window,0,-,n,1372,IE,Slavic,Slovenian,no_info,no_info,+,uncertain,"('window', 'window')",0.568014706,0.99999994,b not old
abrak,https://hu.wiktionary.org/wiki/abrak#Magyar,https://en.wiktionary.org/wiki/abrak#Hungarian,ɒbrɒk,"feed, fodder, forage",0,-,n,1494,no_info,no_info,no_info,no_info,no_info,-,certain,"('feed', 'eat')",0.080188679,0.7481021290000001,b not old
ábrázol,https://hu.wiktionary.org/wiki/ábrázol#Magyar,https://en.wiktionary.org/wiki/ábrázol#Hungarian,aːbraːzol,"delineate, depict, illustrate, limn, picture, plot, portray, represent, typify, write_down",0,-,v,1513,no_info,no_info,no_info,no_info,derivative,-,certain,"('plot', 'plot')",0.329365079,1.0,b not old
abroncs,https://hu.wiktionary.org/wiki/abroncs#Magyar,https://en.wiktionary.org/wiki/abroncs#Hungarian,ɒbront͡ʃ,"band, hoop, retainer_ring, retaining_ring",0,-,n,1499,no_info,no_info,no_info,no_info,no_info,-,certain,"('band', 'rock')",0.105,0.8605208990000001,b not old
abrosz,https://hu.wiktionary.org/wiki/abrosz#Magyar,https://en.wiktionary.org/wiki/abrosz#Hungarian,ɒbros,tablecloth,0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('tablecloth', 'linen')",0.655555556,0.755786836,b not old
abszolút,https://hu.wiktionary.org/wiki/abszolút#Magyar,https://en.wiktionary.org/wiki/abszolút#Hungarian,ɒbsoluːt,"absolute, sheer, total, unmitigated, utter",0,-,a,1579,IE,Romance,Latin,no_info,general,+,certain,"('utter', 'shame')",0.116666667,0.7834452390000001,b not old
acél,https://hu.wiktionary.org/wiki/acél#Magyar,https://en.wiktionary.org/wiki/acél#Hungarian,ɒt͡seːl,steel,0,-,n,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('steel', 'iron')",0.272727273,0.840107858,t͡s not old
ács,https://hu.wiktionary.org/wiki/ács#Magyar,https://en.wiktionary.org/wiki/ács#Hungarian,aːt͡ʃ,"carpenter, joiner",0,-,n,1395,Turkic,no_info,no_info,no_info,general,+,certain,"('carpenter', 'carpenter')",0.5069444439999999,0.99999994,^(s|j|θ|ʃ|w|m)?(ɑ|o|ȣ)(t͡ʃʲ|t͡ʃ)(ͽ|e|ɑ|æ|ŋe|wͽ|mͽ|kͽ|jͽ|we|ŋͽ|ͽtͽ|ȣ̈|je|jkɑ|me|ke|ŋæ|ɣͽ|ɑlͽ|ͽrͽ|ele|ͽkͽ)?$
