New_orth,Old_orth,Lan,New,Old
e,ȣ̈,FU,ɛ,ȣ̈
ég,äŋɜ,FU,eːɡ,æŋͽ
az,o,U,ɒz,o
ez,e,U,ɛz,e
űz,itɜ,Ug,yːz,itͽ
árt,arɜ,FU,aːrt,ɑrͽ
es,ećɜ,U,ɛʃ,et͡ʃʲͽ
eb,ämpɜ,Ug,ɛb,æmpͽ
ágy,aδ̕ɜ,FU,aːɟ,ɑðʲͽ
áld,alɜ,FU,aːld,ɑlͽ
edz,ättɜ,Ug,ɛd͡z,ættͽ
i,äjɜ,Ug,i,æjͽ
ő,sȣ̈,FU,øː,sȣ̈
íz,ipɜ,U,iːz,ipͽ
olt,alɜ,Ug,olt,ɑlͽ
öcs,ećɜ,FU,øt͡ʃ,et͡ʃʲͽ
ük,ewkkɜ,FU,yk,ewkkͽ
ho,ku,U,ho,ku
far,purɜ,Ug,fɒr,purͽ
haj,kajɜ,Ug,hɒj,kɑjͽ
hat,kattɜ,U,hɒt,kɑttͽ
hál,kalɜ,FU,haːl,kɑlͽ
fal,paδɜ,FU,fɒl,pɑðͽ
fajd,paδ̕tɜ,FU,fɒjd,pɑðʲtͽ
fen,pänɜ,FU,fɛn,pænͽ
hág,kaŋɜ,Ug,haːɡ,kɑŋͽ
fog,puŋɜ,Ug,foɡ,puŋͽ
mer,märɜ,Ug,mɛr,mærͽ
mer,märɜ,Ug,mɛr,mærͽ
szar,śarɜ,FU,sɒr,ʃʲɑrͽ
fed,pentɜ,FU,fɛd,pentͽ
fesl,päčɜ,Ug,fɛʃl,pæt͡ʃͽ
fejt,pejɜ,Ug,fɛjt,pejͽ
hoz,kućɜ,Ug,hoz,kut͡ʃʲͽ
fok,pukkɜ,Ug,fok,pukkͽ
fűl,pilɜ,Ug,fyːl,pilͽ
hány,kanɜ,FU,haːɲ,kɑnͽ
fogy,pučɜ,FU,foɟ,put͡ʃͽ
foszl,puśɜ,Ug,fosl,puʃʲͽ
tér,terɜ,FU,teːr,terͽ
mi,mȣ̈,U,mi,mȣ̈
ti,tȣ̈,U,ti,tȣ̈
te,tȣ̈,U,tɛ,tȣ̈
ki,ki,Ug,ki,ki
ki,ke,FU,ki,ke
fék,päkkɜ,Ug,feːk,pækkͽ
tér,tärɜ,Ug,teːr,tærͽ
mi,mɜ,U,mi,mͽ
té,tä,U,teː,tæ
vár,warɜ,Ug,vaːr,wɑrͽ
fáz,pȣtɜ,Ug,faːz,pȣtͽ
húgy,kuńćɜ,U,huːɟ,kunʲt͡ʃʲͽ
szer,śerɜ,U,sɛr,ʃʲerͽ
tál,talɜ,Ug,taːl,tɑlͽ
híz,katɜ,Ug,hiːz,kɑtͽ
hagy,kȣńćɜ,Ug,hɒɟ,kȣnʲt͡ʃʲͽ
húsz,kuśɜ,FU,huːs,kuʃʲͽ
hát,kuttɜ,U,haːt,kuttͽ
fúj,puwɜ,U,fuːj,puwͽ
hón,konɜ,FU,hoːn,konͽ
fúl,puwɜ,FU,fuːl,puwͽ
mar,mȣrɜ,U,mɒr,mȣrͽ
nyer,ńärɜ,Ug,ɲɛr,nʲærͽ
hárs,końćkɜ,FU,haːrʃ,konʲt͡ʃʲkͽ
fágy,pȣčɜ,FU,faːɟ,pȣt͡ʃͽ
hód,kumtɜ,Ug,hoːd,kumtͽ
múl,mulɜ,FU,muːl,mulͽ
foly,pȣlɜ,Ug,foj,pȣlͽ
füst,pičɜ,Ug,fyʃt,pit͡ʃͽ
fűz,pećɜ,FU,fyːz,pet͡ʃʲͽ
hím,kojmɜ,U,hiːm,kojmͽ
mál,mȣlɜ,FU,maːl,mȣlͽ
ár,ora,FU,aːr,orɑ
fing,pȣnɜ,U,finɡ,pȣnͽ
