hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,wordipa
magyar,870,870 k.,ca. 870 ,magyar,,Hungarian,Hungarian,13. Szóösszetétellel keletkezett szavak ?,13. Words formed by word composition?,,a,mɒɟɒr
kende,930,930 k.,ca. 930 ,kende,,kende,kende,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kɛndɛ
horka,950,"942  tn.  (?),  950 k.","942  placename  (?), ca.   950 ",horka,,horka,horka,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,horkɒ
vajda,1199,"950 k.  (?),  1199","ca. 950   (?),   1199",vajda,,voivod,voivod,a) Orosz jövevényszavak ?,a) Russian newcomer words?,,n,vɒjdɒ
csorog,1416,"950 k.  (?),  1416 u.","ca. 950   (?), after   1416 ",csorog,,trickling,trickling,"1. Ősi, uráli kori szavak ?",1. Ancient Uralic words?,U?,v,t͡ʃoroɡ
tesz,1300,"950 k.  tn.  (?),  13. sz.  eleje",beginning of   13. century  ,tesz,,"['to do, did, done', 'to lay, laid', 'to place', 'to put in', 'to put, put', 'to refer', 'to set, set', 'to shove', 'to shuffle', 'to stand, stood', 'to work']","do, did, done, lay, laid, place, put_in, put, put, refer, set, set, shove, shuffle, stand, stood, work","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,tɛs
búcsú,1372,"950 k.  tn.  (?),  1372 u.","ca. 950   placename  (?), after   1372 ",búcsú,,"['farewell', 'leave', 'pardon', 'parting', ""saint's-day"", 'send-off']","farewell, leave, pardon, parting, ""saints-day"", send-off",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,buːt͡ʃuː
íz,1372,"950 k.  tn.  (?),  1372 u.","ca. 950   placename  (?), after   1372 ",íz1,,"['flavor', 'flavour', 'gust', 'relish', 'salt', 'savor', 'savour', 'smack', 'taste']","flavor, flavour, gust, relish, salt, savor, savour, smack, taste","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,iːz
fal,1395,"950 k.  tn.  (?),  1395 k.","ca. 950   placename  (?), ca.   1395 ",fal1,,"['cushion', 'to engorge', 'to glut', 'to gobble', 'to gobble up', 'to guzzle', 'to scarf out', 'to stuff oneself', 'wall']","cushion, engorge, glut, gobble, gobble_up, guzzle, scarf_out, stuff_oneself, wall","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɒl
keszeg,1405,"950 k.  tn.  (?), 1405 k.","ca. 950   placename  (?), ca.  1405 ",keszeg,,['bream'],bream,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,kɛsɛɡ
tarka,1526,"950 k. tn. (?), 1526","ca. 950  placename (?),  1526",tarka,,"['brindle', 'brindled', 'checkered', 'dappled', 'fancy', 'gaudy', 'gay', 'laced', 'medley', 'mottled', 'parti-coloured', 'pied', 'variegated']","brindle, brindled, checkered, dappled, fancy, gaudy, gay, laced, medley, mottled, parti-coloured, pied, variegated",1. Származékszavak ,1. Derivatives,,a,tɒrkɒ
köz,1200,"950 k. tn., 12. sz. vége",end of  12. century ,köz,,"['alley', 'alleyway', 'close', 'interstice', 'land', 'lane', 'mews', 'space', 'space between']","alley, alleyway, close, interstice, land, lane, mews, space, space_between","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,køz
lesz,1200,"950 k. tn., 12. sz. vége",end of  12. century ,lesz,,"['to come, came, come', 'to make, made']","come, came, come, make, made","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,lɛs
árpa,1329,"950 k. tn., 1329","ca. 950  placename,  1329",árpa,,['barley'],barley,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,aːrpɒ
kürt,1405,"950 k., tn. (?), 1405 k.","ca. 950 ,  placename (?), ca.  1405 ",kürt,,"['bugle', 'French horn', 'hooter', 'horn', 'tooter']","bugle, French_horn, hooter, horn, tooter",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,kyrt
gyula,950,950 k.,ca. 950 ,gyula,,Alba,Alba,"12. Tulajdonnévi, személynévi eredetű szavak ","12. Words of proper origin, personal names",,n,ɟulɒ
ó,950,950 k.,ca. 950 ,-ó/-ő1,+,['old'],old,,,,r,oː
ő,950,950 k.,ca. 950 ,-ó/-ő1,+,He,He,,,,r,øː
d,950,950,950,-d1,+,d,d,,,,r,d
huj,960,960 k.,ca. 960 ,huj,,hui,hui,"1. Hangutánzó, hangfestő szavak ","1. Sound imitating, sound painting words",,v,huj
bálvány,1109,"1001 tn.,  1109","1001 placename,   1109",bálvány,,"['fetish', 'idol', 'mumbo jumbo', 'mumbo-jumbo']","fetish, idol, mumbo_jumbo, mumbo-jumbo",?,?,,n,baːlvaːɲ
fűz,1251,"1001 tn.,  1251","1001 placename,   1251",fűz2,,"['sallow', 'to stitch']","sallow, stitch","2. Ősi, finnugor kori szavak ?",2. Ancient Finno-Ugric words?,FU?,v,fyːz
szánt,1372,"1002 e. tn.,  1372 u.","before 1002  placename, after   1372 ",szánt,,"['to ear', 'to follow the plough', 'to furrow', 'to plough', 'to plow']","ear, follow_the_plough, furrow, plough, plow",1. Származékszavak ,1. Derivatives,,a,saːnt
fül,1372,"1009  tn.  (?),  1372 u.","1009  placename  (?), after   1372 ",fül,,"['bail', 'bow', 'ear', 'flap', 'flappers', 'handle', 'lug', 'tab']","bail, bow, ear, flap, flappers, handle, lug, tab","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,fyl
fej,1055,"1009 tn., 1055","1009 placename,  1055",fej2,,"['bean', 'can', 'crumpet', 'face', 'head', 'headpiece', 'knob', 'mask', 'to milk', 'nab', 'nob', 'noddle', 'nut', 'pate', 'skin', 'to sponge on', 'upper story']","bean, can, crumpet, face, head, headpiece, knob, mask, milk, nab, nob, noddle, nut, pate, skin, sponge_on, upper_story","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɛj
híd,1183,"1009 tn., 1183","1009 placename,  1183",híd,,"['bridge', 'brig']","bridge, brig",II. Iráni (például alán) jövevényszavak ,"II. Iranian (for example, under) newcomer words",,n,hiːd
úr,1200,"1009 tn., 12. sz. vége",end of  12. century ,úr,,"['baboo', 'esquire', 'gentleman, gentlemen', 'lord', 'sahib']","baboo, esquire, gentleman, gentlemen, lord, sahib",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,r,uːr
alma,1225,"1009 tn., 1225","1009 placename,  1225",alma,,['apple'],apple,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,ɒlmɒ
kapu,1372,"1009 tn., 1372 u.","1009 placename, after  1372 ",kapu,,"['door', 'front door', 'front-door', 'gate', 'goal', 'home', 'port']","door, front_door, front-door, gate, goal, home, port",a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kɒpu
ügy,1434,"1009 tn., 1434","1009 placename,  1434",ügy1,,"['affair', 'business', 'case', 'cause', 'go', 'issue', 'matter', 'proceeding', 'proposition', 'shebang']","affair, business, case, cause, go, issue, matter, proceeding, proposition, shebang",F) VITATOTT EREDETŰ SZAVAK ,F) WORDS OF DISPUTED ORIGIN,,n,yɟ
szérű,1395,"1015 tn., 1395 k.","1015 placename, ca.  1395 ",szérű,,"['corn-floor', 'thrashing floor']","corn-floor, thrashing_floor",b) Csuvasos típusú jövevényszavak ?,b) Chuvash type newcomer words?,,n,seːryː
nedv,1490,"1015 tn., 1490","1015 placename,  1490",nedv,,"['juice', 'moisture', 'sap']","juice, moisture, sap",G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,nɛdv
meleg,1372,"1018 k. tn.(?), 1372 u.","ca. 1018  placename(?), after  1372 ",meleg,,"['to be warm', 'camp', 'campy', 'cream-puff', 'creampuff', 'fag', 'faggot', 'mellow', 'poovey', 'poovy', 'rich', 'warm', 'warmth']","be_warm, camp, campy, cream-puff, creampuff, fag, faggot, mellow, poovey, poovy, rich, warm, warmth","3. Ősi, ugor kori szavak ","3. Ancient, Ugric words",Ug,r,mɛlɛɡ
sarló,1395,"1018 k. tn., 1395 k.","ca. 1018  placename, ca.  1395 ",sarló,,"['reaping-hook', 'scythe', 'sickle']","reaping-hook, scythe, sickle",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,ʃɒrloː
szombat,1405,"1018 k. tn., 1405 k.","ca. 1018  placename, ca.  1405 ",szombat,,Saturday,Saturday,d) Déli szláv jövevényszavak (általában) ?,d) South Slavic newcomer words (in general)?,,n,sombɒt
király,1018,1018 k.,ca. 1018 ,király,,"['king', 'royalty']","king, royalty","12. Tulajdonnévi, személynévi eredetű szavak ","12. Words of proper origin, personal names",,n,kiraːj
g,1018,1018 k.,ca. 1018 ,-g2,+,g,g,,,,r,ɡ
vaj,1395,"1018–1038 tn., 1395 k.","1018–1038 placename, ca.  1395 ",vaj,,"['butterfat', 'butter']","butterfat, butter","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,vɒj
