hun_lemma,hun_year,info,info_en,disambiguated,hun_suffix,en_human,hun_en,orig,hun_orig_en,orig_tag,hun_pos,hun_ipa,regexroot
magyar,870,870 k.,ca. 870 ,magyar,,Hungarian,Hungarian,13. Szóösszetétellel keletkezett szavak ?,13. Words formed by word composition?,,a,mɒɟɒr,r# not old/Gothic
kende,930,930 k.,ca. 930 ,kende,,kende,kende,a) Török jövevényszavak általában ,a) Turkish newcomers in general,,n,kɛndɛ,nd not old/Gothic
horka,950,"942  tn.  (?),  950 k.","942  placename  (?), ca.   950 ",horka,,horka,horka,G) ISMERETLEN EREDETŰ SZAVAK ,G) WORDS OF UNKNOWN ORIGIN,,n,horkɒ,"rk, ɒ# not old/Gothic"
vajda,1199,"950 k.  (?),  1199","ca. 950   (?),   1199",vajda,,voivod,voivod,a) Orosz jövevényszavak ?,a) Russian newcomer words?,,n,vɒjdɒ,"jd, ɒ# not old/Gothic"
csorog,1416,"950 k.  (?),  1416 u.","ca. 950   (?), after   1416 ",csorog,,trickling,trickling,"1. Ősi, uráli kori szavak ?",1. Ancient Uralic words?,U?,v,t͡ʃoroɡ,#t͡ʃ not old/Gothic
tesz,1300,"950 k.  tn.  (?),  13. sz.  eleje",beginning of   13. century  ,tesz,,"['to do, did, done', 'to lay, laid', 'to place', 'to put in', 'to put, put', 'to refer', 'to set, set', 'to shove', 'to shuffle', 'to stand, stood', 'to work']","do, did, done, lay, laid, place, put_in, put, put, refer, set, set, shove, shuffle, stand, stood, work","2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,v,tɛs,s# not old/Gothic
búcsú,1372,"950 k.  tn.  (?),  1372 u.","ca. 950   placename  (?), after   1372 ",búcsú,,"['farewell', 'leave', 'pardon', 'parting', ""saint's-day"", 'send-off']","farewell, leave, pardon, parting, ""saints-day"", send-off",b) Csuvasos típusú jövevényszavak ,b) Chuvash type newcomer words,,n,buːt͡ʃuː,"t͡ʃ, u# not old/Gothic"
íz,1372,"950 k.  tn.  (?),  1372 u.","ca. 950   placename  (?), after   1372 ",íz1,,"['flavor', 'flavour', 'gust', 'relish', 'salt', 'savor', 'savour', 'smack', 'taste']","flavor, flavour, gust, relish, salt, savor, savour, smack, taste","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,iːz,^(j|m|s)?(i)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
fal,1395,"950 k.  tn.  (?),  1395 k.","ca. 950   placename  (?), ca.   1395 ",fal1,,"['cushion', 'to engorge', 'to glut', 'to gobble', 'to gobble up', 'to guzzle', 'to scarf out', 'to stuff oneself', 'wall']","cushion, engorge, glut, gobble, gobble_up, guzzle, scarf_out, stuff_oneself, wall","1. Ősi, uráli kori szavak ",1. Ancient Uralic words,U,n,fɒl,^(j|m|s)?(p)(e|o|u|ɑ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
keszeg,1405,"950 k.  tn.  (?), 1405 k.","ca. 950   placename  (?), ca.  1405 ",keszeg,,['bream'],bream,"2. Ősi, finnugor kori szavak ",2. Ancient Finno-Ugric words,FU,n,kɛsɛɡ,^(j|m|s)?(k)(e|o|æ)(j|s)(e|o|æ)(e|æ|ɑ|je|ke|ŋe|ŋæ)?$
