#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
1,a 5,got,Buchstabe,"a, Abkürzung für 1","a, abbreviation for 1"
2,aba 27,got,M.,"Ehemann, Gatte","husband, man (M.)"
3,abba 1,got,M.,Vater,father
4,abraba 3,got,Adv.,sehr,"very, severely, extremely, excessively"
5,*abrjan?,got,V.,stark werden,become strong
6,abrs 1,got,Adj.,"stark, heftig","great, severe, extreme, excessive"
7,abu,got,Präp.,,
8,*ada-,got,Adj.,,
9,ada 1,got,N.,Ei,egg
10,*addi,got,N.,Ei,egg
11,*adra,got,Adj.,,
12,*adrs,got,Adj.,"schnell, rasch","fast, quick"
13,"ael 1, āl*",got,M.,Stein,stone (N.)
14,af 138,got,"Präp., V.","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of"
15,afagjan* 2,got,V.,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt"
16,afaikan 13,got,V.,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)"
17,afaírzjan 6,got,V.,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)"
18,afar 77,got,"Präp., V., Sb.","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>"
19,afara* 1,got,M.,Nachkomme,descendant
20,"afardags* 1, afurdags*",got,M.,der folgende Tag,"morrow (N.), next day, day after"
21,afargaggan 7,got,V.,"nachgehen, folgen","go after, follow, accompany"
22,afarlaistjan* 6,got,V.,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)"
23,afarsabbate* 1,got,M.,Nachsabbat,post-Sabbath period
24,afaruh,got,Präp.,,
25,afaruþþan 2,got,Präp.,nach,after
26,afblindnan* 1,got,V.,erblinden,"become blind, lose (V.) one’s sight"
27,afdailjan* 1,got,V.,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from"
28,afdaubnan* 1,got,V.,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened"
29,afdáuiþs* 1,got,"V., Adj.","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out"
30,afdáujan*,got,V.,,
31,afdauþjan 5,got,V.,töten,"put to death, make die, kill (V.), eliminate with death"
32,afdōbnan* 1,got,V.,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace"
33,"afdōjan* 1, afdaujan*",got,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out"
34,afdōmeins* 1,got,F.,Verdammung,condemnation
35,afdōmjan 6,got,V.,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure"
36,afdrausjan 1,got,V.,hinabstürzen,"throw down off, throw down of"
37,*afdrugk?,got,N.,Trinken,drinking up
38,afdrugkja 2,got,M.,Trunkenbold,drunkard
39,afdumbnan* 1,got,V.,verstummen,"become still, subside into silence, fall off into dumbness"
40,*afēt?,got,N.,"Wegesserei, Fressen",gluttonous eating
41,afētja 2,got,M.,Fresser,"glutton, voracious eater"
42,*afēts?,got,Adj.,"essbar?, fresserisch","voracious in eating, gluttonish"
43,affilhan* 1,got,V.,verbergen,"hide from, conceal from"
44,afgaggan* 5,got,V.,"weggehen von, weggehen, weichen (V.) (2)","go away, leave (V.), depart (V.)"
45,afgiban* sik 1,got,V.,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben","give o.s. away, separate (V.)"
46,afgrundiþa* 2,got,F.,Abgrund,abyss
47,*afgrundus?,got,Adj.,abgründig,bottomless
48,afgudei* 2,got,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety"
49,afguþs* 3,got,Adj.,"abgöttisch, gottlos","godless, irreligious, impious"
50,afhaban* (sik) 1,got,V.,sich enthalten,"abstain, withhold o.s."
51,"afhaimeis* 2, afhaimis*, afhaims*",got,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home"
52,afhaimis*,got,Adj.,,
53,afhaims*,got,Adj.,,
54,afhamōn 1,got,V.,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff"
55,afhlaþan* 1,got,V.,beladen (V.),"burden (V.), load down, lade down"
56,afhōlōn* 1,got,V.,"übervorteilen, betrügen",extort from by false allegation
57,afhrainjan 1,got,V.,"etwas Verunreinigendes tilgen, reinigen","cleanse away, wipe out"
58,afhrisjan* 2,got,V.,abschütteln,shake off
59,afhugjan* 1,got,V.,bezaubern,"lead astray the understanding of, bewitch"
60,afƕapjan 5,got,V.,"ersticken, auslöschen","choke (V.), extinguish, asphyxiate, suffocate"
61,afƕapnan* 6,got,V.,"ersticken, erlöschen","choke (V.), be suffocated, become suffocated"
62,*afitan?,got,V.,"verschlingen, fressen","devour, eat voraciously"
63,aflageins* 1,got,F.,"Ablegung, Erlass, Vergebung","forgiveness, laying aside, remission, absolution"
64,aflagjan 5,got,V.,etwas ablegen,"put off, lay off away, lay down, lay aside"
65,afleiþan* 14,got,V.,"weggehen, entweichen, verreisen, fortgehen","go away, depart (V.), leave (V.)"
66,aflēt* 3,got,N.,"Erlass, Vergebung","indulgence, letting off, forgiveness, pardon (N.)"
67,aflētan 53,got,V.,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive"
68,aflifnan* 8,got,V.,übrigbleiben,"be left, become left, be left over, remain (V.)"
69,aflinnan* 1,got,V.,"weggehen, fortgehen","leave off, go away, cease from, let up"
70,afmaitan* 8,got,V.,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead"
71,afmarzeins 2,got,F.,Betrug,"deception, deceitfulness, delusive seduction"
72,afmarzjan* 2,got,V.,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence"
73,afmáuiþs* 21,got,"V., Adj.",ermüdet,"weary (Adj.), debilitated, tired out, fatigued"
74,afmáujan*,got,V.,,
75,"afmōjan*, afmaujan*",got,V.,ermüden,"tire out, fatigue (V.)"
76,afniman 15,got,V.,"wegnehmen, abnehmen","take away, remove (V.), withdraw"
77,afqiþan* 1,got,V.,"verzichten auf, entsagen","renounce (V.), foreswear"
78,afsateins* 1,got,F.,"Absetzung, Entlassung, Verabschiedung, Scheidung","setting aside (N.), divorce (N.)"
79,afsatjan 3,got,V.,"absetzen, entlassen (V.)","dismiss, remove (V.), put away, set aside, set off, divorce (V.)"
80,afskaidan 6,got,V.,"„abscheiden“, absondern, abtrennen, trennen","separate off, sever, sunder (V.), divide"
81,afskiuban* 2,got,V.,"verstoßen (V.), von sich wegstoßen, abschieben, von sich schieben, entfernen","reject (V.), repulse (V.), shove away, thrust away"
82,afslahan* 54,got,V.,"abschlagen, abhauen, erschlagen (V.)","hew off, slay, strike dead, strike off, cut off, kill (V.)"
83,afslaupjan* 1,got,V.,"abstreifen, ablegen","let slide off, make slip off, put off"
84,afslauþjan* 2,got,V.,"in Angst versetzen, in Sorge sein (V.), ängstigen","perturb, frighten, dumbfound (V.), scare (V.), silence off, make speechless"
85,afslauþnan 3,got,V.,"erschrecken, sich entsetzen","be amazed, be dumbfounded, become dumbfounded, be silenced off, become silenced >>>"
86,afsneiþan*,got,V.,,
87,afstandan* 7,got,V.,"abstehen, ablassen, abfallen","dissociate o.s., go away, stay away, fall off"
88,afstass 2,got,F.,"Abfall, Scheidung","dissociation, separation, divorce (N.)"
89,afswaggwjan* 1,got,V.,"schwankend machen?, ängstlich machen","make anxious, make sway away from, cause to waver"
90,afswaírban* 1,got,V.,"abwischen, auslöschen","wipe away, wipe out"
91,afta 1,got,Adv.,hinten,behind
92,aftana 1,got,Adv.,von hinten,from behind
93,aftaraanastōdeins*,got,F.,,
94,*aftarō 3,got,Adv.,"von hinten, hinten","in back of, from behind"
95,aftaúrnan* 1,got,V.,abreißen,"tear off, be torn off, become torn off"
96,aftiuhan 2,got,V.,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away"
97,"aftra 102101, afta",got,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more"
98,"aftraanastōdeins* 1, aftaraanastōdeins*",got,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival"
99,*aftragasatjan?,got,V.,,
100,aftuma* 1,got,"Adj., Adj.","letzte, hintere","aftermost, hindmost, last of two parties"
101,aftumists 5,got,"Adj., Adj.",letzte,"endmost, final (Adj.), the very last"
102,afþaúrsiþs,got,"V., Adj.",,
103,afþaúrsjan* 2,got,V.,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst"
104,afþliuhan* 1,got,V.,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)"
105,afþwahan 3,got,V.,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off"
106,afurdags*,got,M.,,
107,afwagjan* 1,got,V.,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)"
108,afwaírpan 4,got,V.,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off"
109,afwalwjan* 2,got,V.,wegwälzen,"remove by rolling, roll away"
110,afwandjan 7,got,V.,"abwenden, vermeiden","turn aside, make turn away from"
111,*agan?,got,V.,sich fürchten,be afraid of
112,*agands?,got,"V., Adj.",furchtsam,fearful
113,*agatja?,got,F.,Elster,magpie
114,*agei?,got,F.,"Furchtsamkeit, Ängstlichkeit",timidity
115,*agga?,got,M.,Enge,narrowness
116,*Aggils?,got,M.,Angel (M.),Angle
117,aggilus 39,got,M.,"Engel, Bote",angel
118,*aggwei?,got,F.,"Enge, Einschränkung","narrowness, restriction"
119,*aggweins?,got,F.,,
120,aggwiþa 5,got,F.,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)"
121,*aggwjan?,got,V.,"bedrängen, beengen, engen","constrain (V.), cramp completely"
122,aggwus* 2,got,Adj.,eng,narrow (Adj.)
123,"*agi-, *agja-",got,F.,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword"
124,agis 20,got,N.,"Furcht, Schrecken","awe (N.), fear (N.), fright, terror (N.)"
125,*agja-,got,F.,,
126,*agjan?,got,V.,"ängstigen, sich fürchten","frighten, worry (V.)"
127,*agkja?,got,F.,"Bein, Röhre","leg, pipe (N.), tube"
128,aglaitei 54,got,F.,"Unzucht, Unschicklichkeit, Unkeuschheit","licentiousness, debauchery"
129,"*aglaiteis, *aglaits",got,Adj.,"schändlich, unzüchtig","lewd, shameful"
130,aglaitgastalds 2,got,Adj.,"schmutzig gewinnsüchtig, habsüchtig","acquisitive, grasping, shamefully greedy"
131,aglaiti* 2,got,N.,"Unzucht, Unschicklichkeit, Unkeuschheit","debauchery, licentiousness, dissipation"
132,aglaitiwáurdei* 2,got,F.,"Schandrede, unzüchtiges Reden","obscene language, foul language, shameful speech, filthy talk"
133,*aglaitiwáurds,got,Adj.,"verleumderisch, schändlich",verbally obscene
134,*aglaits?,got,Adj.,,
135,agliþa* 1,got,F.,"Drangsal, Trübsal","pressure, trial, tribulation, trouble (N.)"
136,agljan* 1,got,V.,"schaden, belästigen","harm (V.), injure the health, be physically harmful to, be physiologically injur>>>"
137,aglō 27,got,F.,Drangsal,"affliction, painfulness, tribulation"
138,agls* 1,got,Adj.,schimpflich,"disgraceful, shameful"
139,agluba 2,got,Adv.,"schwer, schwerlich","arduously, with unpleasant difficulty"
140,aglus* 1,got,Adj.,schwierig,"difficult, toilsome"
141,*agra?,got,Adj.,"scharf, spitz","pointed (Adj.), sharp"
142,*ags?,got,Adj.,"furchtsam, ängstlich","fearful, timid"
143,aha* 6,got,M.,"Sinn, Verstand","mental faculty, mind (N.), understanding, reason (N.), source of thought"
144,ahaks 4,got,F.,"zahme weiße Taube (= Opfertaube), Taube","dove, tame white dove, pigeon (for sacrifice)"
145,ahana 1,got,"F., N.",Spreu,chaff
146,*ahei?,got,F.,,
147,ahjan* 1,got,V.,meinen,"assume, presume, think"
148,ahma 155153,got,M.,Geist,spirit
149,ahmateins* 1,got,F.,"Eingebung, Inspiration",inspiration
