got_lemma,Wortart,got_pos,Deutsche Bedeutung,Englische Bedeutung,got_en,link,got_ipa,got_occurences,got_reconstructedness,got_certainty
a,Buchstabe,r,"a, Abkürzung für 1","a, abbreviation for 1","a, abbreviation_for_",https://koeblergerhard.de/wikiling/?f=got&page=1,a,5,,certain
aba,M.,n,"Ehemann, Gatte","husband, man (M.)","husband, man",https://koeblergerhard.de/wikiling/?f=got&page=1,aβa,27,not reconstructed,certain
abba,M.,n,Vater,father,father,https://koeblergerhard.de/wikiling/?f=got&page=1,abba,1,not reconstructed,certain
abraba,Adv.,r,sehr,"very, severely, extremely, excessively","very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?f=got&page=1,aβraβa,3,not reconstructed,certain
abrjan,V.,v,stark werden,become strong,become_strong,https://koeblergerhard.de/wikiling/?f=got&page=1,aβrjan,,word,uncertain
abrs,Adj.,a,"stark, heftig","great, severe, extreme, excessive","great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?f=got&page=1,aβrs,1,not reconstructed,certain
abu,Präp.,r,,,,https://koeblergerhard.de/wikiling/?f=got&page=1,aβu,,not reconstructed,certain
ada,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=1,aða,,word,certain
ada,N.,n,Ei,egg,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,aða,1,not reconstructed,certain
addi,N.,n,Ei,egg,egg,https://koeblergerhard.de/wikiling/?f=got&page=1,addɪ,,word,certain
adra,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=1,aðra,,word,certain
adrs,Adj.,a,"schnell, rasch","fast, quick","fast, quick",https://koeblergerhard.de/wikiling/?f=got&page=1,aðrs,,word,certain
ael,M.,n,Stein,stone (N.),stone,https://koeblergerhard.de/wikiling/?f=got&page=1,ael,1,not reconstructed,certain
āl,M.,n,Stein,stone (N.),stone,https://koeblergerhard.de/wikiling/?f=got&page=1,al,,form,certain
af,"Präp., V.","n,v,a,r","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of","from, away_from, by, by_means_of, since, of",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸ,138,not reconstructed,certain
afagjan,V.,v,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt","worry, scare, scare_away, frighten, frighten_off, daunt",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸaɣjan,2,form,certain
afaikan,V.,v,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)","deny, abjure, disavow, forswear, renounce",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸaɪkan,13,not reconstructed,certain
afaírzjan,V.,v,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)","deceive, lead_astray, misguide",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸɛrzjan,6,not reconstructed,certain
afar,"Präp., V., Sb.","n,v,a,r","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>","after, subsequent_to, in_pursuit_of, following, in_pursuance_of, in_accordance_w",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸar,77,not reconstructed,certain
afara,M.,n,Nachkomme,descendant,descendant,https://koeblergerhard.de/wikiling/?f=got&page=1,aɸara,1,form,certain
afardags,M.,n,der folgende Tag,"morrow (N.), next day, day after","morrow, next_day, day_after",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸardaɣs,1,form,certain
afurdags,M.,n,der folgende Tag,"morrow (N.), next day, day after","morrow, next_day, day_after",https://koeblergerhard.de/wikiling/?f=got&page=1,aɸurdaɣs,,form,certain
afargaggan,V.,v,"nachgehen, folgen","go after, follow, accompany","go_after, follow, accompany",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarɡaŋɡan,7,not reconstructed,certain
afarlaistjan,V.,v,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)","follow_after, follow, pursue, trail",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarlaɪstjan,6,form,certain
afarsabbate,M.,n,Nachsabbat,post-Sabbath period,postSabbath_period,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸarsabbate,1,form,certain
afaruh,Präp.,r,,,,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸaruh,,not reconstructed,certain
afaruþþan,Präp.,r,nach,after,after,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸaruθθan,2,not reconstructed,certain
afblindnan,V.,v,erblinden,"become blind, lose (V.) one’s sight","become_blind, lose_ones_sight",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸblɪndnan,1,form,certain
afdailjan,V.,v,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from","portion_out, give_tithes, apportion_from, parcel_out_from",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdaɪljan,1,form,certain
afdaubnan,V.,v,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened","grow_insensitive, become_numb, become_hardened",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdauβnan,1,form,certain
afdáuiþs,"V., Adj.","n,v,a,r","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out","troubled, annoyed, harried, harrassed, worn_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdauɪθs,1,form,certain
afdáujan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdaujan,,form,certain
afdauþjan,V.,v,töten,"put to death, make die, kill (V.), eliminate with death","put_to_death, make_die, kill, eliminate_with_death",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdauθjan,5,not reconstructed,certain
afdōbnan,V.,v,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace","be_mute, become_mute, be_silent, become_silent, hold_ones_peace",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdoβnan,1,form,certain
afdōjan,V.,v,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out","harry, harass, wear_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdojan,1,form,certain
afdaujan,V.,v,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out","harry, harass, wear_out",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdaujan,,form,certain
afdōmeins,F.,n,Verdammung,condemnation,condemnation,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdomins,1,form,certain
afdōmjan,V.,v,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure","comdemn, pass_judgement_against, curse, abjure",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdomjan,6,not reconstructed,certain
afdrausjan,V.,v,hinabstürzen,"throw down off, throw down of","throw_down_off, throw_down_of",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdrausjan,1,not reconstructed,certain
afdrugk,N.,n,Trinken,drinking up,drinking_up,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋk,,word,uncertain
afdrugkja,M.,n,Trunkenbold,drunkard,drunkard,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋkja,2,not reconstructed,certain
afdumbnan,V.,v,verstummen,"become still, subside into silence, fall off into dumbness","become_still, subside_into_silence, fall_off_into_dumbness",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdumbnan,1,form,certain
afēt,N.,n,"Wegesserei, Fressen",gluttonous eating,gluttonous_eating,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸet,,word,uncertain
afētja,M.,n,Fresser,"glutton, voracious eater","glutton, voracious_eater",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸetja,2,not reconstructed,certain
afēts,Adj.,a,"essbar?, fresserisch","voracious in eating, gluttonish","voracious_in_eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸets,,word,uncertain
affilhan,V.,v,verbergen,"hide from, conceal from","hide_from, conceal_from",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɸɪlhan,1,form,certain
afgaggan,V.,v,"weggehen von, weggehen, weichen (V.) (2)","go away, leave (V.), depart (V.)","go_away, leave, depart",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡaŋɡan,5,form,certain
afgiban,V.,v,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben","give o.s. away, separate (V.)","give_os_away, separate",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡɪβan,sik 1,form,certain
afgrundiþa,F.,n,Abgrund,abyss,abyss,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡrundɪθa,2,form,certain
afgrundus,Adj.,a,abgründig,bottomless,bottomless,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡrundus,,word,uncertain
afgudei,F.,n,Gottlosigkeit,"ungodliness, irreligiosity, impiety","ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡuði,2,form,certain
afguþs,Adj.,a,"abgöttisch, gottlos","godless, irreligious, impious","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡuθs,3,form,certain
afhaban,V.,v,sich enthalten,"abstain, withhold o.s.","abstain, withhold_os",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaβan,(sik) 1,form,certain
afhaimeis,Adj.,a,"der Heimat fern, abwesend","absent from home, absent, away from home","absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaɪmis,2,form,certain
afhaimis,Adj.,a,"der Heimat fern, abwesend","absent from home, absent, away from home","absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaɪmɪs,,form,certain
afhaims,Adj.,a,"der Heimat fern, abwesend","absent from home, absent, away from home","absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaɪms,,form,certain
afhaimis,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaɪmɪs,,form,certain
afhaims,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaɪms,,form,certain
afhamōn,V.,v,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff","get_undressed, shed_as_clothing, strip_off_as_clothing, doff",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhamon,1,not reconstructed,certain
afhlaþan,V.,v,beladen (V.),"burden (V.), load down, lade down","burden, load_down, lade_down",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhlaθan,1,form,certain
afhōlōn,V.,v,"übervorteilen, betrügen",extort from by false allegation,extort_from_by_false_allegation,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸholon,1,form,certain
afhrainjan,V.,v,"etwas Verunreinigendes tilgen, reinigen","cleanse away, wipe out","cleanse_away, wipe_out",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhraɪnjan,1,not reconstructed,certain
afhrisjan,V.,v,abschütteln,shake off,shake_off,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhrɪsjan,2,form,certain
afhugjan,V.,v,bezaubern,"lead astray the understanding of, bewitch","lead_astray_the_understanding_of, bewitch",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhuɣjan,1,form,certain
afƕapjan,V.,v,"ersticken, auslöschen","choke (V.), extinguish, asphyxiate, suffocate","choke, extinguish, asphyxiate, suffocate",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhʷapjan,5,not reconstructed,certain
afƕapnan,V.,v,"ersticken, erlöschen","choke (V.), be suffocated, become suffocated","choke, be_suffocated, become_suffocated",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸhʷapnan,6,form,certain
afitan,V.,v,"verschlingen, fressen","devour, eat voraciously","devour, eat_voraciously",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸɪtan,,word,uncertain
aflageins,F.,n,"Ablegung, Erlass, Vergebung","forgiveness, laying aside, remission, absolution","forgiveness, laying_aside, remission, absolution",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlaɣins,1,form,certain
aflagjan,V.,v,etwas ablegen,"put off, lay off away, lay down, lay aside","put_off, lay_off_away, lay_down, lay_aside",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlaɣjan,5,not reconstructed,certain
afleiþan,V.,v,"weggehen, entweichen, verreisen, fortgehen","go away, depart (V.), leave (V.)","go_away, depart, leave",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸliθan,14,form,certain
aflēt,N.,n,"Erlass, Vergebung","indulgence, letting off, forgiveness, pardon (N.)","indulgence, letting_off, forgiveness, pardon",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlet,3,form,certain
aflētan,V.,v,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive","let_off, let_go, leave, relinquish, remit, absolve, release, forgive",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸletan,53,not reconstructed,certain
aflifnan,V.,v,übrigbleiben,"be left, become left, be left over, remain (V.)","be_left, become_left, be_left_over, remain",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪɸnan,8,form,certain
aflinnan,V.,v,"weggehen, fortgehen","leave off, go away, cease from, let up","leave_off, go_away, cease_from, let_up",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪnnan,1,form,certain
afmaitan,V.,v,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead","cut_off, sever, amputate, chop_off, behead",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaɪtan,8,form,certain
afmarzeins,F.,n,Betrug,"deception, deceitfulness, delusive seduction","deception, deceitfulness, delusive_seduction",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzins,2,not reconstructed,certain
afmarzjan,V.,v,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence","make_deviate_by_obstructing, snare_astray, thwart_by_deflecting, take_offence",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzjan,2,form,certain
afmáuiþs,"V., Adj.","n,v,a,r",ermüdet,"weary (Adj.), debilitated, tired out, fatigued","weary, debilitated, tired_out, fatigued",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmauɪθs,21,form,certain
afmáujan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaujan,,form,certain
afmōjan,V.,v,ermüden,"tire out, fatigue (V.)","tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmojan,,form,certain
afmaujan,V.,v,ermüden,"tire out, fatigue (V.)","tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaujan,,form,certain
