New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2,Old,New
mese,aća,FP,,,,ɑt͡ʃʲɑ,mɛʃɛ
ágy,aδ̕ɜ,FU,,oδ̕ɜ,,ɑðʲɜ,aːɟ
al,ala,U,,,,ɑlɑ,ɒl
áld,alɜ,FU,,,,ɑlɜ,aːld
ad,amta,FU,,,,ɑmtɑ,ɒd
old,aŋa,FU,,,,ɑŋɑ,old
aj,aŋe,U,,,,ɑŋe,ɒj
apa,appe,FU,,,,ɑppe,ɒpɒ
ár,arwa,FU,,arγa,,ɑrwɑ,aːr
árt,arɜ,FU,,,,ɑrɜ,aːrt
ének,äne,FU,,,,æne,eːnɛk
ég,äŋɜ,FU,,,,æŋɜ,eːɡ
szalad,ćaδa,FU,,śaδa,,t͡ʃʲɑðɑ,sɒlɒd
zaj,ćaka,FU,,,,t͡ʃʲɑkɑ,zɒj
szeg,ćäŋkɜ,FU,,śäŋkɜ,,t͡ʃʲæŋkɜ,sɛɡ
sért,ćärke,FU,,,,t͡ʃʲærke,ʃeːrt
szűr,ćerɜ,FU,,,,t͡ʃʲerɜ,syːr
süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",,t͡ʃʲiklæ,ʃyh
seg,ćiŋkä,FU, Balagseg,ćüŋkä,,t͡ʃʲiŋkæ,ʃɛɡ
csomó,ćolme,FU,,,,t͡ʃʲolme,t͡ʃomoː
csorog,ćorɜ,U,,,,t͡ʃʲorɜ,t͡ʃoroɡ
szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",,t͡ʃʲuɣɜ,suː
csupor,ćuppɜ,FU,,,,t͡ʃʲuppɜ,t͡ʃupor
csillog,ćȣlkɜ,FU,,ćȣ̈lkɜ,,t͡ʃʲȣlkɜ,t͡ʃilloɡ
csün,ćȣ̈nɜ,U,,,,t͡ʃʲ¨nɜ,t͡ʃyn
sápad,čappɜ,FU,,,,t͡ʃɑppɜ,ʃaːpɒd
savanyú,čawɜ,Ug,,čapa,,t͡ʃɑwɜ,ʃɒvɒɲuː
csegely,čeŋkɜ,FU,,,,t͡ʃeŋkɜ,t͡ʃɛɡɛj
siet,čijɜ,FU,,"čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",,t͡ʃijɜ,ʃiɛt
sok,čukkɜ,FU,,čokkɜ,,t͡ʃukkɜ,ʃok
sovány,čupa,FU,,,,t͡ʃupɑ,ʃovaːɲ
ez,e,U,,,,e,ɛz
öcs,ećɜ,FU,,,,et͡ʃʲɜ,øt͡ʃ
es,ećɜ,U,,,,et͡ʃʲɜ,ɛʃ
elő,eδe,FU,eleje,,,eðe,ɛløː
éj,eje,FU,,üje,,eje,eːj
él,elä,U,,,,elæ,eːl
em,emä,U, embër,,,emæ,ɛm
ük,ewkkɜ,FU, ükanya,,,ewkkɜ,yk
ős,ićä,U,,,,it͡ʃʲæ,øːʃ
íny,ike,FU,,"ikeńe, ikene",,ike,iːɲ
emlő,ime,U,,,,ime,ɛmløː
íz,ipɜ,U,,"ipɜsɜ, ipɜśɜ",,ipɜ,iːz
ër,irkä,FU,,ürkä,,irkæ,er
iktat,jakka,FU,,,,jɑkkɑ,iktɒt
gyalog,jalka,FU,,,,jɑlkɑ,ɟɒloɡ
jel,jälke,FU,,,,jælke,jɛl
ideg,jänte,U,,,,jænte,idɛɡ
jég,jäŋe,FU,,,,jæŋe,jeːɡ
év,jikä,FU,,ikä,,jikæ,eːv
jó,joke,U,,,,joke,joː
íj,joŋsɜ,U,,joŋksɜ,,joŋsɜ,iːj
gyakori,jowkkɜ,FU,,,,jowkkɜ,ɟɒkori
iv,juγe,FU,i,juke,,juɣe,iv
jöv,jȣ̈ŋɜ,Ug,,jȣ̈γɜ jȣ̈kɜ,,j¨ŋɜ,jøv
hős,kaća,U,,,,kɑt͡ʃʲɑ,høːʃ
hagy,kaδ̕a,U,,,,kɑðʲɑ,hɒɟ
hölgy,kaδ̕wa,FU,,kaδ̕wɜ,,kɑðʲwɑ,hølɟ
hajít,kaja,FU,,,,kɑjɑ,hɒjiːt
két,kakta,FU,,käktä,,kɑktɑ,keːt
hal,kala,U,,,,kɑlɑ,hɒl
háló,kalɜ,U,,,,kɑlɜ,haːloː
hál,kalɜ,FU,,,,kɑlɜ,haːl
hályog,kaĺwɜ,FU,,,,kɑlʲwɜ,haːjoɡ
háml,kama,U,,,,kɑmɑ,haːml
hány,kanɜ,FU,,,,kɑnɜ,haːɲ
hág,kaŋɜ,Ug,,kaŋkɜ,,kɑŋɜ,haːɡ
hat,kattɜ,U,,,,kɑttɜ,hɒt
kel,kälä,FU,,,,kælæ,kɛl
kemény,kämä,FU,,,,kæmæ,kɛmeːɲ
kéz,käte,FU,,,,kæte,keːz
ki,ke,FU,,ki,,ke,ki
keszeg,kećä,FU,,,,ket͡ʃʲæ,kɛsɛɡ
kengyel,kećɜ,FU,,,,ket͡ʃʲɜ,kɛnɟɛl
kécs,kečä,FU, isten kecskéje,,,ket͡ʃæ,keːt͡ʃ
kés,kečɜ,FU,,,,ket͡ʃɜ,keːʃ
kéj,keje,FU,,kȣ̈jγɜ,,keje,keːj
köved,keje,FU,,,,keje,køvɛd
këll,kelke,FU,,,,kelke,kell
kevés,kepä,FU,,,,kepæ,kɛveːʃ
kerek,kerä,FU,,,,keræ,kɛrɛk
kér,kerä,FU,,,,keræ,keːr
köré,kere,FU,,,,kere,køreː
kérëg,kere,FU,,,,kere,keːreɡ
kígyó,kije,U,,küje,,kije,kiːɟoː
követ,kijɜ,FU,,küjɜ,,kijɜ,køvɛt
köd,kintɜ,U,,küntɜ,,kintɜ,kød
könyök,kińä,FU,,"küńä, kinä, künä",,kinʲæ,køɲøk
könny,kińe,U,,"kińelɜ, küńe, küńelɜ",,kinʲe,kønɲ
köt,kitke,FU,,kütke,,kitke,køt
köz,kitɜ,FU,,kütɜ,,kitɜ,køz
kő,kiwe,FU,,,,kiwe,køː
hagyma,koćmɜ,FU,,kaćmɜ,,kot͡ʃʲmɜ,hɒɟmɒ
héj,koja,FU,,,,kojɑ,heːj
hajnal,koje,FU,,,,koje,hɒjnɒl
hím,kojmɜ,U,,kojemɜ,,kojmɜ,hiːm
here,kojra,U,,kojera,,kojrɑ,hɛrɛ
hal,kola,U,,,,kolɑ,hɒl
három,kolme,FU,,kulme,,kolme,haːrom
halok,kolɜ,FU,,,,kolɜ,hɒlok
hón,konɜ,FU,,"kana, konɜ + ala, kana + ala",,konɜ,hoːn
hanyatt,konɜCx,FU,,,,konɜCx,hɒɲɒtt
hárs,końćkɜ,FU,,koćkɜ,,konʲt͡ʃʲkɜ,haːrʃ
hosszú,końćɜ,U,,koćɜ,,konʲt͡ʃʲɜ,hoʃsuː
hërvad,korpe,FW,,,,korpe,hervɒd
horol,korɜ,FU,,korwɜ,,korɜ,horol
ház,kota,FU,,,,kotɑ,haːz
ho,ku,U,,ko,,ku,ho
holnap,kuδɜ,U,,,,kuðɜ,holnɒp
hamu,kuδ̕mɜ,Ug,,,,kuðʲmɜ,hɒmu
háj,kuje,FU,,,,kuje,haːj
hall,kule,FU,,,,kule,hɒll
halad,kulke,U,,,,kulke,hɒlɒd
holló,kulɜ,U,,kulɜkɜ,,kulɜ,holloː
homlok,kuma,U,,,,kumɑ,homlok
hab,kumpa,U,,,,kumpɑ,hɒb
hó,kumɜ,U,,,,kumɜ,hoː
homály,kumɜ,FU,,,,kumɜ,homaːj
had,kunta,FU,,,,kuntɑ,hɒd
hall,kuntalɜ,Ug,,,,kuntɑlɜ,hɒll
joh,kunɜ,FU,,,,kunɜ,joh
huny,kuńa,U,,,,kunʲɑ,huɲ
hangya,kuńće,FU,,kuće,,kunʲt͡ʃʲe,hɒnɟɒ
húgy,kuńće,U,,kuće,,kunʲt͡ʃʲe,huːɟ
húgy,kuńćɜ,U,,kućɜ,,kunʲt͡ʃʲɜ,huːɟ
hó,kuŋe,U,,,,kuŋe,hoː
harmat,kura,U,,,,kurɑ,hɒrmɒt
hornyol,kurńa,FU,,,,kurnʲɑ,horɲol
horó,kurɜ,FU,,,,kurɜ,horoː
harántos,kurɜ,U,,,,kurɜ,hɒraːntoʃ
harag,kurɜ,FU,,,,kurɜ,hɒrɒɡ
húsz,kuśɜ,FU,,kojećɜ,,kuʃʲɜ,huːs
hat,kutte,FU,,,,kutte,hɒt
hát,kuttɜ,U,,,,kuttɜ,haːt
küzd,kȣ̈śɜ,Ug,,,,k¨ʃʲɜ,kyzd
lapos,lappɜ,U,,,,lɑppɜ,lɒpoʃ
lép,läppɜ,FU,,"δäppɜ, leppɜ δeppɜ",,læppɜ,leːp
lë,le,FU,,,,le,le
lé,leme,FU,,lēme,,leme,leː
lep,leppɜ,FU,,,,leppɜ,lɛp
lő,lewe,FU,,,,lewe,løː
