,cons,cons
,self,other
3839,0,-
4363,+,-
4364,+,-
4365,+,-
4366,+,-
4367,+,-
4368,+,-
4369,+,-
4370,+,-
4371,+,-
4372,+,-
4373,+,-
4374,+,-
4375,+,-
4376,+,-
4377,+,-
4378,+,-
4379,+,-
4380,+,-
4381,+,-
4382,+,-
4383,+,-
4384,+,-
4385,+,-
4386,+,-
4387,+,-
4388,+,-
4389,+,-
4390,+,-
4391,+,-
4392,+,-
4393,+,-
4394,+,-
4395,+,-
4396,+,-
4397,+,-
4398,+,-
4399,+,-
4400,+,-
4401,+,-
4402,+,-
4403,+,-
4404,+,-
4405,+,-
4406,+,-
4407,+,-
4408,+,-
4409,+,-
4410,+,-
4411,+,-
4412,+,-
4413,+,-
4414,+,-
4415,+,-
4416,+,-
4417,+,-
4418,+,-
4419,+,-
4439,+,-
4440,+,-
4441,+,-
4442,+,-
4443,+,-
4444,+,-
4445,+,-
4446,+,-
4447,+,-
4448,+,-
4449,+,-
4450,+,-
4451,+,-
4452,+,-
4453,+,-
4454,+,-
4455,+,-
4456,+,-
4457,+,-
4458,+,-
4459,+,-
4460,+,-
4461,+,-
4462,+,-
4463,+,-
4464,+,-
4465,+,-
4466,+,-
4467,+,-
4468,+,-
4469,+,-
4470,+,-
4471,+,-
4472,+,-
4473,+,-
4474,+,-
4475,+,-
4476,+,-
4477,+,-
4478,+,-
4479,+,-
4480,+,-
4481,+,-
4482,+,-
4483,+,-
4484,+,-
4485,+,-
4486,+,-
4487,+,-
4488,+,-
4489,+,-
4490,+,-
4491,+,-
4492,+,-
4493,+,-
4494,+,-
4495,+,-
4496,+,-
4497,+,-
4498,+,-
4499,+,-
4500,+,-
4501,+,-
4502,+,-
4503,+,-
4504,+,-
4505,+,-
4506,+,-
4507,+,-
4508,+,-
4509,+,-
4510,+,-
4511,+,-
4512,+,-
4513,+,-
4514,+,-
4515,+,-
4516,+,-
4517,+,-
4518,+,-
4519,+,-
4520,+,-
4521,+,-
4522,+,-
4523,+,-
4524,+,-
4525,+,-
4526,+,-
4527,+,-
4528,+,-
4529,+,-
4530,+,-
4531,+,-
4532,+,-
4533,+,-
4534,+,-
4535,+,-
4536,+,-
4537,+,-
4538,+,-
4539,+,-
4540,+,-
4541,+,-
4542,+,-
4543,+,-
4544,+,-
4545,+,-
4546,+,-
4547,+,-
4548,+,-
4549,+,-
4550,+,-
4551,+,-
