Target,Source,fp
abisinia,ɐbɪsɪniə,
aearana,aɪələnd,
aferika,afɹɪkə,
afrika,afɹɪkə,
ahia,eɪʃə,
ahia,eɪʃəmaɪnə,
ahiamaina,eɪʃəmaɪnə,
ahiaminoa,eɪʃəmaɪnə,
ahiria,ɐsɪɹiə,
aiarana,aɪələnd,
aiherana,aɪslənd,
airana,aɪələnd,
airaŋa,aɪələnd,
airaŋi,aɪələnd,
aka,eɪkə,
akarana,ɔːklənd,
amara,ɒlmə,
amatarama,amstədam,
amenia,ɑːmiːniə,
amerika,ɐmɛɹɪkə,
aminia,ɑːmiːniə,
amoi,amɔɪ,
anatioka,antiːɒk,
anekerahi,aŋɡəlsiə,
aparata,d͡ʒɪbɹɒltə,
aparika,afɹɪkə,
arakoapei,alɡəʊəbeɪ,
arapia,əɹeɪbiə,
ararata,aɹɐɹat,
arareiri,adəleɪd,
arehanara,alɪɡzandɹiə,
areka,alɪɡzandɹə,
arekahanaria,alɪɡzandɹiə,
arekatera,alkantɑːɹə,
arekateri,alɪɡzandɹiə,
arena,eɪliənzkɹiːk,
arepia,əɹeɪbiə,
arikehanara,alɪɡzandɹiə,
aripa,alps,
armenia,ɑːmiːniə,
atareia,ɒstɹeɪliə,
atareira,ɒstɹeɪliə,
atareiria,ɒstɹeɪliə,
atareita,adəleɪd,
atareria,ɒstɹeɪliə,
ataria,ɒstɹiə,
atariria,ɒstɹeɪliə,
atena,aθɪnz,
atene,aθɪnz,337.0
atereira,adəleɪd,
atereria,ɒstɹeɪliə,
atini,aθɪnz,3335.0
atiraira,adəleɪd,
atiraire,adəleɪd,
atiraki,ɐtlantɪk,
atireira,adəleɪd,
atireiria,adəleɪd,
atireita,adəleɪd,
atirera,adəleɪd,
atiria,ɒstɹiə,
aura,aʊd,
autereria,ɒstɹeɪliə,
autiria,ɒstɹiə,
autuno,ɔːtʌn,
awa,ɑːvə,
awerika,afɹɪkə,
awerika,afɹɪkə,
afarika,afɹɪkə,
aferika,afɹɪkə,
afirika,afɹɪkə,
awiniona,avinjɒn,
awirika,afɹɪkə,
britania,bɹɪtən,
britannia,bɹɪtən,
ehetaerona,ɛzdɹeɪlən,
ehipa,iːd͡ʒɪpt,
enera,ɛndɔː,
enora,ɛndɔː,
epairame,ɛfɹeɪm,
epeha,ɛfɛsəs,
eperaima,ɛfɹeɪm,
epereama,ɛfɹeɪm,
erekoma,ɛd͡ʒkʌmb,
erena,iːdən,
erenapota,fɔːtɛlən,
erepe,ɛlbə,17.0
erinipara,ɛdɪnbʌɹə,
eruhi,ɪluːsiz,
etiopia,iːθɪəʊpiə,
etipara,ɛdɪnbʌɹə,
ewana,ɛvənz,
hoteni,səntdɛniz,
haakupei,hɔːksbeɪ,
haata,hʌntə,
hahihi,d͡ʒasi,
haikoho,hɪkʃəʊz,
haina,t͡ʃaɪnə,
hairona,sɪdɒn,
hakahia,sɜːkaʃə,
hakipere,hɔːksbɹi,
hakoni,saksəni,
hakupei,hɔːksbeɪ,
halona,t͡ʃalɒnz,
hamani,d͡ʒɜːməni,
hamatara,suːmɑːtɹə,
hamene,d͡ʒɜːməni,
hamoa,saməʊə,
hamurana,smaɪənə,
hamutana,haməltən,
hanakirira,səntkɪlda,
hanapanahiko,sanfɹansɪskəʊ,
hanareteohokiaŋa,hʌndɹɪdɒvhəʊkiəŋɡə,
hanareteokororareka,hʌndɹɪdɒvkɔːɹɔːɹeəkə,
hanareteorotorua,hʌndɹɪdɒvɹəʊtɔːrjuːə,
hanareteotauraŋa,hʌndɹɪdɒvtɔːɹaŋɡə,
hanareteowaimate,hʌndɹɪdɒvweɪmeɪt,
hanatapitapaka,səntpiːtəzbɜːɡ,
hanatomiŋo,səntdəʊmɪŋɡəʊ,
haŋahai,ʃaŋhaɪ,
haŋai,ʃaŋhaɪ,321.0
haŋakaŋa,hɒŋkɒŋ,
haŋari,hʌŋɡəɹi,
hainihama,d͡ʒɜːnɪŋəm,
hapana,d͡ʒəpan,
hapataporo,səbastəpɒl,
hararihi,sɑːdiz,
harehi,seɪlz,
harihi,hɑːliz,
hata,hʌntə,
hatapara,stɹasbɜːɡ,
hatarina,sənthɛliːnə,
hatafe,santəfiː,
hatinia,sɑːdɪniə,
hatipere,ʃaftsbɹi,
hawa,d͡ʒɑːvə,
hawai,həwaɪiː,
hafa,d͡ʒafə,754.0
haferaka,heɪvlɒk,
heahi,d͡ʒɜːsi,
heamani,d͡ʒɜːməni,
heamita,hɜːmɪtɪd͡ʒ,
heamona,hɜːmən,
heamona,hɜːmən,
heheriri,d͡ʒɛzɹiːl,
heheriwa,d͡ʒɛzɹiːl,
hehetiŋa,heɪstɪŋz,
hehita,t͡ʃɛstə,
heirana,aɪələnd,
heirona,seɪlɒn,
henowa,d͡ʒəniːvə,
hepere,safɪt,
herehe,suːɪz,
heremani,d͡ʒɜːməni,
heremone,klɜːmɒnt,
herepe,sɛlɛbz,
hereriri,d͡ʒɛzɹiːl,
herona,seɪlɒn,
hewa,havə,
heweini,salvaɪn,
hiena,siɛnə,
hiharia,siːseəɹiə,
hihiria,sɪsɪli,
himarika,sɪɡmeəɹɪŋən,
hinaara,ʃɪnɑː,
hinekara,sɛnɛɡəl,
hiŋetana,sɪŋɡəltən,
hini,sɪdni,
hinutani,hɪndəstɑːn,
hiparata,d͡ʒɪbɹɒltə,
hipatipora,səbastəpɒl,
hipone,bəʊnə,
hiri,t͡ʃɪli,755.0
hiria,sɪɹiə,
hirihira,sɛliːziə,
hirini,sɪdni,
hiripi,sɛlɛbz,
hiritaone,hiːldtaʊn,
hiroŋa,d͡ʒiːlɒŋ,
hiruharama,d͡ʒəɹuːsələm,
hiruharama,d͡ʒəɹuːsələm,
hispania,speɪn,
hitia,saɪθiə,
hokene,hakni,
hokipere,hɔːksbɹi,
hokotia,skɒtlənd,
honitana,d͡ʒɒnstəʊn,
honoruru,hɒnəluːluː,15.0
hopataone,həʊbɑːttaʊn,
hopataune,həʊbɑːttaʊn,
hopetaone,həʊbɑːttaʊn,
horana,hɒlənd,
horana,d͡ʒɔːdən,
horia,d͡ʒɔːd͡ʒə,
horono,d͡ʒɔːdən,
hoterenitaone,ʃɔːtləndtaʊn,
hororenehe,flɒɹəns,
humara,sʌmbɑːvə,
huŋaria,hʌŋɡəɹi,
hunkari,hʌŋɡəɹi,
hurariona,siːeəɹəliːəʊn,
huria,d͡ʒuːdiə,
huwaki,suːwɔːki,
laponoa,d͡ʒəpan,
igarani,ɪŋɡlənd,
ihikeepa,iːstkeɪp,
ihikepa,iːstkeɪp,
ihipa,iːd͡ʒɪpt,
ihipiti,iːd͡ʒɪpt,
ikamana,ɪŋkɜːmən,
ikamanu,ɪŋkɜːmən,
ikaria,aɪkeəɹiə,
iŋaraŋi,ɪŋɡlənd,
iŋarani,ɪŋɡlənd,
iŋland,ɪŋɡlənd,
inia,ɪndiə,
iniakitehauauru,wɛstɪndiz,
iniakiterato,wɛstɪndiz,
iniana,ɪndiən,
iniatana,hɪndəstɑːn,
iniria,ɪndiə,
initia,ɪndiə,
loka,jɔːk,
loropi,jʊəɹəp,
iparaiho,valpɐɹeɪsəʊ,
irawara,ɛlaɪaɪɐwɒɹə,
irawari,ɪɹɐwɒdi,
irekoma,ɛd͡ʒkʌmb,
irene,iːdən,
iruharama,d͡ʒəɹuːsələm,
itali,ɪtəli,
itari,ɪtəli,
lurope,jʊəɹəp,
luropi,jʊəɹəp,
kaiperu,saɪpɹəs,
kairo,kaɪɹəʊ,2512.0
kalia,ɡaliə,
kamarana,kʌmbələnd,
kamera,kɑːməl,
kamera,kɑːməl,
kamerino,kaməɹiːnəʊ,
kanaana,kanɑːn,
kanapoa,kɔːnpɔː,
kanahi,ɡand͡ʒɪz,
kanata,kanədə,
kanatepere,kantəbɹi,
kanatinopara,kɒnstantɪnəʊpəl,
kanatinopera,kɒnstantɪnəʊpəl,
kanawara,kɔːnwɔːl,
kanereairana,kəneəɹiaɪləndz,
kanihi,ɡand͡ʒɪz,
kapare,skɑːbʌɹə,
kaparokia,kapɐdəʊʃə,
kapeperetona,keɪpbɹɛtən,
kapuŋa,kapʌndə,
karaera,kɑːlaɪl,
karaewa,klaɪv,
karahiko,ɡlazɡəʊ,
karaihitiati,kɹɪstt͡ʃɜːt͡ʃ,
karaimia,kɹaɪmiə,
karairi,kɑːlaɪəl,
karaiteati,kɹɪstt͡ʃɜːt͡ʃ,
karaitiana,kɹɪstt͡ʃɜːt͡ʃ,
karaitiata,kɹɪstt͡ʃɜːt͡ʃ,
karaitiati,kɹɪstt͡ʃɜːt͡ʃ,
karaitihahi,kɹɪstt͡ʃɜːt͡ʃ,
karaitihata,kɹɪstt͡ʃɜːt͡ʃ,
karaitihati,kɹɪstt͡ʃɜːt͡ʃ,
karaiwa,klaɪv,
karaiwi,klaɪv,
karakata,kalkʌtə,
karako,kɹakaʊ,
karakuta,kalkʌtə,
karamera,kɑːməl,
karamere,kɑːmɛl,
karanatai,kalantaɪ,
karaponia,kalɪfɔːniə,
kararupe,klaʊdibeɪ,
karatia,ɡaleɪʃə,
karatihati,kɹɪstt͡ʃɜːt͡ʃ,
kareo,kalaʊ,7.0
kareponia,kalɪfɔːniə,
karetoina,t͡ʃalsɛdən,
karia,keəɹiə,
karihi,kaleɪ,97.0
karihia,ɡɹiːs,
kariki,ɡɹiːs,
kariri,ɡalɪliː,11.0
kariti,kɹiːt,
kartako,kɑːθɪd͡ʒ,
kataihi,kɑːθɪd͡ʒ,
katake,kɑːθɪd͡ʒ,
katake,kɑːθɪd͡ʒ,
katana,kateɪniə,
katapere,kantəbɹi,
katapere,kantəbɹi,
kataperi,kantəbɹi,
katarana,skɒtlənd,
kataraŋi,skɒtlənd,
kateraŋi,skɒtlənd,
katiraŋi,skɒtlənd,
kautorona,keɪphɔːn,
kefero,kɛfɹəʊ,
keipakuruhope,keɪpɒvɡʊdhəʊp,
kemareti,keɪmbɹɪd͡ʒ,
kemureti,keɪmbɹɪd͡ʒ,
kenareta,d͡ʒɛnɪsɑːɹəθ,
keneri,kəneəɹiz,
kepakuruhopa,keɪpɒvɡʊdhəʊp,
kepataone,keɪptaʊn,
kepekuruhopa,keɪpɒvɡʊdhəʊp,
kepekuruhope,keɪpɒvɡʊdhəʊp,
kepetoma,keɪpɒvstɔːmz,
kepeparamaha,keɪppɑːməz,
kera,skeɪlə,
kereamataone,ɡɹeɪəmztaʊn,
kerehi,kɹɛsi,
kereitaone,ɡɹeɪtaʊn,
kerekitata,ɡlʌkstat,
keremauta,ɡɹeɪməθ,
kerokihira,kɹɔɪksɛlz,
keta,kɛnt,
kihipana,d͡ʒɪsbɔːn,
kihipene,d͡ʒɪsbɔːn,
kiŋiwiremutaone,kɪŋwɪliəmztaʊn,
kini,ɡɪni,0.0
kinipariu,kɪnibaluː,
kirihi,ɡɹiːs,
kiripoa,ɡɪlbəʊə,
kiuama,ɡwɑːm,
koane,skəʊn,
konipara,kɒnɪɡsbɜːɡ,
konoko,kɒŋɡəʊ,
konotanahe,kɒnstəns,
konotatinopore,kɒnstantɪnəʊpəl,
