Target,Source,fp
abisinia,ɐbɪsɪniə,
aearana,aɪələnd,3548.0
aferika,afɹɪkə,180.0
afrika,afɹɪkə,
ahia,eɪʃə,3079.0
ahia,eɪʃəmaɪnə,
ahiamaina,eɪʃəmaɪnə,
ahiaminoa,eɪʃəmaɪnə,
ahiria,ɐsɪɹiə,0.0
aiarana,aɪələnd,6.0
aiherana,aɪslənd,
airana,aɪələnd,
airaŋa,aɪələnd,
airaŋi,aɪələnd,
aka,eɪkə,319.0
akarana,ɔːklənd,
amara,ɒlmə,
amatarama,amstədam,
amenia,ɑːmiːniə,1.0
amerika,ɐmɛɹɪkə,16.0
aminia,ɑːmiːniə,0.0
amoi,amɔɪ,
anatioka,antiːɒk,0.0
anekerahi,aŋɡəlsiə,
aparata,d͡ʒɪbɹɒltə,
aparika,afɹɪkə,0.0
arakoapei,alɡəʊəbeɪ,
arapia,əɹeɪbiə,182.0
ararata,aɹɐɹat,2.0
arareiri,adəleɪd,
arehanara,alɪɡzandɹiə,
areka,alɪɡzandɹə,
arekahanaria,alɪɡzandɹiə,
arekatera,alkantɑːɹə,
arekateri,alɪɡzandɹiə,
arena,eɪliənzkɹiːk,
arepia,əɹeɪbiə,2.0
arikehanara,alɪɡzandɹiə,
aripa,alps,41.0
armenia,ɑːmiːniə,
atareia,ɒstɹeɪliə,314.0
atareira,ɒstɹeɪliə,
atareiria,ɒstɹeɪliə,
atareita,adəleɪd,33.0
atareria,ɒstɹeɪliə,813.0
ataria,ɒstɹiə,1.0
atariria,ɒstɹeɪliə,20.0
atena,aθɪnz,91.0
atene,aθɪnz,186.0
atereira,adəleɪd,
atereria,ɒstɹeɪliə,
atini,aθɪnz,84.0
atiraira,adəleɪd,
atiraire,adəleɪd,
atiraki,ɐtlantɪk,
atireira,adəleɪd,
atireiria,adəleɪd,
atireita,adəleɪd,
atirera,adəleɪd,
atiria,ɒstɹiə,5.0
aura,aʊd,
autereria,ɒstɹeɪliə,
autiria,ɒstɹiə,
autuno,ɔːtʌn,
awa,ɑːvə,
awerika,afɹɪkə,
awerika,afɹɪkə,
afarika,afɹɪkə,2.0
aferika,afɹɪkə,180.0
afirika,afɹɪkə,3.0
awiniona,avinjɒn,751.0
awirika,afɹɪkə,
britania,bɹɪtən,
britannia,bɹɪtən,
ehetaerona,ɛzdɹeɪlən,
ehipa,iːd͡ʒɪpt,3.0
enera,ɛndɔː,25.0
enora,ɛndɔː,
epairame,ɛfɹeɪm,
epeha,ɛfɛsəs,0.0
eperaima,ɛfɹeɪm,
epereama,ɛfɹeɪm,
erekoma,ɛd͡ʒkʌmb,
erena,iːdən,230.0
erenapota,fɔːtɛlən,
erepe,ɛlbə,9.0
erinipara,ɛdɪnbʌɹə,
eruhi,ɪluːsiz,72.0
etiopia,iːθɪəʊpiə,
etipara,ɛdɪnbʌɹə,18.0
ewana,ɛvənz,2.0
hoteni,səntdɛniz,
haakupei,hɔːksbeɪ,
haata,hʌntə,1.0
hahihi,d͡ʒasi,491.0
haikoho,hɪkʃəʊz,
haina,t͡ʃaɪnə,1.0
hairona,sɪdɒn,2523.0
hakahia,sɜːkaʃə,251.0
hakipere,hɔːksbɹi,
hakoni,saksəni,1684.0
hakupei,hɔːksbeɪ,
halona,t͡ʃalɒnz,254.0
hamani,d͡ʒɜːməni,0.0
hamatara,suːmɑːtɹə,
hamene,d͡ʒɜːməni,5.0
hamoa,saməʊə,10.0
hamurana,smaɪənə,
hamutana,haməltən,
hanakirira,səntkɪlda,
hanapanahiko,sanfɹansɪskəʊ,
hanareteohokiaŋa,hʌndɹɪdɒvhəʊkiəŋɡə,
hanareteokororareka,hʌndɹɪdɒvkɔːɹɔːɹeəkə,
hanareteorotorua,hʌndɹɪdɒvɹəʊtɔːrjuːə,
hanareteotauraŋa,hʌndɹɪdɒvtɔːɹaŋɡə,
hanareteowaimate,hʌndɹɪdɒvweɪmeɪt,
hanatapitapaka,səntpiːtəzbɜːɡ,
hanatomiŋo,səntdəʊmɪŋɡəʊ,
haŋahai,ʃaŋhaɪ,4.0
