self,mode,scdictbase,dfetymology,left,right,ptct_thresh,scdict,scdict_struc,crossval,guesslist,hm_struc_ceiling,hm_paths_ceiling,writesc,writesc_struc,vowelharmony,only_documented_clusters,sort_by_nse,struc_filter,show_workflow,write,outname,plot,__class__,opt_tpr,optimal_howmany,opt_tp,timing,date
<loanpy_development.sanity.ROC_ad object at 0x0000012117AB6C20>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,True,True,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,56,1000,67/119,00:07:27,12/12/21 14:59:50
<loanpy_development.sanity.ROC_ad object at 0x000001210F1B64D0>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,True,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,56,1000,67/119,00:01:07,12/12/21 15:06:02
<loanpy_development.sanity.ROC_ad object at 0x0000012117B304F0>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,4,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,65/119,00:00:52,12/12/21 12:44:20
<loanpy_development.sanity.ROC_ad object at 0x0000012114AD2A10>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,18,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:51,12/12/21 13:13:35
<loanpy_development.sanity.ROC_ad object at 0x0000012118238940>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:50,12/12/21 12:46:07
<loanpy_development.sanity.ROC_ad object at 0x0000012117E7FDC0>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,21,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:57,12/12/21 13:15:30
<loanpy_development.sanity.ROC_ad object at 0x0000012117AD4EB0>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,True,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:07:08,12/12/21 15:13:47
<loanpy_development.sanity.ROC_ad object at 0x000001210DACA1D0>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,19,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:53,12/12/21 13:14:31
<loanpy_development.sanity.ROC_ad object at 0x0000012118239B40>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,15,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:53,12/12/21 12:47:03
<loanpy_development.sanity.ROC_ad object at 0x000001210B6FD420>,adapt,scdictbase_maori.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/borrowings.csv')",Target,Source,16,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,True,False,False,maori,False,<class 'loanpy_development.sanity.ROC_ad'>,55,1000,66/119,00:00:50,12/12/21 13:11:45
