Target,Source,fp
ahitereiria,ɒstɹeɪliə,
aihikiriːmi,aɪskɹiːm,
anaterope,antɪləʊp,
arefana,ɛlɪfənt,484.0
haina,t͡ʃaɪnə,4.0
hapa,sʌpə,0.0
hepara,ʃɛpəd,2.0
hepara,zɛbɹə,
hepetema,sɛptɛmbə,
hera,seəɹə,40.0
hipi,ʃiːp,10.0
hiriwa,sɪlvə,4.0
huitene,swiːdən,
huka,ʃʊɡə,18.0
hune,d͡ʒuːn,11.0
haːnuere,d͡ʒanjuːəɹi,
haːtarei,satədeɪ,36.0
hoːiho,hɔːs,
hoːri,d͡ʒɔːd͡ʒ,
hoːteːra,həʊtɛl,
huːrae,d͡ʒuːlaɪ,13.0
ihowaː,d͡ʒəhəʊvə,
kaiana,ɡiɑːnə,
kaŋaruː,kaŋɡɐɹuː,
kapa,kɒpə,2.0
karaka,klɒk,253.0
kau,kaʊ,2.0
keke,keɪk,94.0
kini,ɡɪni,0.0
kirihimete,kɹɪsməs,
koura,ɡəʊld,34.0
kaːnapera,kanbəɹə,
kaːŋa,kɔːn,45.0
kaːwana,ɡʌvənə,2.0
kiː,kiː,17.0
koːura,ɡəʊld,
maina,maɪn,4.0
maina,miːnə,57.0
makanui,mɑːkə,
mane,mʌndeɪ,501.0
mei,meɪ,0.0
merekara,mɪɹəkəl,
mihi,mɪsi,0.0
mihinare,mɪʃənəɹi,
miraka,mɪlk,0.0
motokaː,məʊtəkɑː,
motopaika,məʊtəbaɪk,
maːehe,mɑːt͡ʃ,379.0
maːrena,maɹɪd͡ʒ,
moːkoː,sməʊkəʊ,
moːrena,ɡʊdmɔːnɪŋ,
nama,nʌmbə,
nanenane,nani,
neke,sneɪk,352.0
noema,nəʊvɛmbə,
naːhinara,naʃənəl,
noːwei,nɔːweɪ,0.0
nuːpepa,njuːzpeɪpə,459.0
oketopa,ɒktəʊbə,
pakaŋakite,pakaŋɡə,
paraire,fɹaɪdeɪ,
parakuihi,bɹɛkfəst,
paraːoa,flaʊə,
pea,beə,0.0
pepa,peɪpə,4.0
pine,pɪn,2.0
pirihimana,pəliːsmən,
paːkete,pɒkɪt,92.0
paːreti,pɒɹɪd͡ʒ,23.0
peːpuere,fɛbɹuːəɹi,
poːkiha,fɒks,
poːti,vəʊt,1359.0
raiona,laɪən,
rama,ɹʌm,0.0
reipa,leɪbə,0.0
riria,ɹɪɹiə,0.0
riripeti,ɪlɪzəbəθ,
romeinia,ɹəʊmeɪniə,
raːpeti,ɹabɪt,21.0
reːnata,lɛnəd,18.0
reːpara,lɛpəd,18.0
reːparo,lɛpəd,
taika,taɪɡə,0.0
terepoːno,tɛlɪfəʊn,
terefoːno,tɛlɪfəʊn,
tia,diə,1.0
tia,stiə,24.0
tiaki,d͡ʒak,132.0
tikinare,dɪkʃənəɹi,
tina,dɪnə,1.0
tiriti,stɹiːt,104.0
tiriti,tɹiːti,20.0
tiaː,d͡ʒɑː,15.0
taːite,θɜːzdeɪ,264.0
taːke,tɜːki,1.0
taːone,taʊn,545.0
taːpu,tʌb,29.0
taːra,dɒlə,6.0
taːriana,staliən,10.0
teːneti,tɛnt,100.0
tiː,tiː,1.0
tiːhema,dɪsɛmbə,
tiːra,stiːl,
toːhi,təʊst,1074.0
tuːrei,tjuːzdeɪ,75.0
waea,waɪə,1.0
warapiː,wɒləbi,
wenerei,wɛnzdeɪ,1694.0
finirana,fɪnlənd,
faːmere,famɪli,53.0
wiki,wiːk,10.0
wiki,wɪk,1.0
wuruhi,wʊlf,
wurufi,wʊlf,
aːkuhata,ɔːɡəst,
aːperire,eɪpɹəl,
aːpiha,ɒfɪsə,6.0
aːporo,apəl,
iːkara,iːɡəl,1.0
